"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2020-11-20,5628,2523,78969,17135,14827,7976,78854,2322,54755,1632356,1060051,4600,209676,91215,103886,44231,13778,13030.7,6131,6318.7,345,0.6,334.7,329.6,2307
2020-11-21,4620,1773,78992,15372,14339,7988,78983,2774,54985,1643133,1064039,4639,203006,88214,100525,42265,10777,12602,3988,6037.9,230,0.4,297.3,325.9,2281
2020-11-22,1994,1335,79003,20104,14557,8001,79104,2502,55171,1649633,1066912,4699,197800,85967,97728,41511,6500,12281,2873,5930.1,186,0.3,253.7,317.4,2222
2020-11-23,2875,1763,79403,16033,14444,8087,79290,2750,55611,1657670,1071482,4815,190591,81459,93807,38609,8037,11637,4570,5515.6,440,0.8,285.3,322.3,2256
2020-11-24,4784,2308,79948,15231,13822,8137,79508,2680,55907,1668787,1076399,4928,183291,79319,88601,36365,11117,11331.3,4917,5195,296,0.5,307.3,308,2156
2020-11-25,3953,2175,80350,14212,13157,132,71669,2631,56230,1678069,1081304,5038,174404,74271,83638,34290,9282,10610.1,4905,4898.6,323,0.6,353,305.3,2137
2020-11-26,4147,2300,80632,13431,12597,8181,79850,2614,56533,1689862,1086346,5137,166990,71284,79299,32426,11793,10183.4,5042,4632.3,303,0.5,307.3,303.3,2123
2020-11-27,3805,2109,80963,12645,11952,8203,80024,2540,56827,1699952,1091372,5313,158811,67596,75552,31321,10090,9656.6,5026,4474.4,294,0.5,306.7,296,2072
2020-11-28,3267,1354,80956,11434,11736,8203,80164,2507,57053,1707751,1094728,5362,152832,64618,72954,30689,7799,9231.1,3356,4384.1,226,0.4,274.3,295.4,2068
2020-11-29,1570,1300,80978,16184,11956,8201,80280,2190,57240,1712678,1096937,5374,149012,63045,71536,30025,4927,9006.4,2209,4289.3,187,0.3,235.7,295.6,2069
2020-11-30,1861,1524,81284,15652,11978,8329,80494,2447,57550,1718709,1100690,5472,142498,61039,67817,29208,6031,8719.9,3753,4172.6,310,0.5,241,277,1939
2020-12-01,3889,1938,81549,15170,11472,8346,80691,2396,57858,1726565,1105315,5562,137097,57778,65281,28916,7856,8254,4625,4130.9,308,0.5,268.3,278.7,1951
2020-12-02,3668,2222,81788,14805,11001,8349,80858,2223,58127,1736588,1110027,5601,132790,58519,63013,28723,10023,8359.9,4712,4103.3,269,0.5,295.7,271,1897
2020-12-03,3798,1915,81907,14528,10669,8330,80974,2171,58414,1745382,1114102,5627,126804,55520,60182,27756,8794,7931.4,4075,3965.1,287,0.5,288,268.7,1881
2020-12-04,3337,1871,82183,10039,10171,8412,81152,2106,58641,1753469,1117959,5717,121113,53517,57908,26587,8087,7645.3,3857,3798.1,227,0.4,261,259.1,1814
2020-12-05,1856,1022,82200,9921,9877,8346,81243,1727,58815,1758481,1120004,5736,115348,50730,55965,25276,5012,7247.1,2045,3610.9,174,0.3,229.3,251.7,1762
2020-12-06,1126,654,82214,9858,9960,8396,81370,1714,58962,1761866,1121434,5786,112233,49188,54522,24497,3385,7026.9,1430,3499.6,147,0.2,182.7,246,1722
2020-12-07,3403,2469,82229,9446,9945,8418,81491,1995,59282,1769875,1125529,5807,112205,51166,54047,24839,8009,7309.4,4095,3548.4,320,0.5,213.7,247.4,1732
