date_pub,ccaa,Personas pauta completa >=80 años,%,Personas pauta completa 70-79 años,%.1,Personas pauta completa 60-69 años,%.2,Personas pauta completa 50-59 años,%.3,Personas pauta completa 40-49 años,%.4.1,Personas pauta completa 25-39 años,%.4.2,18-24 años,%.5,16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
15/6/21,Andalucía,422203,1.0,629388,0.96772199679879944,224084,0.24459393525274875,554933,0.43867493108810052,170369,0.12299998411683082,156267,0.096207704767750618,25939,0.041446298290633801,475,0.0026110234662298469,2183658,7062213,0.3092030784118236,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Aragón,98570,0.9976013845172913,114990,0.96666806775671477,47150,0.30153421118266643,68595,0.34597459978009343,33006,0.15355698952745611,24063,0.10410573678290214,6020,0.067503924646781788,55,0.0021907113837329722,392449,1132764,0.34645257087972431,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Asturias,86856,0.98895543460934121,110660,1.0,33328,0.222703338411782,76831,0.47238464139690739,27124,0.16242596995083627,19698,0.12700029657902542,4530,0.083611731482677795,42,0.0026987084752297117,359069,901209,0.39843033081116591,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Baleares,49597,1.0,75055,0.9321749714342491,11928,0.10174783120505668,79957,0.48225842445882616,34142,0.16559959645344663,21679,0.084065580381724972,3466,0.040377916797725975,40,0.0017167381974248926,275864,986279,0.27970178823639152,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Canarias,88137,0.97673877388182095,141688,0.91689046210792657,49497,0.210543106528508,150014,0.42798534714931302,60760,0.15662861797671709,34751,0.07818226404821739,6019,0.036723836020964129,69,0.0015557359307359307,530935,1871033,0.28376570589615469,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Cantabria,41525,1.0,54742,1.0,24350,0.31482319477665005,26417,0.29363967809345959,9497,0.097137129355930815,7475,0.077483622190894774,1288,0.036868470015743525,8,0.00074135853952367716,165302,501384,0.32969141416558967,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Castilla y Leon,224966,1.0,245032,0.99845972046778864,120440,0.37805854194459704,110823,0.29074047353577753,45365,0.12486753554176243,38129,0.10150274860573147,6871,0.047575854094251566,114,0.0028020843574869726,791740,2092873,0.37830293572519691,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Castilla - La Mancha,134796,0.99705608237051935,154327,0.96999390324385137,54296,0.24855798282397321,134781,0.43834355628695387,42104,0.1273543957290422,23385,0.061986428457827494,5537,0.037032330555518397,104,0.0024549145500896989,549330,1719964,0.31938459177052542,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Cataluña,445357,0.99588770919238989,590756,0.92989680335971492,97970,0.1169673728246958,498238,0.45635384418106212,164234,0.12472631582944435,148198,0.099671054180221416,38171,0.068613881319250211,670,0.004191062403042586,1983594,6531658,0.30368920111861336,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,C. Valenciana,288756,1.0,414711,0.94712717705578475,212319,0.36560833987684421,230065,0.30580167850981083,70047,0.082254564413777556,56111,0.061365145087540283,9854,0.027928147514128455,157,0.0015235470504323186,1282020,4269305,0.30028775175350553,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Extremadura,76532,1.0,90587,0.98597022073229135,53669,0.4283342777560516,70037,0.41389112140695916,23316,0.14618731739124982,17198,0.089440619084271186,2083,0.027376195983597938,66,0.0031499069345678424,333488,911213,0.3659824870804082,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Galicia,238231,1.0,284344,0.98130189603881801,116276,0.33515984630772466,200488,0.49394785273806385,42927,0.09685236033491193,34132,0.076566401141362497,3785,0.024779861861272054,41,0.00093152178852183392,920224,2362643,0.38948922880011921,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,La Rioja,22978,1.0,28090,0.99875555555555551,16282,0.43167718330770455,15820,0.33190668009399127,5038,0.095151755529114021,3811,0.069707889008798082,753,0.035569201700519602,10,0.001590836780146357,92782,270788,0.34263704447759868,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Madrid,364981,1.0,490658,0.93266626241966544,205827,0.29264932328389659,426528,0.4384616096292801,138236,0.11855869485604702,138155,0.10250666658752336,26103,0.054413444621400998,404,0.002973627457474919,1790892,5695623,0.3144330304165146,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Murcia,71738,1.0,95622,0.92928016793166113,44098,0.30017221545310363,81239,0.38094590539070411,48391,0.19039806104101009,28775,0.096850303593306139,6888,0.058044780773087716,127,0.0036586771145425212,376878,1237479,0.30455304696079694,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Navarra,41750,1.0,54953,0.98496200172067683,20148,0.2728454579925248,49923,0.51629883963844703,18356,0.16995981555897113,12390,0.10771477752855876,2212,0.04560354602618287,9,0.00064720264633970944,199741,552935,0.36123775850687695,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,País Vasco,159264,1.0083190883190882,207038,0.97163989281071517,88844,0.31716520478796512,159659,0.46961706233068706,47775,0.13192666782646154,41584,0.11464616945489033,7792,0.055529029453475195,38,0.00090856924254016831,711994,1898123,0.37510424772261863,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Ceuta,2310,0.88675623800383874,3659,0.84738304770727191,1972,0.25098638157057401,7235,0.62608168916580131,3593,0.28421135896218952,1839,0.10554407713498623,449,0.059227014905685264,7,0.0032183908045977012,21064,66158,0.31838931043864688,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Melilla,1841,0.78373776074925505,2953,0.78788687299893279,2779,0.35505302159192537,6870,0.60801840870873525,3393,0.28270288285285788,1752,0.096833029348366767,270,0.03163074039362699,6,0.0025817555938037868,19864,66178,0.30016017407597689,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Fuerzas Armadas,8,-,6,-,1079,-,3669,-,7382,-,12468,-,1871,-,0,-,26483,-,-,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Sanidad Exterior,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
15/6/21,Total España,2860396,1.0,3789259,0.9568727123050369,1426336,0.26725496375669711,2952122,0.41973461697813236,995055,0.12608821099841519,821860,0.093240860158450234,159901,0.048304095793159467,2442,0.0025731021264444724,13007371,40129822,0.32413228745445222,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210615.ods
