date,province,cases_acumulated,deceased,recovered,hospitalized,intensive_care
2020-01-31,Las Palmas,0,0,0,NA,NA
2020-01-31,Santa Cruz de Tenerife,1,0,0,NA,NA
2020-02-25,Las Palmas,0,0,0,NA,NA
2020-02-25,Santa Cruz de Tenerife,10,0,0,NA,NA
2020-02-27,Las Palmas,0,0,0,NA,NA
2020-02-27,Santa Cruz de Tenerife,29,0,0,NA,NA
2020-02-28,Las Palmas,0,0,0,NA,NA
2020-02-28,Santa Cruz de Tenerife,38,0,0,NA,NA
2020-02-29,Las Palmas,0,0,0,NA,NA
2020-02-29,Santa Cruz de Tenerife,47,0,0,NA,NA
2020-03-03,Las Palmas,0,0,8,NA,NA
2020-03-03,Santa Cruz de Tenerife,56,0,0,NA,NA
2020-03-04,Las Palmas,0,0,8,NA,NA
2020-03-04,Santa Cruz de Tenerife,56,0,1,NA,NA
2020-03-05,Las Palmas,8,0,8,NA,NA
2020-03-05,Santa Cruz de Tenerife,74,0,10,NA,NA
2020-03-06,Las Palmas,24,0,8,NA,NA
2020-03-06,Santa Cruz de Tenerife,110,0,10,NA,NA
2020-03-07,Las Palmas,25,0,8,NA,NA
2020-03-07,Santa Cruz de Tenerife,128,0,10,NA,NA
2020-03-08,Las Palmas,25,0,8,NA,NA
2020-03-08,Santa Cruz de Tenerife,137,0,28,NA,NA
2020-03-09,Las Palmas,41,0,8,NA,NA
2020-03-09,Santa Cruz de Tenerife,146,0,28,NA,NA
2020-03-10,Las Palmas,49,0,8,NA,NA
2020-03-10,Santa Cruz de Tenerife,209,0,28,NA,NA
2020-03-11,Las Palmas,89,0,8,NA,NA
2020-03-11,Santa Cruz de Tenerife,292,0,28,NA,NA
2020-03-12,Las Palmas,121,0,8,NA,NA
2020-03-12,Santa Cruz de Tenerife,409,0,28,NA,NA
2020-03-13,Las Palmas,159,8,8,NA,NA
2020-03-13,Santa Cruz de Tenerife,554,0,37,NA,NA
2020-03-14,Las Palmas,193,8,8,NA,NA
2020-03-14,Santa Cruz de Tenerife,700,0,38,NA,NA
2020-03-15,Las Palmas,212,8,8,NA,NA
2020-03-15,Santa Cruz de Tenerife,826,9,47,NA,NA
2020-03-16,Las Palmas,352,16,8,NA,NA
2020-03-16,Santa Cruz de Tenerife,1078,9,56,NA,NA
2020-03-17,Las Palmas,437,16,16,NA,NA
2020-03-17,Santa Cruz de Tenerife,1322,18,56,NA,NA
2020-03-18,Las Palmas,592,16,17,NA,NA
2020-03-18,Santa Cruz de Tenerife,1755,18,65,NA,NA
2020-03-19,Las Palmas,911,24,17,NA,NA
2020-03-19,Santa Cruz de Tenerife,1985,36,74,NA,NA
2020-03-20,Las Palmas,1106,32,17,NA,NA
2020-03-20,Santa Cruz de Tenerife,2419,54,92,NA,NA
2020-03-21,Las Palmas,1274,32,17,NA,NA
2020-03-21,Santa Cruz de Tenerife,2922,54,92,NA,NA
2020-03-22,Las Palmas,1413,64,25,NA,NA
2020-03-22,Santa Cruz de Tenerife,3325,54,110,NA,NA
2020-03-23,Las Palmas,1565,64,65,398,164
2020-03-23,Santa Cruz de Tenerife,3908,90,119,1469,229
2020-03-24,Las Palmas,1874,66,89,539,182
2020-03-24,Santa Cruz de Tenerife,4724,126,128,1507,310
2020-03-25,Las Palmas,2121,66,125,649,216
2020-03-25,Santa Cruz de Tenerife,5246,180,146,1686,346
2020-03-26,Las Palmas,2384,76,173,684,232
2020-03-26,Santa Cruz de Tenerife,6089,243,183,1866,373
2020-03-27,Las Palmas,2496,94,223,682,349
2020-03-27,Santa Cruz de Tenerife,6600,298,300,2104,374
2020-03-28,Las Palmas,2685,94,259,756,281
2020-03-28,Santa Cruz de Tenerife,7116,335,354,2171,427
2020-03-29,Las Palmas,2904,110,324,792,270
2020-03-29,Santa Cruz de Tenerife,7589,362,382,2417,454
2020-03-30,Las Palmas,3117,126,369,774,282
2020-03-30,Santa Cruz de Tenerife,8023,380,572,2329,464
2020-03-31,Las Palmas,3249,142,434,698,305
2020-03-31,Santa Cruz de Tenerife,8479,425,725,2036,500
2020-04-01,Las Palmas,3429,158,541,614,316
2020-04-01,Santa Cruz de Tenerife,8813,470,842,2145,491
2020-04-02,Las Palmas,3672,174,634,552,324
2020-04-02,Santa Cruz de Tenerife,NA,507,932,2165,472
2020-04-03,Las Palmas,3747,190,743,499,332
2020-04-03,Santa Cruz de Tenerife,NA,526,1249,2311,410
2020-04-04,Las Palmas,3845,198,799,510,332
2020-04-04,Santa Cruz de Tenerife,NA,544,1474,2383,427
2020-04-05,Las Palmas,3934,206,915,570,316
2020-04-05,Santa Cruz de Tenerife,NA,553,1654,2534,418
2020-04-06,Las Palmas,3999,214,1060,527,308
2020-04-06,Santa Cruz de Tenerife,NA,571,1946,2590,408
2020-04-07,Las Palmas,4033,214,1136,1133,382
2020-04-07,Santa Cruz de Tenerife,NA,571,2164,533,22
2020-04-08,Las Palmas,4170,222,1290,403,340
2020-04-08,Santa Cruz de Tenerife,NA,598,2500,2720,363
2020-04-09,Las Palmas,4224,222,1372,421,292
2020-04-09,Santa Cruz de Tenerife,NA,607,2727,2720,399
2020-04-10,Las Palmas,4233,222,1508,409,268
2020-04-10,Santa Cruz de Tenerife,NA,607,2935,2566,389
2020-04-11,Las Palmas,4301,222,1511,409,276
2020-04-11,Santa Cruz de Tenerife,NA,625,3134,2387,399
2020-04-12,Las Palmas,4309,222,1561,417,268
2020-04-12,Santa Cruz de Tenerife,NA,625,3209,2557,380
2020-04-13,Las Palmas,4325,222,1676,335,272
2020-04-13,Santa Cruz de Tenerife,NA,652,3517,2521,399
2020-04-14,Las Palmas,4349,222,1776,341,247
2020-04-14,Santa Cruz de Tenerife,NA,662,3850,2502,398
2020-04-15,Las Palmas,4381,254,1868,328,223
2020-04-15,Santa Cruz de Tenerife,NA,680,4292,2329,371
2020-04-16,Las Palmas,4413,254,2050,332,199
2020-04-16,Santa Cruz de Tenerife,NA,707,4627,2319,353
2020-04-17,Las Palmas,4424,254,2218,326,183
2020-04-17,Santa Cruz de Tenerife,NA,726,5054,1900,352
2020-04-18,Las Palmas,4456,254,2276,316,191
2020-04-18,Santa Cruz de Tenerife,NA,735,5205,1824,352
2020-04-19,Las Palmas,4465,262,2310,323,191
2020-04-19,Santa Cruz de Tenerife,NA,735,5288,1643,387
2020-04-20,Las Palmas,4491,262,2450,273,183
2020-04-20,Santa Cruz de Tenerife,NA,744,5686,1708,360
2020-04-21,Las Palmas,4531,270,2554,259,175
2020-04-21,Santa Cruz de Tenerife,NA,762,6001,1687,351
2020-04-22,Las Palmas,4588,272,2772,221,156
2020-04-22,Santa Cruz de Tenerife,NA,780,6262,1406,333
2020-04-23,Las Palmas,4620,272,2873,217,148
2020-04-23,Santa Cruz de Tenerife,NA,807,6533,1309,324
2020-04-24,Las Palmas,4640,282,2997,184,138
2020-04-24,Santa Cruz de Tenerife,NA,825,6866,1185,297
2020-04-25,Las Palmas,4648,282,3072,520,256
2020-04-25,Santa Cruz de Tenerife,NA,825,6920,380,13
2020-04-26,Las Palmas,4656,282,3080,166,130
2020-04-26,Santa Cruz de Tenerife,NA,834,6947,1201,288
2020-04-27,Las Palmas,4690,282,3137,155,122
2020-04-27,Santa Cruz de Tenerife,NA,843,7293,1086,234
2020-04-28,Las Palmas,4690,282,3194,158,106
2020-04-28,Santa Cruz de Tenerife,NA,852,7529,1069,279
2020-04-29,Las Palmas,4706,282,3298,162,106
