"date","province","hospitalized","intensive_care"
"23/05/2020","Santa Cruz de Tenerife",45,9
"24/05/2020","Las Palmas",8,6
"24/05/2020","Santa Cruz de Tenerife",38,7
"25/05/2020","Las Palmas",10,5
"25/05/2020","Santa Cruz de Tenerife",44,7
"26/05/2020","Las Palmas",10,3
"26/05/2020","Santa Cruz de Tenerife",46,6
"27/05/2020","Las Palmas",10,2
"27/05/2020","Santa Cruz de Tenerife",43,5
"28/05/2020","Las Palmas",13,2
"28/05/2020","Santa Cruz de Tenerife",36,5
"29/05/2020","Las Palmas",11,3
"29/05/2020","Santa Cruz de Tenerife",33,4
"30/05/2020","Las Palmas",11,3
"30/05/2020","Santa Cruz de Tenerife",34,5
"31/05/2020","Las Palmas",11,3
"31/05/2020","Santa Cruz de Tenerife",38,4
"01/06/2020","Las Palmas",9,4
"01/06/2020","Santa Cruz de Tenerife",34,6
"02/06/2020","Las Palmas",6,3
"02/06/2020","Santa Cruz de Tenerife",32,4
"03/06/2020","Las Palmas",10,2
"03/06/2020","Santa Cruz de Tenerife",31,3
"04/06/2020","Las Palmas",9,2
"04/06/2020","Santa Cruz de Tenerife",29,2
"05/06/2020","Las Palmas",4,2
"05/06/2020","Santa Cruz de Tenerife",30,2
"06/06/2020","Las Palmas",5,1
"06/06/2020","Santa Cruz de Tenerife",28,2
"07/06/2020","Las Palmas",5,1
"07/06/2020","Santa Cruz de Tenerife",30,2
"08/06/2020","Las Palmas",6,1
"08/06/2020","Santa Cruz de Tenerife",26,2
"09/06/2020","Las Palmas",7,1
"09/06/2020","Santa Cruz de Tenerife",23,2
"10/06/2020","Las Palmas",3,1
"10/06/2020","Santa Cruz de Tenerife",23,2
"11/06/2020","Las Palmas",3,1
"11/06/2020","Santa Cruz de Tenerife",23,1
"12/06/2020","Las Palmas",4,1
"12/06/2020","Santa Cruz de Tenerife",22,2
"13/06/2020","Las Palmas",4,1
"13/06/2020","Santa Cruz de Tenerife",24,3
"14/06/2020","Las Palmas",4,1
"14/06/2020","Santa Cruz de Tenerife",17,1
"15/06/2020","Las Palmas",8,1
"15/06/2020","Santa Cruz de Tenerife",17,1
"16/06/2020","Las Palmas",8,2
"16/06/2020","Santa Cruz de Tenerife",23,1
"17/06/2020","Las Palmas",4,2
"17/06/2020","Santa Cruz de Tenerife",19,1
"18/06/2020","Las Palmas",4,2
"18/06/2020","Santa Cruz de Tenerife",18,1
"19/06/2020","Las Palmas",5,2
"19/06/2020","Santa Cruz de Tenerife",20,2
"20/06/2020","Las Palmas",5,2
"20/06/2020","Santa Cruz de Tenerife",20,2
"21/06/2020","Las Palmas",4,2
"21/06/2020","Santa Cruz de Tenerife",25,3
"22/06/2020","Las Palmas",4,2
"22/06/2020","Santa Cruz de Tenerife",17,2
"23/06/2020","Las Palmas",4,2
"23/06/2020","Santa Cruz de Tenerife",16,2
"24/06/2020","Las Palmas",10,4
"24/06/2020","Santa Cruz de Tenerife",14,2
"25/06/2020","Las Palmas",3,2
"25/06/2020","Santa Cruz de Tenerife",12,1
"26/06/2020","Las Palmas",5,3
"26/06/2020","Santa Cruz de Tenerife",11,1
"27/06/2020","Las Palmas",2,3
"27/06/2020","Santa Cruz de Tenerife",13,1
"28/06/2020","Las Palmas",3,3
"28/06/2020","Santa Cruz de Tenerife",12,1
"29/06/2020","Las Palmas",1,3
"29/06/2020","Santa Cruz de Tenerife",13,1
"30/06/2020","Las Palmas",1,3
"30/06/2020","Santa Cruz de Tenerife",10,1
"01/07/2020","Las Palmas",1,2
"01/07/2020","Santa Cruz de Tenerife",10,1
"02/07/2020","Las Palmas",2,1
"02/07/2020","Santa Cruz de Tenerife",7,1
"03/07/2020","Las Palmas",0,1
"03/07/2020","Santa Cruz de Tenerife",8,0
"04/07/2020","Las Palmas",0,1
"04/07/2020","Santa Cruz de Tenerife",12,1
"05/07/2020","Las Palmas",1,1
"05/07/2020","Santa Cruz de Tenerife",12,1
"06/07/2020","Las Palmas",0,1
"06/07/2020","Santa Cruz de Tenerife",16,1
"07/07/2020","Las Palmas",1,1
"07/07/2020","Santa Cruz de Tenerife",17,0
"08/07/2020","Las Palmas",1,1
"08/07/2020","Santa Cruz de Tenerife",11,0
"09/07/2020","Las Palmas",1,1
"09/07/2020","Santa Cruz de Tenerife",11,0
"10/07/2020","Las Palmas",1,1
"10/07/2020","Santa Cruz de Tenerife",8,0
"11/07/2020","Las Palmas",1,1
"11/07/2020","Santa Cruz de Tenerife",10,0
"12/07/2020","Las Palmas",0,1
"12/07/2020","Santa Cruz de Tenerife",13,0
"13/07/2020","Las Palmas",1,0
"13/07/2020","Santa Cruz de Tenerife",11,0
"14/07/2020","Las Palmas",1,0
"14/07/2020","Santa Cruz de Tenerife",14,1
"15/07/2020","Las Palmas",1,0
"15/07/2020","Santa Cruz de Tenerife",11,1
"16/07/2020","Las Palmas",3,0
"16/07/2020","Santa Cruz de Tenerife",17,1
"17/07/2020","Las Palmas",2,0
"17/07/2020","Santa Cruz de Tenerife",10,1
"18/07/2020","Las Palmas",1,0
"18/07/2020","Santa Cruz de Tenerife",11,1
"19/07/2020","Las Palmas",3,0
"19/07/2020","Santa Cruz de Tenerife",13,1
"20/07/2020","Las Palmas",3,0
"20/07/2020","Santa Cruz de Tenerife",13,2
"21/07/2020","Las Palmas",2,1
"21/07/2020","Santa Cruz de Tenerife",13,1
"22/07/2020","Las Palmas",3,0
"22/07/2020","Santa Cruz de Tenerife",11,1
"23/07/2020","Las Palmas",5,0
"23/07/2020","Santa Cruz de Tenerife",13,1
"24/07/2020","Las Palmas",4,0
"24/07/2020","Santa Cruz de Tenerife",16,1
"25/07/2020","Las Palmas",4,0
"25/07/2020","Santa Cruz de Tenerife",18,1
"26/07/2020","Las Palmas",3,0
"26/07/2020","Santa Cruz de Tenerife",23,1
"27/07/2020","Las Palmas",3,0
"27/07/2020","Santa Cruz de Tenerife",23,1
"28/07/2020","Las Palmas",3,0
"28/07/2020","Santa Cruz de Tenerife",23,1
"29/07/2020","Las Palmas",4,1
"29/07/2020","Santa Cruz de Tenerife",21,2
"30/07/2020","Las Palmas",4,1
"30/07/2020","Santa Cruz de Tenerife",20,1
"31/07/2020","Las Palmas",3,1
"31/07/2020","Santa Cruz de Tenerife",23,1
"01/08/2020","Las Palmas",3,1
"01/08/2020","Santa Cruz de Tenerife",21,1
"02/08/2020","Las Palmas",5,1
"02/08/2020","Santa Cruz de Tenerife",21,1
"03/08/2020","Las Palmas",5,0
"03/08/2020","Santa Cruz de Tenerife",23,1
"04/08/2020","Las Palmas",3,1
"04/08/2020","Santa Cruz de Tenerife",30,1
"05/08/2020","Las Palmas",4,1
"05/08/2020","Santa Cruz de Tenerife",28,1
"06/08/2020","Las Palmas",6,0
"06/08/2020","Santa Cruz de Tenerife",24,2
"07/08/2020","Las Palmas",6,0
"07/08/2020","Santa Cruz de Tenerife",29,2
"08/08/2020","Las Palmas",9,0
"08/08/2020","Santa Cruz de Tenerife",30,2
"09/08/2020","Las Palmas",11,0
"09/08/2020","Santa Cruz de Tenerife",35,1
"10/08/2020","Las Palmas",14,0
"10/08/2020","Santa Cruz de Tenerife",26,1
"11/08/2020","Las Palmas",14,0
"11/08/2020","Santa Cruz de Tenerife",30,2
"12/08/2020","Las Palmas",22,1
"12/08/2020","Santa Cruz de Tenerife",32,2
"13/08/2020","Las Palmas",20,1
"13/08/2020","Santa Cruz de Tenerife",35,2
"14/08/2020","Las Palmas",24,3
"14/08/2020","Santa Cruz de Tenerife",36,4
"15/08/2020","Las Palmas",31,3
"15/08/2020","Santa Cruz de Tenerife",32,4
"16/08/2020","Las Palmas",33,4
"16/08/2020","Santa Cruz de Tenerife",31,3
"17/08/2020","Las Palmas",45,6
"17/08/2020","Santa Cruz de Tenerife",34,3
"18/08/2020","Las Palmas",53,8
"18/08/2020","Santa Cruz de Tenerife",35,5
"19/08/2020","Las Palmas",59,10
"19/08/2020","Santa Cruz de Tenerife",33,3
"20/08/2020","Las Palmas",64,9
"20/08/2020","Santa Cruz de Tenerife",28,4
"21/08/2020","Las Palmas",67,10
"21/08/2020","Santa Cruz de Tenerife",31,4
"22/08/2020","Las Palmas",78,14
"22/08/2020","Santa Cruz de Tenerife",28,5
"23/08/2020","Las Palmas",85,17
"23/08/2020","Santa Cruz de Tenerife",33,5
"24/08/2020","Las Palmas",96,17
"24/08/2020","Santa Cruz de Tenerife",38,6
"25/08/2020","Las Palmas",102,21
"25/08/2020","Santa Cruz de Tenerife",29,6
"26/08/2020","Las Palmas",106,23
"26/08/2020","Santa Cruz de Tenerife",33,6
"27/08/2020","Las Palmas",116,25
"27/08/2020","Santa Cruz de Tenerife",38,6
"28/08/2020","Las Palmas",121,27
"28/08/2020","Santa Cruz de Tenerife",33,6
"29/08/2020","Las Palmas",137,29
"29/08/2020","Santa Cruz de Tenerife",33,6
"30/08/2020","Las Palmas",147,27
"30/08/2020","Santa Cruz de Tenerife",40,6
"31/08/2020","Las Palmas",144,29
"31/08/2020","Santa Cruz de Tenerife",36,9
"01/09/2020","Las Palmas",129,33
"01/09/2020","Santa Cruz de Tenerife",34,9
"02/09/2020","Las Palmas",136,34
"02/09/2020","Santa Cruz de Tenerife",32,11
"03/09/2020","Las Palmas",143,38
"03/09/2020","Santa Cruz de Tenerife",35,14
"04/09/2020","Las Palmas",143,37
"04/09/2020","Santa Cruz de Tenerife",39,15
"05/09/2020","Las Palmas",155,37
"05/09/2020","Santa Cruz de Tenerife",40,12
"06/09/2020","Las Palmas",167,34
"06/09/2020","Santa Cruz de Tenerife",39,13
"07/09/2020","Las Palmas",158,40
"07/09/2020","Santa Cruz de Tenerife",50,14
"08/09/2020","Las Palmas",162,42
"08/09/2020","Santa Cruz de Tenerife",45,16
"09/09/2020","Las Palmas",161,44
"09/09/2020","Santa Cruz de Tenerife",39,16
"10/09/2020","Las Palmas",155,46
"10/09/2020","Santa Cruz de Tenerife",37,13
"11/09/2020","Las Palmas",152,47
"11/09/2020","Santa Cruz de Tenerife",39,15
"12/09/2020","Las Palmas",153,47
"12/09/2020","Santa Cruz de Tenerife",46,13
"13/09/2020","Las Palmas",163,44
"13/09/2020","Santa Cruz de Tenerife",46,12
"14/09/2020","Las Palmas",163,42
"14/09/2020","Santa Cruz de Tenerife",45,12
"15/09/2020","Las Palmas",157,42
"15/09/2020","Santa Cruz de Tenerife",39,12
"16/09/2020","Las Palmas",159,43
"16/09/2020","Santa Cruz de Tenerife",36,14
"17/09/2020","Las Palmas",148,44
"17/09/2020","Santa Cruz de Tenerife",39,14
"18/09/2020","Las Palmas",147,41
"18/09/2020","Santa Cruz de Tenerife",37,15
"19/09/2020","Las Palmas",151,40
"19/09/2020","Santa Cruz de Tenerife",35,17
"20/09/2020","Las Palmas",156,42
"20/09/2020","Santa Cruz de Tenerife",48,18
"21/09/2020","Las Palmas",154,40
"21/09/2020","Santa Cruz de Tenerife",44,19
"22/09/2020","Las Palmas",146,43
"22/09/2020","Santa Cruz de Tenerife",44,18
"23/09/2020","Las Palmas",140,43
"23/09/2020","Santa Cruz de Tenerife",43,19
"24/09/2020","Las Palmas",142,42
"24/09/2020","Santa Cruz de Tenerife",56,19
"25/09/2020","Las Palmas",143,43
"25/09/2020","Santa Cruz de Tenerife",58,21
"26/09/2020","Las Palmas",140,42
"26/09/2020","Santa Cruz de Tenerife",49,24
"27/09/2020","Las Palmas",141,42
"27/09/2020","Santa Cruz de Tenerife",51,25
"28/09/2020","Las Palmas",135,43
"28/09/2020","Santa Cruz de Tenerife",55,24
"29/09/2020","Las Palmas",131,42
"29/09/2020","Santa Cruz de Tenerife",73,21
"30/09/2020","Las Palmas",123,43
"30/09/2020","Santa Cruz de Tenerife",64,20
"01/10/2020","Las Palmas",120,40
"01/10/2020","Santa Cruz de Tenerife",77,16
"02/10/2020","Las Palmas",117,39
"02/10/2020","Santa Cruz de Tenerife",63,15
"03/10/2020","Las Palmas",124,37
"03/10/2020","Santa Cruz de Tenerife",81,18
"04/10/2020","Las Palmas",141,36
"04/10/2020","Santa Cruz de Tenerife",87,20
"05/10/2020","Las Palmas",139,37
"05/10/2020","Santa Cruz de Tenerife",90,23
"06/10/2020","Las Palmas",118,40
"06/10/2020","Santa Cruz de Tenerife",90,25
