,ccaa,fallecidos,fecha
789,C. Valenciana,1332,27/5/2020
790,Extremadura,507,27/5/2020
791,Galicia,608,27/5/2020
792,Madrid,8691,27/5/2020
793,Melilla,2,27/5/2020
794,Murcia,148,27/5/2020
795,Navarra,490,27/5/2020
796,País Vasco,1424,27/5/2020
797,La Rioja,360,27/5/2020
798,Andalucía,1404,28/5/2020
799,Aragón,826,28/5/2020
800,Asturias,310,28/5/2020
801,Baleares,209,28/5/2020
802,Canarias,151,28/5/2020
803,Cantabria,202,28/5/2020
804,Castilla La Mancha,2945,28/5/2020
805,Castilla y León,1922,28/5/2020
806,Cataluña,5584,28/5/2020
807,Ceuta,4,28/5/2020
808,C. Valenciana,1332,28/5/2020
809,Extremadura,507,28/5/2020
810,Galicia,608,28/5/2020
811,Madrid,8691,28/5/2020
812,Melilla,2,28/5/2020
813,Murcia,148,28/5/2020
814,Navarra,490,28/5/2020
815,País Vasco,1424,28/5/2020
816,La Rioja,360,28/5/2020
817,Andalucía,1404,29/5/2020
818,Aragón,826,29/5/2020
819,Asturias,310,29/5/2020
820,Baleares,209,29/5/2020
821,Canarias,151,29/5/2020
822,Cantabria,202,29/5/2020
823,Castilla La Mancha,2945,29/5/2020
824,Castilla y León,1922,29/5/2020
825,Cataluña,5584,29/5/2020
826,Ceuta,4,29/5/2020
827,C. Valenciana,1334,29/5/2020
828,Extremadura,507,29/5/2020
829,Galicia,608,29/5/2020
830,Madrid,8691,29/5/2020
831,Melilla,2,29/5/2020
832,Murcia,148,29/5/2020
833,Navarra,490,29/5/2020
834,País Vasco,1424,29/5/2020
835,La Rioja,360,29/5/2020
836,Andalucía,1404,30/5/2020
837,Aragón,826,30/5/2020
838,Asturias,310,30/5/2020
839,Baleares,209,30/5/2020
840,Canarias,151,30/5/2020
841,Cantabria,202,30/5/2020
842,Castilla La Mancha,2945,30/5/2020
843,Castilla y León,1923,30/5/2020
844,Cataluña,5587,30/5/2020
845,Ceuta,4,30/5/2020
846,C. Valenciana,1332,30/5/2020
847,Extremadura,508,30/5/2020
848,Galicia,609,30/5/2020
849,Madrid,8691,30/5/2020
850,Melilla,2,30/5/2020
851,Murcia,148,30/5/2020
852,Navarra,490,30/5/2020
853,País Vasco,1424,30/5/2020
854,La Rioja,360,30/5/2020
855,Andalucía,1404,31/5/2020
856,Aragón,826,31/5/2020
857,Asturias,310,31/5/2020
858,Baleares,209,31/5/2020
859,Canarias,151,31/5/2020
860,Cantabria,202,31/5/2020
861,Castilla La Mancha,2945,31/5/2020
862,Castilla y León,1924,31/5/2020
863,Cataluña,5587,31/5/2020
864,Ceuta,4,31/5/2020
865,C. Valenciana,1332,31/5/2020
866,Extremadura,508,31/5/2020
867,Galicia,609,31/5/2020
868,Madrid,8691,31/5/2020
869,Melilla,2,31/5/2020
870,Murcia,148,31/5/2020
871,Navarra,490,31/5/2020
872,País Vasco,1424,31/5/2020
873,La Rioja,361,31/5/2020
874,Andalucía,1404,1/6/2020
875,Aragón,826,1/6/2020
876,Asturias,310,1/6/2020
877,Baleares,209,1/6/2020
878,Canarias,151,1/6/2020
879,Cantabria,202,1/6/2020
880,Castilla La Mancha,2945,1/6/2020
881,Castilla y León,1924,1/6/2020
882,Cataluña,5587,1/6/2020
883,Ceuta,4,1/6/2020
884,C. Valenciana,1332,1/6/2020
885,Extremadura,508,1/6/2020
886,Galicia,609,1/6/2020
887,Madrid,8691,1/6/2020
888,Melilla,2,1/6/2020
889,Murcia,148,1/6/2020
890,Navarra,490,1/6/2020
891,País Vasco,1424,1/6/2020
892,La Rioja,361,1/6/2020
893,Andalucía,1404,2/6/2020
894,Aragón,826,2/6/2020
895,Asturias,310,2/6/2020
896,Baleares,209,2/6/2020
897,Canarias,151,2/6/2020
898,Cantabria,202,2/6/2020
899,Castilla La Mancha,2945,2/6/2020
900,Castilla y León,1924,2/6/2020
901,Cataluña,5587,2/6/2020
902,Ceuta,4,2/6/2020
903,C. Valenciana,1332,2/6/2020
904,Extremadura,508,2/6/2020
905,Galicia,609,2/6/2020
906,Madrid,8691,2/6/2020
907,Melilla,2,2/6/2020
908,Murcia,148,2/6/2020
909,Navarra,490,2/6/2020
910,País Vasco,1424,2/6/2020
911,La Rioja,361,2/6/2020
912,Andalucía,1404,3/6/2020
913,Aragón,826,3/6/2020
914,Asturias,310,3/6/2020
915,Baleares,209,3/6/2020
916,Canarias,151,3/6/2020
917,Cantabria,202,3/6/2020
918,Castilla La Mancha,2945,3/6/2020
919,Castilla y León,1925,3/6/2020
920,Cataluña,5587,3/6/2020
921,Ceuta,4,3/6/2020
922,C. Valenciana,1332,3/6/2020
923,Extremadura,508,3/6/2020
924,Galicia,609,3/6/2020
925,Madrid,8691,3/6/2020
926,Melilla,2,3/6/2020
927,Murcia,148,3/6/2020
928,Navarra,490,3/6/2020
929,País Vasco,1424,3/6/2020
930,La Rioja,361,3/6/2020
931,Andalucía,1404,4/6/2020
932,Aragón,826,4/6/2020
933,Asturias,311,4/6/2020
934,Baleares,209,4/6/2020
935,Canarias,151,4/6/2020
936,Cantabria,202,4/6/2020
937,Castilla La Mancha,2945,4/6/2020
938,Castilla y León,1928,4/6/2020
939,Cataluña,5587,4/6/2020
940,Ceuta,4,4/6/2020
941,C. Valenciana,1332,4/6/2020
942,Extremadura,508,4/6/2020
943,Galicia,609,4/6/2020
944,Madrid,8691,4/6/2020
945,Melilla,2,4/6/2020
946,Murcia,148,4/6/2020
947,Navarra,490,4/6/2020
948,País Vasco,1424,4/6/2020
949,La Rioja,362,4/6/2020
950,Andalucía,1404,5/6/2020
951,Aragón,826,5/6/2020
952,Asturias,312,5/6/2020
953,Baleares,209,5/6/2020
954,Canarias,151,5/6/2020
955,Cantabria,202,5/6/2020
956,Castilla La Mancha,2945,5/6/2020
957,Castilla y León,1928,5/6/2020
958,Cataluña,5587,5/6/2020
959,Ceuta,4,5/6/2020
960,C. Valenciana,1332,5/6/2020
961,Extremadura,508,5/6/2020
962,Galicia,609,5/6/2020
963,Madrid,8691,5/6/2020
964,Melilla,2,5/6/2020
965,Murcia,148,5/6/2020
966,Navarra,490,5/6/2020
967,País Vasco,1424,5/6/2020
968,La Rioja,362,5/6/2020
969,Andalucía,1404,6/6/2020
970,Aragón,826,6/6/2020
971,Asturias,313,6/6/2020
972,Baleares,209,6/6/2020
973,Canarias,151,6/6/2020
974,Cantabria,202,6/6/2020
975,Castilla La Mancha,2945,6/6/2020
976,Castilla y León,1928,6/6/2020
977,Cataluña,5587,6/6/2020
978,Ceuta,4,6/6/2020
979,C. Valenciana,1332,6/6/2020
980,Extremadura,508,6/6/2020
981,Galicia,609,6/6/2020
982,Madrid,8691,6/6/2020
983,Melilla,2,6/6/2020
984,Murcia,148,6/6/2020
985,Navarra,490,6/6/2020
986,País Vasco,1424,6/6/2020
987,La Rioja,362,6/6/2020
988,Andalucía,1404,7/6/2020
989,Aragón,826,7/6/2020
990,Asturias,314,7/6/2020
991,Baleares,209,7/6/2020
992,Canarias,151,7/6/2020
993,Cantabria,202,7/6/2020
994,Castilla La Mancha,2945,7/6/2020
995,Castilla y León,1928,7/6/2020
996,Cataluña,5587,7/6/2020
997,Ceuta,4,7/6/2020
998,C. Valenciana,1332,7/6/2020
999,Extremadura,508,7/6/2020
1000,Galicia,609,7/6/2020
1001,Madrid,8691,7/6/2020
1002,Melilla,2,7/6/2020
1003,Murcia,148,7/6/2020
1004,Navarra,490,7/6/2020
1005,País Vasco,1424,7/6/2020
1006,La Rioja,362,7/6/2020
1007,Andalucía,1404,8/6/2020
1008,Aragón,826,8/6/2020
1009,Asturias,314,8/6/2020
1010,Baleares,209,8/6/2020
1011,Canarias,151,8/6/2020
1012,Cantabria,202,8/6/2020
1013,Castilla La Mancha,2945,8/6/2020
1014,Castilla y León,1928,8/6/2020
1015,Cataluña,5587,8/6/2020
1016,Ceuta,4,8/6/2020
1017,C. Valenciana,1332,8/6/2020
1018,Extremadura,508,8/6/2020
1019,Galicia,609,8/6/2020
1020,Madrid,8691,8/6/2020
1021,Melilla,2,8/6/2020
1022,Murcia,148,8/6/2020
1023,Navarra,490,8/6/2020
1024,País Vasco,1424,8/6/2020
1025,La Rioja,362,8/6/2020
1026,Andalucía,1404,9/6/2020
1027,Aragón,826,9/6/2020
1028,Asturias,314,9/6/2020
1029,Baleares,209,9/6/2020
1030,Canarias,151,9/6/2020
1031,Cantabria,202,9/6/2020
1032,Castilla La Mancha,2945,9/6/2020
1033,Castilla y León,1928,9/6/2020
1034,Cataluña,5587,9/6/2020
1035,Ceuta,4,9/6/2020
1036,C. Valenciana,1332,9/6/2020
1037,Extremadura,508,9/6/2020
1038,Galicia,609,9/6/2020
1039,Madrid,8691,9/6/2020
1040,Melilla,2,9/6/2020
1041,Murcia,148,9/6/2020
1042,Navarra,490,9/6/2020
1043,País Vasco,1424,9/6/2020
1044,La Rioja,362,9/6/2020
1045,Andalucía,1404,10/6/2020
1046,Aragón,826,10/6/2020
1047,Asturias,314,10/6/2020
1048,Baleares,209,10/6/2020
1049,Canarias,151,10/6/2020
1050,Cantabria,202,10/6/2020
1051,Castilla La Mancha,2945,10/6/2020
1052,Castilla y León,1928,10/6/2020
1053,Cataluña,5587,10/6/2020
1054,Ceuta,4,10/6/2020
1055,C. Valenciana,1332,10/6/2020
1056,Extremadura,508,10/6/2020
1057,Galicia,609,10/6/2020
1058,Madrid,8691,10/6/2020
1059,Melilla,2,10/6/2020
1060,Murcia,148,10/6/2020
1061,Navarra,490,10/6/2020
1062,País Vasco,1424,10/6/2020
1063,La Rioja,362,10/6/2020
1064,Andalucía,1404,11/6/2020
1065,Aragón,826,11/6/2020
1066,Asturias,314,11/6/2020
1067,Baleares,209,11/6/2020
1068,Canarias,151,11/6/2020
1069,Cantabria,202,11/6/2020
1070,Castilla La Mancha,2945,11/6/2020
1071,Castilla y León,1928,11/6/2020
1072,Cataluña,5587,11/6/2020
1073,Ceuta,4,11/6/2020
1074,C. Valenciana,1332,11/6/2020
1075,Extremadura,508,11/6/2020
1076,Galicia,609,11/6/2020
1077,Madrid,8691,11/6/2020
1078,Melilla,2,11/6/2020
1079,Murcia,148,11/6/2020
1080,Navarra,490,11/6/2020
1081,País Vasco,1424,11/6/2020
1082,La Rioja,362,11/6/2020
1083,Andalucía,1404,12/6/2020
1084,Aragón,826,12/6/2020
1085,Asturias,314,12/6/2020
1086,Baleares,209,12/6/2020
1087,Canarias,151,12/6/2020
1088,Cantabria,202,12/6/2020
1089,Castilla La Mancha,2945,12/6/2020
1090,Castilla y León,1928,12/6/2020
1091,Cataluña,5587,12/6/2020
1092,Ceuta,4,12/6/2020
1093,C. Valenciana,1332,12/6/2020
1094,Extremadura,508,12/6/2020
1095,Galicia,609,12/6/2020
1096,Madrid,8691,12/6/2020
1097,Melilla,2,12/6/2020
1098,Murcia,148,12/6/2020
1099,Navarra,490,12/6/2020
1100,País Vasco,1424,12/6/2020
1101,La Rioja,362,12/6/2020
1102,Andalucía,1404,13/6/2020
1103,Aragón,826,13/6/2020
1104,Asturias,314,13/6/2020
1105,Baleares,209,13/6/2020
1106,Canarias,151,13/6/2020
1107,Cantabria,202,13/6/2020
1108,Castilla La Mancha,2945,13/6/2020
1109,Castilla y León,1928,13/6/2020
1110,Cataluña,5587,13/6/2020
1111,Ceuta,4,13/6/2020
1112,C. Valenciana,1332,13/6/2020
1113,Extremadura,508,13/6/2020
1114,Galicia,609,13/6/2020
1115,Madrid,8691,13/6/2020
1116,Melilla,2,13/6/2020
1117,Murcia,148,13/6/2020
1118,Navarra,490,13/6/2020
1119,País Vasco,1424,13/6/2020
1120,La Rioja,362,13/6/2020
1121,Andalucía,1404,14/6/2020
1122,Aragón,826,14/6/2020
1123,Asturias,314,14/6/2020
1124,Baleares,209,14/6/2020
1125,Canarias,151,14/6/2020
1126,Cantabria,202,14/6/2020
1127,Castilla La Mancha,2945,14/6/2020
1128,Castilla y León,1928,14/6/2020
1129,Cataluña,5587,14/6/2020
1130,Ceuta,4,14/6/2020
1131,C. Valenciana,1332,14/6/2020
1132,Extremadura,508,14/6/2020
1133,Galicia,609,14/6/2020
1134,Madrid,8691,14/6/2020
1135,Melilla,2,14/6/2020
1136,Murcia,148,14/6/2020
1137,Navarra,490,14/6/2020
1138,País Vasco,1424,14/6/2020
1139,La Rioja,362,14/6/2020
1140,Andalucía,1404,16/6/2020
1141,Aragón,826,16/6/2020
1142,Asturias,314,16/6/2020
1143,Baleares,209,16/6/2020
1144,Canarias,151,16/6/2020
1145,Cantabria,202,16/6/2020
1146,Castilla La Mancha,2945,16/6/2020
1147,Castilla y León,1928,16/6/2020
1148,Cataluña,5587,16/6/2020
1149,Ceuta,4,16/6/2020
1150,C. Valenciana,1332,16/6/2020
1151,Extremadura,508,16/6/2020
1152,Galicia,609,16/6/2020
1153,Madrid,8691,16/6/2020
1154,Melilla,2,16/6/2020
1155,Murcia,148,16/6/2020
1156,Navarra,490,16/6/2020
1157,País Vasco,1424,16/6/2020
1158,La Rioja,362,16/6/2020
1159,Andalucía,1404,17/6/2020
1160,Aragón,826,17/6/2020
1161,Asturias,314,17/6/2020
1162,Baleares,209,17/6/2020
1163,Canarias,151,17/6/2020
1164,Cantabria,202,17/6/2020
1165,Castilla La Mancha,2945,17/6/2020
1166,Castilla y León,1928,17/6/2020
1167,Cataluña,5587,17/6/2020
1168,Ceuta,4,17/6/2020
1169,C. Valenciana,1332,17/6/2020
1170,Extremadura,508,17/6/2020
1171,Galicia,609,17/6/2020
1172,Madrid,8691,17/6/2020
1173,Melilla,2,17/6/2020
1174,Murcia,148,17/6/2020
1175,Navarra,490,17/6/2020
1176,País Vasco,1424,17/6/2020
1177,La Rioja,362,17/6/2020
1178,Andalucía,1404,18/6/2020
1179,Aragón,826,18/6/2020
1180,Asturias,314,18/6/2020
1181,Baleares,209,18/6/2020
1182,Canarias,151,18/6/2020
1183,Cantabria,202,18/6/2020
1184,Castilla La Mancha,2945,18/6/2020
1185,Castilla y León,1928,18/6/2020
1186,Cataluña,5587,18/6/2020
1187,Ceuta,4,18/6/2020
1188,C. Valenciana,1332,18/6/2020
1189,Extremadura,508,18/6/2020
1190,Galicia,609,18/6/2020
1191,Madrid,8691,18/6/2020
1192,Melilla,2,18/6/2020
1193,Murcia,148,18/6/2020
1194,Navarra,490,18/6/2020
1195,País Vasco,1424,18/6/2020
1196,La Rioja,362,18/6/2020
1197,Andalucía,1426,19/6/2020
1198,Aragón,911,19/6/2020
1199,Asturias,333,19/6/2020
1200,Baleares,224,19/6/2020
1201,Canarias,162,19/6/2020
1202,Cantabria,216,19/6/2020
1203,Castilla La Mancha,3022,19/6/2020
1204,Castilla y León,2775,19/6/2020
1205,Cataluña,5662,19/6/2020
1206,Ceuta,4,19/6/2020
1207,C. Valenciana,1430,19/6/2020
1208,Extremadura,519,19/6/2020
1209,Galicia,619,19/6/2020
1210,Madrid,8416,19/6/2020
1211,Melilla,2,19/6/2020
1212,Murcia,147,19/6/2020
1213,Navarra,528,19/6/2020
1214,País Vasco,1554,19/6/2020
1215,La Rioja,365,19/6/2020
1216,Andalucía,1426,20/6/2020
1217,Aragón,911,20/6/2020
1218,Asturias,333,20/6/2020
1219,Baleares,224,20/6/2020
1220,Canarias,162,20/6/2020
1221,Cantabria,216,20/6/2020
1222,Castilla La Mancha,3022,20/6/2020
1223,Castilla y León,2776,20/6/2020
1224,Cataluña,5666,20/6/2020
1225,Ceuta,4,20/6/2020
1226,C. Valenciana,1431,20/6/2020
1227,Extremadura,519,20/6/2020
1228,Galicia,619,20/6/2020
1229,Madrid,8416,20/6/2020
1230,Melilla,2,20/6/2020
1231,Murcia,147,20/6/2020
1232,Navarra,528,20/6/2020
1233,País Vasco,1555,20/6/2020
1234,La Rioja,365,20/6/2020
1235,Andalucía,1426,21/6/2020
1236,Aragón,911,21/6/2020
1237,Asturias,333,21/6/2020
1238,Baleares,224,21/6/2020
1239,Canarias,162,21/6/2020
1240,Cantabria,216,21/6/2020
1241,Castilla La Mancha,3022,21/6/2020
1242,Castilla y León,2777,21/6/2020
1243,Cataluña,5666,21/6/2020
1244,Ceuta,4,21/6/2020
1245,C. Valenciana,1431,21/6/2020
1246,Extremadura,519,21/6/2020
1247,Galicia,619,21/6/2020
1248,Madrid,8416,21/6/2020
1249,Melilla,2,21/6/2020
1250,Murcia,147,21/6/2020
1251,Navarra,528,21/6/2020
1252,País Vasco,1555,21/6/2020
1253,La Rioja,365,21/6/2020
1254,Andalucía,1426,22/6/2020
1255,Aragón,911,22/6/2020
1256,Asturias,333,22/6/2020
1257,Baleares,224,22/6/2020
1258,Canarias,162,22/6/2020
1259,Cantabria,216,22/6/2020
1260,Castilla La Mancha,3022,22/6/2020
1261,Castilla y León,2778,22/6/2020
1262,Cataluña,5666,22/6/2020
1263,Ceuta,4,22/6/2020
1264,C. Valenciana,1431,22/6/2020
1265,Extremadura,519,22/6/2020
1266,Galicia,619,22/6/2020
1267,Madrid,8416,22/6/2020
1268,Melilla,2,22/6/2020
1269,Murcia,147,22/6/2020
1270,Navarra,528,22/6/2020
1271,País Vasco,1555,22/6/2020
1272,La Rioja,365,22/6/2020
1273,Andalucía,1426,23/6/2020
1274,Aragón,911,23/6/2020
1275,Asturias,333,23/6/2020
1276,Baleares,224,23/6/2020
1277,Canarias,162,23/6/2020
1278,Cantabria,216,23/6/2020
1279,Castilla La Mancha,3022,23/6/2020
1280,Castilla y León,2779,23/6/2020
1281,Cataluña,5666,23/6/2020
1282,Ceuta,4,23/6/2020
1283,C. Valenciana,1431,23/6/2020
1284,Extremadura,519,23/6/2020
1285,Galicia,619,23/6/2020
1286,Madrid,8416,23/6/2020
1287,Melilla,2,23/6/2020
1288,Murcia,147,23/6/2020
1289,Navarra,528,23/6/2020
1290,País Vasco,1555,23/6/2020
1291,La Rioja,365,23/6/2020
1292,Andalucía,1426,24/6/2020
1293,Aragón,911,24/6/2020
1294,Asturias,333,24/6/2020
1295,Baleares,224,24/6/2020
1296,Canarias,162,24/6/2020
1297,Cantabria,216,24/6/2020
1298,Castilla La Mancha,3022,24/6/2020
1299,Castilla y León,2780,24/6/2020
1300,Cataluña,5666,24/6/2020
1301,Ceuta,4,24/6/2020
1302,C. Valenciana,1432,24/6/2020
1303,Extremadura,519,24/6/2020
1304,Galicia,619,24/6/2020
1305,Madrid,8416,24/6/2020
1306,Melilla,2,24/6/2020
1307,Murcia,147,24/6/2020
1308,Navarra,528,24/6/2020
1309,País Vasco,1555,24/6/2020
1310,La Rioja,365,24/6/2020
1311,Andalucía,1426,25/6/2020
1312,Aragón,911,25/6/2020
1313,Asturias,334,25/6/2020
1314,Baleares,224,25/6/2020
1315,Canarias,162,25/6/2020
1316,Cantabria,216,25/6/2020
1317,Castilla La Mancha,3020,25/6/2020
1318,Castilla y León,2783,25/6/2020
1319,Cataluña,5666,25/6/2020
1320,Ceuta,4,25/6/2020
1321,C. Valenciana,1432,25/6/2020
1322,Extremadura,519,25/6/2020
1323,Galicia,619,25/6/2020
1324,Madrid,8417,25/6/2020
1325,Melilla,2,25/6/2020
1326,Murcia,147,25/6/2020
1327,Navarra,528,25/6/2020
1328,País Vasco,1555,25/6/2020
1329,La Rioja,365,25/6/2020
1330,Andalucía,1426,26/6/2020
1331,Aragón,912,26/6/2020
1332,Asturias,334,26/6/2020
1333,Baleares,224,26/6/2020
1334,Canarias,162,26/6/2020
1335,Cantabria,216,26/6/2020
1336,Castilla La Mancha,3024,26/6/2020
1337,Castilla y León,2783,26/6/2020
1338,Cataluña,5668,26/6/2020
1339,Ceuta,4,26/6/2020
1340,C. Valenciana,1432,26/6/2020
1341,Extremadura,519,26/6/2020
1342,Galicia,619,26/6/2020
1343,Madrid,8418,26/6/2020
1344,Melilla,2,26/6/2020
1345,Murcia,147,26/6/2020
1346,Navarra,528,26/6/2020
1347,País Vasco,1555,26/6/2020
1348,La Rioja,365,26/6/2020
1349,Andalucía,1426,27/6/2020
1350,Aragón,912,27/6/2020
1351,Asturias,334,27/6/2020
1352,Baleares,224,27/6/2020
1353,Canarias,162,27/6/2020
1354,Cantabria,216,27/6/2020
1355,Castilla La Mancha,3024,27/6/2020
1356,Castilla y León,2783,27/6/2020
1357,Cataluña,5668,27/6/2020
1358,Ceuta,4,27/6/2020
1359,C. Valenciana,1432,27/6/2020
1360,Extremadura,519,27/6/2020
1361,Galicia,619,27/6/2020
1362,Madrid,8420,27/6/2020
1363,Melilla,2,27/6/2020
1364,Murcia,147,27/6/2020
1365,Navarra,528,27/6/2020
1366,País Vasco,1555,27/6/2020
1367,La Rioja,366,27/6/2020
1368,Andalucía,1426,28/6/2020
1369,Aragón,912,28/6/2020
1370,Asturias,334,28/6/2020
1371,Baleares,224,28/6/2020
1372,Canarias,162,28/6/2020
1373,Cantabria,216,28/6/2020
1374,Castilla La Mancha,3024,28/6/2020
1375,Castilla y León,2783,28/6/2020
1376,Cataluña,5669,28/6/2020
1377,Ceuta,4,28/6/2020
1378,C. Valenciana,1432,28/6/2020
1379,Extremadura,519,28/6/2020
1380,Galicia,619,28/6/2020
1381,Madrid,8421,28/6/2020
1382,Melilla,2,28/6/2020
1383,Murcia,147,28/6/2020
1384,Navarra,528,28/6/2020
1385,País Vasco,1555,28/6/2020
1386,La Rioja,366,28/6/2020
1387,Andalucía,1426,29/6/2020
1388,Aragón,912,29/6/2020
1389,Asturias,334,29/6/2020
1390,Baleares,224,29/6/2020
1391,Canarias,162,29/6/2020
1392,Cantabria,216,29/6/2020
1393,Castilla La Mancha,3025,29/6/2020
1394,Castilla y León,2784,29/6/2020
1395,Cataluña,5669,29/6/2020
1396,Ceuta,4,29/6/2020
1397,C. Valenciana,1432,29/6/2020
1398,Extremadura,519,29/6/2020
1399,Galicia,619,29/6/2020
1400,Madrid,8421,29/6/2020
1401,Melilla,2,29/6/2020
1402,Murcia,147,29/6/2020
1403,Navarra,528,29/6/2020
1404,País Vasco,1556,29/6/2020
1405,La Rioja,366,29/6/2020
1406,Andalucía,1427,30/6/2020
1407,Aragón,912,30/6/2020
1408,Asturias,334,30/6/2020
1409,Baleares,224,30/6/2020
1410,Canarias,162,30/6/2020
1411,Cantabria,216,30/6/2020
1412,Castilla La Mancha,3026,30/6/2020
1413,Castilla y León,2784,30/6/2020
1414,Cataluña,5670,30/6/2020
1415,Ceuta,4,30/6/2020
1416,C. Valenciana,1432,30/6/2020
1417,Extremadura,519,30/6/2020
1418,Galicia,619,30/6/2020
1419,Madrid,8425,30/6/2020
1420,Melilla,2,30/6/2020
1421,Murcia,147,30/6/2020
1422,Navarra,528,30/6/2020
1423,País Vasco,1558,30/6/2020
1424,La Rioja,366,30/6/2020
1425,Andalucía,1428,1/7/2020
1426,Aragón,912,1/7/2020
1427,Asturias,334,1/7/2020
1428,Baleares,224,1/7/2020
1429,Canarias,162,1/7/2020
1430,Cantabria,216,1/7/2020
1431,Castilla La Mancha,3026,1/7/2020
1432,Castilla y León,2787,1/7/2020
1433,Cataluña,5671,1/7/2020
1434,Ceuta,4,1/7/2020
1435,C. Valenciana,1432,1/7/2020
1436,Extremadura,519,1/7/2020
1437,Galicia,619,1/7/2020
1438,Madrid,8426,1/7/2020
1439,Melilla,2,1/7/2020
1440,Murcia,147,1/7/2020
1441,Navarra,528,1/7/2020
1442,País Vasco,1560,1/7/2020
1443,La Rioja,366,1/7/2020
1444,Andalucía,1428,2/7/2020
1445,Aragón,912,2/7/2020
1446,Asturias,334,2/7/2020
1447,Baleares,224,2/7/2020
1448,Canarias,162,2/7/2020
1449,Cantabria,216,2/7/2020
1450,Castilla La Mancha,3026,2/7/2020
1451,Castilla y León,2787,2/7/2020
1452,Cataluña,5673,2/7/2020
1453,Ceuta,4,2/7/2020
1454,C. Valenciana,1432,2/7/2020
1455,Extremadura,519,2/7/2020
1456,Galicia,619,2/7/2020
1457,Madrid,8428,2/7/2020
1458,Melilla,2,2/7/2020
1459,Murcia,148,2/7/2020
1460,Navarra,528,2/7/2020
1461,País Vasco,1560,2/7/2020
1462,La Rioja,366,2/7/2020
1463,Andalucía,1433,3/7/2020
1464,Aragón,912,3/7/2020
1465,Asturias,334,3/7/2020
1466,Baleares,224,3/7/2020
1467,Canarias,162,3/7/2020
1468,Cantabria,216,3/7/2020
1469,Castilla La Mancha,3026,3/7/2020
1470,Castilla y León,2787,3/7/2020
1471,Cataluña,5673,3/7/2020
1472,Ceuta,4,3/7/2020
1473,C. Valenciana,1432,3/7/2020
1474,Extremadura,519,3/7/2020
1475,Galicia,619,3/7/2020
1476,Madrid,8439,3/7/2020
1477,Melilla,2,3/7/2020
1478,Murcia,148,3/7/2020
1479,Navarra,528,3/7/2020
1480,País Vasco,1561,3/7/2020
1481,La Rioja,366,3/7/2020
1482,Andalucía,1433,6/7/2020
1483,Aragón,913,6/7/2020
1484,Asturias,334,6/7/2020
1485,Baleares,224,6/7/2020
1486,Canarias,162,6/7/2020
1487,Cantabria,216,6/7/2020
1488,Castilla La Mancha,3027,6/7/2020
1489,Castilla y León,2787,6/7/2020
1490,Cataluña,5674,6/7/2020
1491,Ceuta,4,6/7/2020
1492,C. Valenciana,1432,6/7/2020
1493,Extremadura,519,6/7/2020
1494,Galicia,619,6/7/2020
1495,Madrid,8439,6/7/2020
1496,Melilla,2,6/7/2020
1497,Murcia,148,6/7/2020
1498,Navarra,528,6/7/2020
1499,País Vasco,1561,6/7/2020
1500,La Rioja,366,6/7/2020
1501,Andalucía,1433,7/7/2020
1502,Aragón,913,7/7/2020
1503,Asturias,334,7/7/2020
1504,Baleares,224,7/7/2020
1505,Canarias,162,7/7/2020
1506,Cantabria,216,7/7/2020
1507,Castilla La Mancha,3028,7/7/2020
1508,Castilla y León,2788,7/7/2020
1509,Cataluña,5675,7/7/2020
1510,Ceuta,4,7/7/2020
1511,C. Valenciana,1432,7/7/2020
1512,Extremadura,519,7/7/2020
1513,Galicia,619,7/7/2020
1514,Madrid,8440,7/7/2020
1515,Melilla,2,7/7/2020
1516,Murcia,148,7/7/2020
1517,Navarra,528,7/7/2020
1518,País Vasco,1561,7/7/2020
1519,La Rioja,366,7/7/2020
1520,Andalucía,1434,8/7/2020
1521,Aragón,913,8/7/2020
1522,Asturias,334,8/7/2020
1523,Baleares,224,8/7/2020
1524,Canarias,162,8/7/2020
1525,Cantabria,216,8/7/2020
1526,Castilla La Mancha,3029,8/7/2020
1527,Castilla y León,2788,8/7/2020
1528,Cataluña,5675,8/7/2020
1529,Ceuta,4,8/7/2020
1530,C. Valenciana,1432,8/7/2020
1531,Extremadura,519,8/7/2020
1532,Galicia,619,8/7/2020
1533,Madrid,8441,8/7/2020
1534,Melilla,2,8/7/2020
1535,Murcia,148,8/7/2020
1536,Navarra,528,8/7/2020
1537,País Vasco,1562,8/7/2020
1538,La Rioja,366,8/7/2020
1539,Andalucía,1435,9/7/2020
1540,Aragón,913,9/7/2020
1541,Asturias,334,9/7/2020
1542,Baleares,224,9/7/2020
1543,Canarias,162,9/7/2020
1544,Cantabria,216,9/7/2020
1545,Castilla La Mancha,3029,9/7/2020
1546,Castilla y León,2791,9/7/2020
1547,Cataluña,5675,9/7/2020
1548,Ceuta,4,9/7/2020
1549,C. Valenciana,1432,9/7/2020
1550,Extremadura,519,9/7/2020
1551,Galicia,619,9/7/2020
1552,Madrid,8442,9/7/2020
1553,Melilla,2,9/7/2020
1554,Murcia,148,9/7/2020
1555,Navarra,528,9/7/2020
1556,País Vasco,1562,9/7/2020
1557,La Rioja,366,9/7/2020
1558,Andalucía,1435,10/7/2020
1559,Aragón,915,10/7/2020
1560,Asturias,334,10/7/2020
1561,Baleares,224,10/7/2020
1562,Canarias,162,10/7/2020
1563,Cantabria,216,10/7/2020
1564,Castilla La Mancha,3029,10/7/2020
1565,Castilla y León,2792,10/7/2020
