,ccaa,fallecidos,fecha
184,Madrid,7848,25/4/2020
185,Melilla,2,25/4/2020
186,Murcia,126,25/4/2020
187,Navarra,429,25/4/2020
188,País Vasco,1212,25/4/2020
189,La Rioja,311,25/4/2020
190,Andalucía,1145,26/4/2020
191,Aragón,712,26/4/2020
192,Asturias,249,26/4/2020
193,Baleares,175,26/4/2020
194,Canarias,131,26/4/2020
195,Cantabria,183,26/4/2020
196,Castilla La Mancha,2330,26/4/2020
197,Castilla y León,1666,26/4/2020
198,Cataluña,4566,26/4/2020
199,Ceuta,4,26/4/2020
200,C. Valenciana,1186,26/4/2020
201,Extremadura,422,26/4/2020
202,Galicia,394,26/4/2020
203,Madrid,7922,26/4/2020
204,Melilla,2,26/4/2020
205,Murcia,127,26/4/2020
206,Navarra,431,26/4/2020
207,País Vasco,1230,26/4/2020
208,La Rioja,315,26/4/2020
209,Andalucía,1157,27/4/2020
210,Aragón,726,27/4/2020
211,Asturias,253,27/4/2020
212,Baleares,179,27/4/2020
213,Canarias,131,27/4/2020
214,Cantabria,186,27/4/2020
215,Castilla La Mancha,2365,27/4/2020
216,Castilla y León,1690,27/4/2020
217,Cataluña,4699,27/4/2020
218,Ceuta,4,27/4/2020
219,C. Valenciana,1189,27/4/2020
220,Extremadura,428,27/4/2020
221,Galicia,405,27/4/2020
222,Madrid,7986,27/4/2020
223,Melilla,2,27/4/2020
224,Murcia,128,27/4/2020
225,Navarra,432,27/4/2020
226,País Vasco,1241,27/4/2020
227,La Rioja,320,27/4/2020
228,Andalucía,1168,28/4/2020
229,Aragón,735,28/4/2020
230,Asturias,261,28/4/2020
231,Baleares,181,28/4/2020
232,Canarias,133,28/4/2020
233,Cantabria,188,28/4/2020
234,Castilla La Mancha,2396,28/4/2020
235,Castilla y León,1710,28/4/2020
236,Cataluña,4808,28/4/2020
237,Ceuta,4,28/4/2020
238,C. Valenciana,1200,28/4/2020
239,Extremadura,433,28/4/2020
240,Galicia,412,28/4/2020
241,Madrid,8048,28/4/2020
242,Melilla,2,28/4/2020
243,Murcia,130,28/4/2020
244,Navarra,432,28/4/2020
245,País Vasco,1255,28/4/2020
246,La Rioja,326,28/4/2020
247,Andalucía,1188,29/4/2020
