PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Burgos;20NOV2021;3;55;49;478
Málaga;20NOV2021;12;202;78;1425
Sevilla;20NOV2021;10;365;46;792
Huesca;20NOV2021;25;125;12;106
Araba/Álava;20NOV2021;7;97;45;321
Rioja, La;20NOV2021;5;195;35;656
Almería;20NOV2021;2;58;51;864
DESLOCALIZADOS;20NOV2021;45;1290;58;710
Cantabria;20NOV2021;3;182;43;950
Valencia/València;20NOV2021;107;506;115;1407
Cuenca;20NOV2021;11;37;9;93
Lugo;20NOV2021;5;167;0;0
Ourense;20NOV2021;15;331;0;0
Alicante/Alacant;20NOV2021;40;290;64;886
Tarragona;20NOV2021;36;509;35;271
León;20NOV2021;9;210;29;372
Toledo;20NOV2021;13;88;52;635
Ciudad Real;20NOV2021;4;150;5;255
Valladolid;20NOV2021;30;177;20;364
Jaén;20NOV2021;8;167;8;436
Palencia;20NOV2021;3;66;18;213
Castellón/Castelló;20NOV2021;35;180;19;315
Albacete;20NOV2021;14;136;22;295
Cádiz;20NOV2021;11;159;27;444
Pontevedra;20NOV2021;9;551;0;0
Salamanca;20NOV2021;12;78;23;268
Melilla;20NOV2021;0;59;1;73
Huelva;20NOV2021;6;89;2;119
Guadalajara;20NOV2021;0;40;8;156
Zaragoza;20NOV2021;60;401;13;388
Córdoba;20NOV2021;21;265;12;208
Madrid;20NOV2021;58;1561;264;5013
Zamora;20NOV2021;4;98;1;61
Cáceres;20NOV2021;1;114;11;289
Baleares;20NOV2021;7;289;121;2484
Coruña, A;20NOV2021;14;492;0;0
Barcelona;20NOV2021;218;2903;118;3250
Lleida;20NOV2021;33;449;3;239
Girona;20NOV2021;53;491;29;488
Badajoz;20NOV2021;13;476;10;400
Ceuta;20NOV2021;15;146;2;20
Ávila;20NOV2021;3;76;26;185
Bizkaia;20NOV2021;39;568;163;1522
Asturias;20NOV2021;14;199;87;1454
Soria;20NOV2021;1;42;2;32
Segovia;20NOV2021;1;33;10;81
Granada;20NOV2021;9;171;12;570
Gipuzkoa;20NOV2021;63;635;196;1696
Teruel;20NOV2021;7;63;6;103
Murcia;20NOV2021;22;418;144;2188
Guadalajara;19NOV2021;8;100;15;252
