PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Sevilla;09OCT2021;4;392;23;401
Jaén;09OCT2021;0;134;0;143
Tarragona;09OCT2021;25;481;7;138
Cantabria;09OCT2021;3;122;27;632
Castellón/Castelló;09OCT2021;4;110;2;97
Guadalajara;09OCT2021;0;46;6;62
Valladolid;09OCT2021;0;86;1;215
Cáceres;09OCT2021;1;166;3;283
Girona;09OCT2021;9;428;1;300
Ciudad Real;09OCT2021;6;84;2;159
Coruña, A;09OCT2021;6;428;19;626
Ceuta;09OCT2021;2;30;0;0
Cádiz;09OCT2021;1;160;11;343
Teruel;09OCT2021;1;32;0;13
Burgos;09OCT2021;2;42;13;339
Madrid;09OCT2021;24;1591;128;3264
Lugo;09OCT2021;0;108;1;205
Murcia;09OCT2021;12;318;43;1050
Badajoz;09OCT2021;4;409;9;389
Pontevedra;09OCT2021;1;386;2;288
Bizkaia;09OCT2021;5;234;26;706
Araba/Álava;09OCT2021;1;64;5;209
Barcelona;09OCT2021;19;1999;26;1837
Toledo;09OCT2021;2;62;4;113
Rioja, La;09OCT2021;1;165;3;355
Valencia/València;09OCT2021;3;123;7;503
Gipuzkoa;09OCT2021;11;260;14;810
Ourense;09OCT2021;0;233;1;197
Palencia;09OCT2021;0;58;2;117
Alicante/Alacant;09OCT2021;7;85;10;373
Asturias;09OCT2021;1;134;22;1007
Ávila;09OCT2021;0;34;7;130
Granada;09OCT2021;5;125;8;356
Huesca;09OCT2021;0;56;3;69
Zaragoza;09OCT2021;9;261;6;233
Córdoba;09OCT2021;4;211;5;418
León;09OCT2021;3;105;3;179
Almería;09OCT2021;5;68;39;653
Lleida;09OCT2021;9;238;1;204
Melilla;09OCT2021;1;99;2;69
Málaga;09OCT2021;7;193;16;591
Albacete;09OCT2021;5;95;6;183
Zamora;09OCT2021;0;60;1;36
Baleares;09OCT2021;6;721;48;951
DESLOCALIZADOS;09OCT2021;14;1088;29;619
Huelva;09OCT2021;2;42;4;132
Cuenca;09OCT2021;0;22;4;93
Salamanca;09OCT2021;0;58;2;137
Soria;09OCT2021;0;17;0;30
Segovia;09OCT2021;2;47;13;111
Melilla;08OCT2021;0;112;3;55
Ciudad Real;08OCT2021;10;183;9;277
Araba/Álava;08OCT2021;5;240;2;179
Rioja, La;08OCT2021;1;259;11;366
Huesca;08OCT2021;2;125;5;154
Granada;08OCT2021;0;7;24;760
Girona;08OCT2021;14;859;29;1013
Albacete;08OCT2021;10;149;7;233
Coruña, A;08OCT2021;3;677;19;636
Huelva;08OCT2021;1;19;21;342
Córdoba;08OCT2021;0;13;23;447
Asturias;08OCT2021;2;311;30;1118
Valladolid;08OCT2021;3;287;10;440
Palencia;08OCT2021;1;88;7;174
Teruel;08OCT2021;0;72;1;84
Bizkaia;08OCT2021;19;624;83;764
Badajoz;08OCT2021;9;780;10;399
Lugo;08OCT2021;0;164;5;194
Ávila;08OCT2021;0;71;7;103
Zaragoza;08OCT2021;18;647;34;622
Cádiz;08OCT2021;0;20;0;259
Madrid;08OCT2021;148;8138;153;5920
Baleares;08OCT2021;10;771;52;1799
Burgos;08OCT2021;1;123;11;444
Zamora;08OCT2021;2;72;7;188
Cantabria;08OCT2021;2;394;27;709
León;08OCT2021;4;237;7;318
Salamanca;08OCT2021;3;153;9;169
Palmas, Las;08OCT2021;1;512;19;606
Cuenca;08OCT2021;6;48;10;164
DESLOCALIZADOS;08OCT2021;23;1513;49;1609
Gipuzkoa;08OCT2021;13;512;30;532
Castellón/Castelló;08OCT2021;24;237;17;552
Guadalajara;08OCT2021;1;91;6;159
Toledo;08OCT2021;11;256;22;591
Lleida;08OCT2021;6;515;24;716
Málaga;08OCT2021;0;33;56;1114
Barcelona;08OCT2021;66;6161;146;7802
Ceuta;08OCT2021;0;154;1;39
Santa Cruz de Tenerife;08OCT2021;7;459;13;714
Segovia;08OCT2021;3;60;0;169
Almería;08OCT2021;1;5;38;908
Valencia/València;08OCT2021;21;553;32;1644
Ourense;08OCT2021;2;441;2;425
Murcia;08OCT2021;13;549;44;1118
Alicante/Alacant;08OCT2021;41;473;26;1019
Jaén;08OCT2021;0;8;5;379
Soria;08OCT2021;0;48;1;78
Cáceres;08OCT2021;2;326;32;785
Tarragona;08OCT2021;19;843;14;581
Pontevedra;08OCT2021;4;598;6;522
Sevilla;08OCT2021;0;38;32;662
Cáceres;07OCT2021;0;334;24;579
Huesca;07OCT2021;2;115;7;145
Melilla;07OCT2021;1;113;4;55
Zaragoza;07OCT2021;14;613;47;746
Soria;07OCT2021;1;53;1;80
Cádiz;07OCT2021;2;524;13;529
Ávila;07OCT2021;1;97;52;181
Lleida;07OCT2021;21;576;27;1109
Cantabria;07OCT2021;2;444;25;833
Madrid;07OCT2021;140;8820;236;7071
Gipuzkoa;07OCT2021;16;595;23;607
Castellón/Castelló;07OCT2021;17;274;40;472
Araba/Álava;07OCT2021;4;287;5;414
Málaga;07OCT2021;12;673;52;1507
Asturias;07OCT2021;1;246;17;1502
Navarra;07OCT2021;12;997;13;506
Teruel;07OCT2021;1;89;2;112
Pontevedra;07OCT2021;3;750;9;346
Ciudad Real;07OCT2021;5;214;11;301
Valladolid;07OCT2021;3;306;15;486
Baleares;07OCT2021;6;716;64;1855
Ourense;07OCT2021;2;365;3;251
Toledo;07OCT2021;8;290;9;344
Segovia;07OCT2021;1;84;7;161
Valencia/València;07OCT2021;16;645;43;1686
Santa Cruz de Tenerife;07OCT2021;10;751;28;1085
Burgos;07OCT2021;7;155;18;293
DESLOCALIZADOS;07OCT2021;16;1535;79;2133
Girona;07OCT2021;15;797;28;1510
Lugo;07OCT2021;1;235;4;232
Sevilla;07OCT2021;11;1133;35;617
Badajoz;07OCT2021;6;854;15;413
Almería;07OCT2021;8;268;48;709
Bizkaia;07OCT2021;5;668;44;779
León;07OCT2021;3;299;13;320
Palencia;07OCT2021;0;87;1;142
Rioja, La;07OCT2021;2;391;1;238
Albacete;07OCT2021;3;135;10;261
Murcia;07OCT2021;11;582;62;1139
Jaén;07OCT2021;0;243;5;394
Salamanca;07OCT2021;3;132;7;212
Alicante/Alacant;07OCT2021;21;605;35;1038
Tarragona;07OCT2021;25;849;36;1224
Coruña, A;07OCT2021;0;694;13;699
Zamora;07OCT2021;0;97;7;164
Ceuta;07OCT2021;2;144;0;42
Barcelona;07OCT2021;54;6397;146;9417
Huelva;07OCT2021;3;225;18;290
Palmas, Las;07OCT2021;6;801;18;728
Cuenca;07OCT2021;0;45;0;128
Guadalajara;07OCT2021;5;103;3;156
Granada;07OCT2021;8;331;13;888
Córdoba;07OCT2021;9;427;16;347
