PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Ávila;20JUL2021;29;167;57;345
Araba/Álava;20JUL2021;95;451;143;798
Teruel;20JUL2021;29;117;24;181
Murcia;20JUL2021;258;1544;258;2904
León;20JUL2021;89;510;209;1104
Burgos;20JUL2021;175;630;161;716
Badajoz;20JUL2021;204;2119;245;1811
Málaga;20JUL2021;422;1357;796;3972
Castellón/Castelló;20JUL2021;119;429;172;1247
Barcelona;20JUL2021;3183;13114;1247;9228
Salamanca;20JUL2021;45;226;56;689
Zamora;20JUL2021;18;123;140;706
Valencia/València;20JUL2021;372;1046;936;5826
Cádiz;20JUL2021;220;1131;468;2703
Cantabria;20JUL2021;14;136;331;2141
Madrid;20JUL2021;2664;13384;2211;13617
Sevilla;20JUL2021;351;2191;301;1765
Lugo;20JUL2021;72;371;118;797
Palmas, Las;20JUL2021;50;883;144;1650
Alicante/Alacant;20JUL2021;265;908;450;3207
Coruña, A;20JUL2021;155;1628;252;2516
Melilla;20JUL2021;9;111;9;45
Almería;20JUL2021;49;251;274;1721
Valladolid;20JUL2021;139;797;251;1640
Navarra;20JUL2021;264;1232;279;1940
Córdoba;20JUL2021;194;1214;114;881
Ourense;20JUL2021;61;1742;92;971
DESLOCALIZADOS;20JUL2021;574;3044;568;3356
Albacete;20JUL2021;107;369;106;881
Palencia;20JUL2021;16;93;202;770
Segovia;20JUL2021;33;180;45;337
Rioja, La;20JUL2021;79;470;83;834
Bizkaia;20JUL2021;431;1556;320;3379
Guadalajara;20JUL2021;37;150;32;212
Ciudad Real;20JUL2021;87;358;44;535
Baleares;20JUL2021;459;2533;534;3615
Tarragona;20JUL2021;392;1396;101;988
Gipuzkoa;20JUL2021;248;1274;187;2329
Toledo;20JUL2021;89;366;177;1328
Huelva;20JUL2021;73;505;117;1000
Santa Cruz de Tenerife;20JUL2021;120;842;139;1770
Ceuta;20JUL2021;25;173;10;61
Huesca;20JUL2021;85;239;109;696
Asturias;20JUL2021;59;335;526;3757
Lleida;20JUL2021;201;1014;13;682
Girona;20JUL2021;390;1642;87;1037
Granada;20JUL2021;80;637;315;1736
Pontevedra;20JUL2021;131;1939;342;2330
Jaén;20JUL2021;81;419;185;1289
Zaragoza;20JUL2021;268;948;87;1186
Cáceres;20JUL2021;43;802;192;1344
Soria;20JUL2021;46;171;37;431
Cuenca;20JUL2021;6;68;51;409
Palmas, Las;19JUL2021;123;1589;132;1889
