PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Jaén;09MAR2022;93;449;83;364
Albacete;09MAR2022;87;458;13;249
Ciudad Real;09MAR2022;158;589;35;473
Bizkaia;09MAR2022;335;1136;82;1441
Araba/Álava;09MAR2022;115;372;23;422
Zamora;09MAR2022;40;189;19;201
Soria;09MAR2022;15;130;7;100
Valladolid;09MAR2022;138;814;40;663
Granada;09MAR2022;73;452;128;717
Santa Cruz de Tenerife;09MAR2022;646;1491;199;1311
Coruña, A;09MAR2022;196;1235;250;1242
Barcelona;09MAR2022;1680;9473;356;5108
Tarragona;09MAR2022;432;1514;54;608
Lugo;09MAR2022;76;384;79;445
Cantabria;09MAR2022;137;674;54;628
Girona;09MAR2022;278;1346;22;515
Baleares;09MAR2022;291;1197;155;1327
Salamanca;09MAR2022;101;475;13;304
Huelva;09MAR2022;169;452;52;245
León;09MAR2022;102;516;32;387
Badajoz;09MAR2022;602;2270;83;508
Melilla;09MAR2022;9;110;5;31
Cádiz;09MAR2022;269;1006;223;826
Ávila;09MAR2022;17;258;2;101
Almería;09MAR2022;112;466;62;549
Lleida;09MAR2022;162;722;25;555
Gipuzkoa;09MAR2022;262;858;116;1069
Segovia;09MAR2022;36;208;9;170
Sevilla;09MAR2022;301;1645;114;568
Palencia;09MAR2022;49;243;12;105
Alicante/Alacant;09MAR2022;111;358;91;755
Palmas, Las;09MAR2022;252;917;179;917
Murcia;09MAR2022;390;1830;164;1655
Ourense;09MAR2022;87;783;68;835
Málaga;09MAR2022;380;1083;442;1742
Cuenca;09MAR2022;38;154;4;91
Castellón/Castelló;09MAR2022;30;184;27;423
Huesca;09MAR2022;63;245;20;142
Teruel;09MAR2022;52;145;10;70
Guadalajara;09MAR2022;41;163;6;131
Burgos;09MAR2022;89;294;12;204
Rioja, La;09MAR2022;132;746;5;48
Navarra;09MAR2022;183;1183;104;581
Toledo;09MAR2022;111;482;49;425
Cáceres;09MAR2022;145;739;65;427
Valencia/València;09MAR2022;177;600;163;1877
DESLOCALIZADOS;09MAR2022;195;1446;103;1042
Asturias;09MAR2022;78;557;349;2511
Ceuta;09MAR2022;35;115;1;28
Pontevedra;09MAR2022;177;1365;128;662
Zaragoza;09MAR2022;147;717;66;730
Córdoba;09MAR2022;142;645;36;210
Valencia/València;08MAR2022;266;924;235;2770
Palmas, Las;08MAR2022;416;1424;259;1372
Murcia;08MAR2022;364;1904;126;1656
Lugo;08MAR2022;67;401;85;566
Almería;08MAR2022;168;539;145;694
Albacete;08MAR2022;96;465;14;340
Huesca;08MAR2022;46;154;24;209
Segovia;08MAR2022;23;211;7;186
Cantabria;08MAR2022;117;651;100;783
Girona;08MAR2022;344;1424;63;1127
Gipuzkoa;08MAR2022;236;820;86;1006
Palencia;08MAR2022;43;200;5;171
Teruel;08MAR2022;37;147;10;100
Araba/Álava;08MAR2022;101;374;15;370
Bizkaia;08MAR2022;297;1077;113;1318
