PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Segovia;09FEB2022;90;240;14;174
Ávila;09FEB2022;97;291;29;161
Rioja, La;09FEB2022;253;980;37;100
Cádiz;09FEB2022;297;1004;237;996
Cantabria;09FEB2022;311;1014;332;1168
Madrid;09FEB2022;3851;13117;1508;7938
Badajoz;09FEB2022;670;2147;100;585
Santa Cruz de Tenerife;09FEB2022;192;912;201;1590
Castellón/Castelló;09FEB2022;244;509;132;685
Melilla;09FEB2022;8;117;18;72
Asturias;09FEB2022;261;970;779;3140
Granada;09FEB2022;172;470;543;1582
Teruel;09FEB2022;111;254;39;115
Málaga;09FEB2022;516;1188;486;1324
Huelva;09FEB2022;249;648;107;618
Bizkaia;09FEB2022;634;1503;267;1449
Baleares;09FEB2022;787;2338;340;2138
Valladolid;09FEB2022;289;780;93;863
Lugo;09FEB2022;163;735;161;777
Toledo;09FEB2022;345;827;125;524
Tarragona;09FEB2022;851;2436;74;664
León;09FEB2022;202;778;102;554
Jaén;09FEB2022;255;654;199;649
Ciudad Real;09FEB2022;294;845;91;550
Murcia;09FEB2022;1250;4188;466;2439
Zaragoza;09FEB2022;390;985;206;923
Girona;09FEB2022;592;2022;59;593
Albacete;09FEB2022;298;715;44;343
Lleida;09FEB2022;351;1251;67;765
Araba/Álava;09FEB2022;209;484;48;644
DESLOCALIZADOS;09FEB2022;483;1992;202;1360
Guadalajara;09FEB2022;173;394;18;146
Burgos;09FEB2022;166;472;50;416
Córdoba;09FEB2022;462;1047;144;505
Cáceres;09FEB2022;333;943;139;554
Navarra;09FEB2022;405;1275;132;619
Gipuzkoa;09FEB2022;446;998;246;1808
Valencia/València;09FEB2022;967;1691;788;3309
Salamanca;09FEB2022;227;580;39;267
Sevilla;09FEB2022;698;2200;213;833
Palencia;09FEB2022;100;345;29;132
Cuenca;09FEB2022;92;289;51;167
Palmas, Las;09FEB2022;261;1117;223;1076
Huesca;09FEB2022;151;319;80;245
Ourense;09FEB2022;137;919;257;1267
Barcelona;09FEB2022;3836;12953;926;7362
Coruña, A;09FEB2022;357;1738;677;2510
Almería;09FEB2022;310;710;282;1178
Alicante/Alacant;09FEB2022;581;1018;506;1836
Soria;09FEB2022;56;192;57;205
Ceuta;09FEB2022;61;195;9;40
Zamora;09FEB2022;71;230;44;237
Pontevedra;09FEB2022;301;1498;498;1807
Ourense;08FEB2022;164;869;159;1058
Badajoz;08FEB2022;736;2267;150;744
Girona;08FEB2022;769;2131;174;1518
Toledo;08FEB2022;431;1038;201;883
Santa Cruz de Tenerife;08FEB2022;198;892;214;1753
Albacete;08FEB2022;362;822;99;498
León;08FEB2022;246;873;109;621
Cuenca;08FEB2022;111;333;46;263
Bizkaia;08FEB2022;657;1604;377;2046
Coruña, A;08FEB2022;363;1835;701;2503
Palencia;08FEB2022;98;375;57;204
Rioja, La;08FEB2022;336;1143;45;173
Zamora;08FEB2022;72;244;46;212
Cáceres;08FEB2022;347;1066;343;1283
Melilla;08FEB2022;11;135;17;80
Guadalajara;08FEB2022;185;418;42;210
Pontevedra;08FEB2022;337;1688;589;2474
Murcia;08FEB2022;1164;4103;676;2948
Huesca;08FEB2022;135;317;69;319
Tarragona;08FEB2022;1232;3240;167;1408
Baleares;08FEB2022;763;2171;412;2404
Araba/Álava;08FEB2022;212;547;77;590
Madrid;08FEB2022;4599;13943;1845;10387
Ávila;08FEB2022;109;367;50;182
Córdoba;08FEB2022;518;1219;164;538
Navarra;08FEB2022;332;1348;220;957
Sevilla;08FEB2022;866;2376;334;1494
Granada;08FEB2022;206;581;529;1864
Teruel;08FEB2022;106;225;18;125
Cádiz;08FEB2022;364;1096;407;1503
Barcelona;08FEB2022;5205;15910;1577;13297
Valladolid;08FEB2022;291;814;113;846
Ceuta;08FEB2022;70;204;8;63
Ciudad Real;08FEB2022;274;880;154;744
Salamanca;08FEB2022;233;606;58;435
Valencia/València;08FEB2022;1236;2260;1083;4430
Palmas, Las;08FEB2022;285;1251;296;1731
Segovia;08FEB2022;77;228;25;214
Jaén;08FEB2022;241;641;341;1205
Soria;08FEB2022;45;190;21;120
Zaragoza;08FEB2022;412;1070;380;1449
Huelva;08FEB2022;165;484;139;619
Málaga;08FEB2022;513;1266;557;2265
Lugo;08FEB2022;101;560;171;845
DESLOCALIZADOS;08FEB2022;610;2404;349;2084
Castellón/Castelló;08FEB2022;360;719;215;966
Gipuzkoa;08FEB2022;503;1159;268;2014
Lleida;08FEB2022;528;1559;165;1197
Cantabria;08FEB2022;330;1071;340;1328
Alicante/Alacant;08FEB2022;777;1562;891;3404
Almería;08FEB2022;369;862;458;1591
Burgos;08FEB2022;166;471;95;737
Asturias;08FEB2022;277;1003;1025;3998
Burgos;07FEB2022;310;652;33;247
Lugo;07FEB2022;148;695;123;833
Baleares;07FEB2022;976;2780;526;2681
Valencia/València;07FEB2022;1605;2945;1246;4922
Zamora;07FEB2022;87;272;62;291
Valladolid;07FEB2022;403;1027;106;930
Ávila;07FEB2022;141;335;26;196
Albacete;07FEB2022;408;965;47;375
Ourense;07FEB2022;157;944;190;907
Cáceres;07FEB2022;434;1273;104;586
Cádiz;07FEB2022;348;1220;328;1436
Salamanca;07FEB2022;418;950;46;367
Palencia;07FEB2022;128;320;39;190
Coruña, A;07FEB2022;523;2161;462;1828
Sevilla;07FEB2022;708;2573;179;913
Huelva;07FEB2022;190;559;179;706
Murcia;07FEB2022;1676;5578;441;2079
Madrid;07FEB2022;6029;18311;1719;10071
Córdoba;07FEB2022;572;1306;185;731
Gipuzkoa;07FEB2022;617;1283;167;1278
Castellón/Castelló;07FEB2022;391;874;244;1060
Guadalajara;07FEB2022;185;432;37;234
Araba/Álava;07FEB2022;234;588;54;696
Melilla;07FEB2022;14;153;20;53
Alicante/Alacant;07FEB2022;913;1860;951;3200
Toledo;07FEB2022;570;1303;140;711
Bizkaia;07FEB2022;803;1734;289;1836
Badajoz;07FEB2022;967;2800;145;843
Palmas, Las;07FEB2022;462;1971;288;1453
Zaragoza;07FEB2022;493;1136;468;1536
Ceuta;07FEB2022;86;280;6;82
Lleida;07FEB2022;679;2195;182;1301
Granada;07FEB2022;194;523;575;2072
Málaga;07FEB2022;428;1200;477;1905
Jaén;07FEB2022;285;792;286;970
Almería;07FEB2022;341;840;383;1492
Tarragona;07FEB2022;1403;3591;205;1514
Pontevedra;07FEB2022;424;2002;350;1514
Soria;07FEB2022;85;242;41;193
Cantabria;07FEB2022;441;1446;260;1260
Barcelona;07FEB2022;7104;21592;2010;15200
Ciudad Real;07FEB2022;354;1029;104;771
DESLOCALIZADOS;07FEB2022;785;3614;355;2205
Segovia;07FEB2022;84;256;19;289
León;07FEB2022;326;1039;117;676
Navarra;07FEB2022;592;1821;291;1140
Girona;07FEB2022;995;3102;260;2022
Teruel;07FEB2022;111;258;30;145
Santa Cruz de Tenerife;07FEB2022;397;1604;187;1904
Cuenca;07FEB2022;193;468;23;142
Huesca;07FEB2022;177;362;109;403
Rioja, La;07FEB2022;335;1316;21;130
Asturias;07FEB2022;301;1178;840;3269
Cuenca;06FEB2022;100;232;23;139
Pontevedra;06FEB2022;168;898;327;1431
Alicante/Alacant;06FEB2022;210;586;273;902
Castellón/Castelló;06FEB2022;133;309;52;256
Palencia;06FEB2022;32;125;26;150
Zamora;06FEB2022;37;111;10;64
Lleida;06FEB2022;431;769;47;207
Barcelona;06FEB2022;4862;7989;544;3768
Ciudad Real;06FEB2022;208;545;25;227
Coruña, A;06FEB2022;218;1173;630;2268
Ávila;06FEB2022;53;143;12;67
Baleares;06FEB2022;734;1837;277;1366
Badajoz;06FEB2022;474;1386;47;319
Sevilla;06FEB2022;154;776;64;371
Navarra;06FEB2022;243;566;66;371
León;06FEB2022;79;300;29;167
Teruel;06FEB2022;45;99;23;91
Burgos;06FEB2022;35;112;26;185
Huesca;06FEB2022;60;137;12;56
Ceuta;06FEB2022;57;155;5;20
Palmas, Las;06FEB2022;157;682;152;783
Valladolid;06FEB2022;114;284;37;403
Ourense;06FEB2022;84;571;143;909
Zaragoza;06FEB2022;103;314;146;600
Valencia/València;06FEB2022;278;693;261;1237
Cantabria;06FEB2022;191;471;146;539
Cáceres;06FEB2022;166;485;37;276
Huelva;06FEB2022;36;97;12;107
Asturias;06FEB2022;67;417;771;2607
Bizkaia;06FEB2022;502;938;203;1019
Segovia;06FEB2022;45;125;9;71
Málaga;06FEB2022;109;307;207;1119
Murcia;06FEB2022;333;1524;280;1273
Madrid;06FEB2022;645;3368;610;4157
Guadalajara;06FEB2022;99;193;11;55
Soria;06FEB2022;29;117;17;105
Girona;06FEB2022;649;1143;39;326
Rioja, La;06FEB2022;63;377;7;29
Lugo;06FEB2022;45;216;123;526
Santa Cruz de Tenerife;06FEB2022;72;428;120;889
Albacete;06FEB2022;182;411;13;114
Toledo;06FEB2022;240;458;18;202
Tarragona;06FEB2022;1024;1533;45;267
DESLOCALIZADOS;06FEB2022;384;1784;185;1117
Melilla;06FEB2022;5;68;8;49
Gipuzkoa;06FEB2022;365;722;210;1138
Granada;06FEB2022;74;186;95;420
Córdoba;06FEB2022;116;361;26;187
Araba/Álava;06FEB2022;168;294;64;439
Cádiz;06FEB2022;91;355;116;623
Almería;06FEB2022;142;274;254;900
Salamanca;06FEB2022;97;217;9;225
