PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Asturias;07DEC2021;59;614;301;3636
León;07DEC2021;77;562;104;818
Melilla;07DEC2021;25;222;10;68
Zaragoza;07DEC2021;274;1138;124;1461
Barcelona;07DEC2021;1656;11987;300;4973
Albacete;07DEC2021;35;236;29;489
Sevilla;07DEC2021;4;62;135;990
Palmas, Las;07DEC2021;38;650;71;1203
Baleares;07DEC2021;110;1184;548;3585
Soria;07DEC2021;22;120;9;347
Salamanca;07DEC2021;34;242;164;716
Ciudad Real;07DEC2021;34;277;60;824
Rioja, La;07DEC2021;15;336;50;741
Zamora;07DEC2021;26;186;125;530
Pontevedra;07DEC2021;61;1205;387;2841
Cantabria;07DEC2021;33;539;141;1558
Jaén;07DEC2021;0;0;36;669
Cáceres;07DEC2021;16;326;36;516
Huesca;07DEC2021;87;277;78;472
DESLOCALIZADOS;07DEC2021;195;2376;196;1972
Palencia;07DEC2021;14;141;45;397
Cuenca;07DEC2021;12;82;8;216
Burgos;07DEC2021;27;179;55;547
Lleida;07DEC2021;191;1246;29;793
Almería;07DEC2021;0;5;62;1041
Bizkaia;07DEC2021;164;1413;268;2375
Badajoz;07DEC2021;60;1081;97;1314
Segovia;07DEC2021;2;103;40;454
Murcia;07DEC2021;137;1059;356;2839
Girona;07DEC2021;326;1761;109;1191
Madrid;07DEC2021;1174;12114;528;7826
Tarragona;07DEC2021;169;1566;51;689
Ourense;07DEC2021;63;633;183;1344
Ávila;07DEC2021;14;139;38;377
Lugo;07DEC2021;10;321;33;658
Ceuta;07DEC2021;31;319;17;127
Málaga;07DEC2021;1;34;71;803
Valencia/València;07DEC2021;342;1185;518;3915
Santa Cruz de Tenerife;07DEC2021;24;609;39;1091
Coruña, A;07DEC2021;38;1049;193;2040
Guadalajara;07DEC2021;24;179;3;299
Castellón/Castelló;07DEC2021;51;270;115;1027
Teruel;07DEC2021;40;190;23;174
Huelva;07DEC2021;0;8;98;866
Alicante/Alacant;07DEC2021;247;904;262;2178
Granada;07DEC2021;0;3;101;1256
Gipuzkoa;07DEC2021;187;1290;501;2133
Toledo;07DEC2021;46;314;27;601
Cádiz;07DEC2021;0;26;119;1223
Valladolid;07DEC2021;102;686;269;1566
Córdoba;07DEC2021;1;15;53;427
Araba/Álava;07DEC2021;58;464;156;711
Baleares;06DEC2021;85;924;243;1561
Melilla;06DEC2021;8;87;4;45
Toledo;06DEC2021;20;178;4;100
Zaragoza;06DEC2021;71;454;43;602
Cáceres;06DEC2021;7;175;26;334
Santa Cruz de Tenerife;06DEC2021;27;671;71;1013
Madrid;06DEC2021;161;3274;192;3641
Alicante/Alacant;06DEC2021;144;752;121;968
Cádiz;06DEC2021;19;271;27;431
Ávila;06DEC2021;16;108;25;155
DESLOCALIZADOS;06DEC2021;102;1823;147;1594
Ourense;06DEC2021;21;325;170;1593
Barcelona;06DEC2021;425;3797;381;4012
Cuenca;06DEC2021;4;57;11;103
Segovia;06DEC2021;3;67;12;238
Badajoz;06DEC2021;30;739;47;495
Córdoba;06DEC2021;20;231;47;438
Sevilla;06DEC2021;42;523;36;417
Asturias;06DEC2021;33;347;330;3361
Gipuzkoa;06DEC2021;98;689;505;2305
Navarra;06DEC2021;230;1031;0;0
Ciudad Real;06DEC2021;17;169;13;159
Lleida;06DEC2021;94;620;42;269
Zamora;06DEC2021;15;132;5;69
Coruña, A;06DEC2021;25;751;164;1846
León;06DEC2021;39;376;64;389
Granada;06DEC2021;21;236;34;357
Valladolid;06DEC2021;79;379;149;640
Tarragona;06DEC2021;94;766;93;529
Cantabria;06DEC2021;7;265;184;1629
Albacete;06DEC2021;32;201;34;380
Teruel;06DEC2021;25;109;7;92
Rioja, La;06DEC2021;14;245;69;378
Salamanca;06DEC2021;17;155;6;106
Girona;06DEC2021;111;676;195;1464
Murcia;06DEC2021;44;405;128;1129
Palencia;06DEC2021;18;128;21;132
Huelva;06DEC2021;22;125;23;218
Almería;06DEC2021;6;101;37;609
Huesca;06DEC2021;44;194;40;320
Ceuta;06DEC2021;28;270;1;24
Bizkaia;06DEC2021;89;600;237;1756
Pontevedra;06DEC2021;53;767;214;1936
Araba/Álava;06DEC2021;60;389;181;734
Burgos;06DEC2021;16;108;71;472
Guadalajara;06DEC2021;11;89;15;107
Palmas, Las;06DEC2021;47;659;136;1587
Jaén;06DEC2021;13;189;19;233
Soria;06DEC2021;3;66;25;155
Castellón/Castelló;06DEC2021;85;349;43;412
Valencia/València;06DEC2021;196;960;160;1567
Lugo;06DEC2021;6;158;37;529
Málaga;06DEC2021;47;332;68;814
Araba/Álava;05DEC2021;52;285;120;671
Palmas, Las;05DEC2021;48;680;101;1286
Lugo;05DEC2021;8;169;52;719
Teruel;05DEC2021;18;82;24;141
Pontevedra;05DEC2021;57;640;388;2912
Granada;05DEC2021;17;153;22;369
DESLOCALIZADOS;05DEC2021;81;1843;137;1881
Coruña, A;05DEC2021;20;620;103;1468
Barcelona;05DEC2021;379;3684;355;4600
Baleares;05DEC2021;60;760;381;2736
Albacete;05DEC2021;28;153;44;279
Rioja, La;05DEC2021;8;244;27;392
Gipuzkoa;05DEC2021;105;448;430;2598
Navarra;05DEC2021;182;814;5;108
Girona;05DEC2021;93;639;86;1269
Zaragoza;05DEC2021;73;390;42;538
Zamora;05DEC2021;8;104;2;44
Segovia;05DEC2021;3;63;15;131
Málaga;05DEC2021;36;310;128;1156
Guadalajara;05DEC2021;7;61;18;92
Burgos;05DEC2021;24;123;127;735
Huelva;05DEC2021;13;99;37;181
Alicante/Alacant;05DEC2021;178;707;107;724
Ceuta;05DEC2021;20;274;1;21
Córdoba;05DEC2021;21;203;40;386
Asturias;05DEC2021;47;355;294;2874
Valencia/València;05DEC2021;159;775;150;1457
Cuenca;05DEC2021;2;26;15;132
Palencia;05DEC2021;18;109;38;268
Toledo;05DEC2021;9;101;1;121
Ciudad Real;05DEC2021;11;130;6;174
Murcia;05DEC2021;43;391;133;902
Jaén;05DEC2021;15;174;5;121
Castellón/Castelló;05DEC2021;68;283;22;249
Cantabria;05DEC2021;10;220;87;1533
Cádiz;05DEC2021;14;353;59;599
Badajoz;05DEC2021;34;650;49;673
Huesca;05DEC2021;54;188;8;58
Salamanca;05DEC2021;13;131;39;295
Bizkaia;05DEC2021;90;644;237;2200
Ourense;05DEC2021;25;354;144;1446
Soria;05DEC2021;8;62;14;163
Madrid;05DEC2021;136;2334;165;3279
Ávila;05DEC2021;25;108;20;123
León;05DEC2021;25;285;35;246
Santa Cruz de Tenerife;05DEC2021;40;564;82;1300
Sevilla;05DEC2021;37;453;39;396
Melilla;05DEC2021;5;86;7;59
Almería;05DEC2021;6;85;31;707
Cáceres;05DEC2021;6;139;19;241
Valladolid;05DEC2021;43;228;255;892
Lleida;05DEC2021;67;571;47;560
Tarragona;05DEC2021;102;686;84;656
Madrid;04DEC2021;154;3290;572;7104
Valladolid;04DEC2021;67;311;111;545
Gipuzkoa;04DEC2021;97;619;554;2949
Málaga;04DEC2021;48;372;201;1706
Melilla;04DEC2021;16;124;6;123
Ceuta;04DEC2021;8;140;8;38
Almería;04DEC2021;8;109;60;873
Zamora;04DEC2021;9;123;5;67
Segovia;04DEC2021;4;47;8;98
Soria;04DEC2021;8;66;21;124
Bizkaia;04DEC2021;85;787;342;2599
Ávila;04DEC2021;8;99;43;310
Teruel;04DEC2021;30;112;12;162
Santa Cruz de Tenerife;04DEC2021;32;641;75;1343
Cáceres;04DEC2021;17;150;43;425
Cádiz;04DEC2021;26;347;145;1041
Cuenca;04DEC2021;1;38;11;175
Jaén;04DEC2021;12;173;46;528
Salamanca;04DEC2021;17;103;75;369
Guadalajara;04DEC2021;10;55;17;199
Murcia;04DEC2021;47;526;406;2879
Ourense;04DEC2021;34;388;193;1726
Palmas, Las;04DEC2021;41;808;157;2013
Araba/Álava;04DEC2021;56;266;126;689
Baleares;04DEC2021;91;927;326;2631
Sevilla;04DEC2021;47;452;224;1577
Castellón/Castelló;04DEC2021;111;408;67;635
Albacete;04DEC2021;27;156;30;636
Lleida;04DEC2021;100;832;56;654
Girona;04DEC2021;113;1251;140;1393
Lugo;04DEC2021;8;178;44;572
Cantabria;04DEC2021;19;211;102;1428
Palencia;04DEC2021;9;95;47;267
Rioja, La;04DEC2021;17;275;56;436
Granada;04DEC2021;16;158;45;601
Badajoz;04DEC2021;35;647;26;599
Coruña, A;04DEC2021;27;672;216;2260
León;04DEC2021;24;333;175;645
Navarra;04DEC2021;238;928;0;1
Barcelona;04DEC2021;500;6441;696;8809
Ciudad Real;04DEC2021;10;118;11;251
Alicante/Alacant;04DEC2021;220;939;226;2046
Córdoba;04DEC2021;37;429;82;751
Pontevedra;04DEC2021;47;704;401;3281
Valencia/València;04DEC2021;289;1482;599;4348
DESLOCALIZADOS;04DEC2021;111;2180;234;2977
Huesca;04DEC2021;42;202;62;323
Asturias;04DEC2021;33;303;391;3142
Toledo;04DEC2021;13;144;49;666
Tarragona;04DEC2021;68;947;117;1202
Burgos;04DEC2021;39;130;94;580
Huelva;04DEC2021;14;84;42;270
Zaragoza;04DEC2021;125;782;214;1250
Huesca;03DEC2021;63;368;217;750
Santa Cruz de Tenerife;03DEC2021;45;1395;110;2109
Cádiz;03DEC2021;52;940;216;1643
Almería;03DEC2021;16;383;84;1307
Girona;03DEC2021;220;2298;183;2225
Cáceres;03DEC2021;10;546;37;742
Huelva;03DEC2021;31;358;97;980
Ciudad Real;03DEC2021;13;270;52;714
Pontevedra;03DEC2021;68;1328;353;2802
Melilla;03DEC2021;14;178;10;93
Valencia/València;03DEC2021;400;2378;737;5315
Segovia;03DEC2021;2;125;29;261
Asturias;03DEC2021;61;671;449;3877
Barcelona;03DEC2021;969;14877;1689;20531
Albacete;03DEC2021;27;194;52;727
Cuenca;03DEC2021;9;86;21;228
Araba/Álava;03DEC2021;102;637;115;890
Palencia;03DEC2021;9;173;102;310
León;03DEC2021;53;654;129;707
Soria;03DEC2021;17;134;28;242
Guadalajara;03DEC2021;11;154;45;325
Salamanca;03DEC2021;25;288;76;602
Valladolid;03DEC2021;100;818;281;1616
Castellón/Castelló;03DEC2021;147;699;202;1464
Coruña, A;03DEC2021;29;1040;218;2191
Bizkaia;03DEC2021;164;1589;387;3648
Murcia;03DEC2021;81;1066;337;3196
Gipuzkoa;03DEC2021;176;1398;478;3824
Rioja, La;03DEC2021;22;661;101;777
Lugo;03DEC2021;19;388;48;957
Navarra;03DEC2021;180;849;4;52
Lleida;03DEC2021;125;1377;180;2375
Zaragoza;03DEC2021;202;1517;345;2315
Granada;03DEC2021;39;545;103;907
Toledo;03DEC2021;40;273;74;760
Tarragona;03DEC2021;135;1901;161;2205
Alicante/Alacant;03DEC2021;311;1600;338;2839
Baleares;03DEC2021;642;11747;444;3324
Jaén;03DEC2021;33;475;67;818
Palmas, Las;03DEC2021;61;1629;183;2372
Ceuta;03DEC2021;23;420;7;91
Teruel;03DEC2021;30;188;42;330
Ávila;03DEC2021;10;167;76;401
DESLOCALIZADOS;03DEC2021;151;3260;335;4020
Ourense;03DEC2021;37;662;168;1473
Zamora;03DEC2021;22;213;52;355
Málaga;03DEC2021;103;1343;253;2515
Badajoz;03DEC2021;45;1485;54;1235
Córdoba;03DEC2021;49;850;74;661
Madrid;03DEC2021;910;17309;867;11208
Sevilla;03DEC2021;173;2181;247;1633
Burgos;03DEC2021;18;304;149;850
Cantabria;03DEC2021;30;645;141;1899
Ourense;02DEC2021;61;602;216;1902
Ceuta;02DEC2021;21;464;15;133
Cuenca;02DEC2021;8;75;26;189
Soria;02DEC2021;13;119;20;265
DESLOCALIZADOS;02DEC2021;144;2973;339;3339
Rioja, La;02DEC2021;29;539;63;848
Sevilla;02DEC2021;168;2205;252;1847
Huesca;02DEC2021;78;336;163;712
Salamanca;02DEC2021;28;266;122;845
Burgos;02DEC2021;17;202;144;831
Madrid;02DEC2021;746;16109;825;12213
Ciudad Real;02DEC2021;15;250;43;707
Zaragoza;02DEC2021;183;1235;376;2898
Melilla;02DEC2021;9;145;10;124
Granada;02DEC2021;38;433;83;1016
Valladolid;02DEC2021;91;724;245;1202
Lleida;02DEC2021;134;1269;154;2054
Santa Cruz de Tenerife;02DEC2021;47;1465;170;2906
Guadalajara;02DEC2021;20;165;18;308
Badajoz;02DEC2021;50;1243;82;1073
Cáceres;02DEC2021;15;364;43;646
Ávila;02DEC2021;20;154;41;356
Valencia/València;02DEC2021;351;2116;738;5777
Coruña, A;02DEC2021;31;1025;183;2170
Málaga;02DEC2021;76;1037;167;2205
Araba/Álava;02DEC2021;80;565;124;838
Gipuzkoa;02DEC2021;214;1484;633;3751
Castellón/Castelló;02DEC2021;135;538;123;1099
Toledo;02DEC2021;25;309;65;820
Murcia;02DEC2021;84;1118;435;3358
Asturias;02DEC2021;60;752;312;3778
Lugo;02DEC2021;11;313;41;777
Palmas, Las;02DEC2021;62;1767;188;2432
Barcelona;02DEC2021;955;13157;1442;20789
Albacete;02DEC2021;29;263;51;645
Bizkaia;02DEC2021;181;1791;341;3169
Girona;02DEC2021;196;1769;202;2749
Jaén;02DEC2021;25;454;74;862
Teruel;02DEC2021;36;157;40;251
Almería;02DEC2021;13;395;46;1279
