PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Huelva;06JUL2021;17;243;74;950
Burgos;06JUL2021;188;527;222;951
Soria;06JUL2021;17;64;9;276
Santa Cruz de Tenerife;06JUL2021;49;541;67;1147
Granada;06JUL2021;44;449;204;1790
Valencia/València;06JUL2021;321;1026;922;5952
Teruel;06JUL2021;26;88;6;110
Coruña, A;06JUL2021;38;710;98;2027
Pontevedra;06JUL2021;38;669;126;1835
Murcia;06JUL2021;99;981;138;1995
Zaragoza;06JUL2021;248;699;91;1091
Córdoba;06JUL2021;105;953;76;760
Bizkaia;06JUL2021;115;973;98;2179
Baleares;06JUL2021;180;1513;436;3204
Girona;06JUL2021;343;1144;62;669
Barcelona;06JUL2021;3393;11248;370;3386
Araba/Álava;06JUL2021;51;314;10;587
Huesca;06JUL2021;54;161;64;392
Alicante/Alacant;06JUL2021;97;583;194;2023
Salamanca;06JUL2021;65;214;218;2172
Ávila;06JUL2021;9;95;38;274
Palmas, Las;06JUL2021;25;613;68;1245
Cádiz;06JUL2021;119;763;181;1514
Rioja, La;06JUL2021;11;131;47;579
Segovia;06JUL2021;22;152;29;279
Almería;06JUL2021;12;183;24;505
Málaga;06JUL2021;264;1035;349;2158
Valladolid;06JUL2021;135;610;158;1312
Guadalajara;06JUL2021;12;112;3;154
Ciudad Real;06JUL2021;6;137;17;486
Castellón/Castelló;06JUL2021;66;288;79;878
Jaén;06JUL2021;49;318;99;973
León;06JUL2021;108;520;203;1188
Sevilla;06JUL2021;136;1518;131;1244
Albacete;06JUL2021;13;125;19;518
Ourense;06JUL2021;48;348;38;669
Lleida;06JUL2021;127;578;7;433
Zamora;06JUL2021;47;135;102;658
Cuenca;06JUL2021;12;56;14;199
Toledo;06JUL2021;35;256;96;895
Cáceres;06JUL2021;31;679;63;942
Badajoz;06JUL2021;50;1061;134;1310
Tarragona;06JUL2021;413;1358;41;534
Ceuta;06JUL2021;1;36;0;0
Asturias;06JUL2021;45;305;363;3164
Lugo;06JUL2021;14;184;40;742
Palencia;06JUL2021;29;96;62;309
Gipuzkoa;06JUL2021;114;809;120;1951
Cuenca;05JUL2021;4;40;10;200
Toledo;05JUL2021;36;212;55;597
Zamora;05JUL2021;49;144;90;520
Albacete;05JUL2021;15;127;21;393
Teruel;05JUL2021;16;88;30;228
Granada;05JUL2021;46;352;215;1673
Coruña, A;05JUL2021;27;637;60;1693
Cádiz;05JUL2021;113;958;131;1124
Murcia;05JUL2021;106;1102;62;1589
Palencia;05JUL2021;18;115;109;470
Madrid;05JUL2021;782;9369;225;6256
Melilla;05JUL2021;2;102;0;30
Sevilla;05JUL2021;174;1883;117;974
Valladolid;05JUL2021;108;542;119;1037
Navarra;05JUL2021;86;1059;483;1700
Córdoba;05JUL2021;121;914;102;618
Alicante/Alacant;05JUL2021;158;1391;127;1801
Huesca;05JUL2021;44;161;42;427
Gipuzkoa;05JUL2021;90;734;107;1992
Málaga;05JUL2021;235;1044;240;1659
Valencia/València;05JUL2021;475;1882;485;4966
Ávila;05JUL2021;11;126;4;204
Cantabria;05JUL2021;22;155;215;2310
Tarragona;05JUL2021;354;1209;45;1055
Baleares;05JUL2021;146;1664;337;3031
Barcelona;05JUL2021;3465;12731;1780;15170
Almería;05JUL2021;19;201;65;1097
Zaragoza;05JUL2021;186;617;163;1729
Asturias;05JUL2021;52;294;256;2501
Girona;05JUL2021;259;1060;139;1538
Guadalajara;05JUL2021;17;129;9;224
Lleida;05JUL2021;100;602;72;725
Rioja, La;05JUL2021;38;364;16;400
Segovia;05JUL2021;35;194;9;243
Salamanca;05JUL2021;43;201;6;20
Araba/Álava;05JUL2021;32;273;23;791
Cáceres;05JUL2021;20;597;76;811
Palmas, Las;05JUL2021;45;1037;64;1311
León;05JUL2021;79;495;152;832
Badajoz;05JUL2021;56;932;131;1442
Pontevedra;05JUL2021;40;707;63;1667
Soria;05JUL2021;13;140;11;213
Santa Cruz de Tenerife;05JUL2021;73;940;160;2238
Huelva;05JUL2021;18;302;85;999
Burgos;05JUL2021;143;406;224;864
Lugo;05JUL2021;11;148;19;558
Ciudad Real;05JUL2021;12;198;16;468
Jaén;05JUL2021;41;438;79;909
Ceuta;05JUL2021;2;72;2;65
Bizkaia;05JUL2021;97;932;66;2201
Castellón/Castelló;05JUL2021;79;470;55;952
Ourense;05JUL2021;25;332;16;469
Granada;04JUL2021;35;159;45;356
Córdoba;04JUL2021;55;351;43;501
Ávila;04JUL2021;4;47;2;95
Ceuta;04JUL2021;2;31;1;39
Ourense;04JUL2021;18;206;12;327
Valencia/València;04JUL2021;198;1274;251;2284
Valladolid;04JUL2021;60;267;52;543
Araba/Álava;04JUL2021;22;145;9;159
Jaén;04JUL2021;29;154;65;488
Zamora;04JUL2021;47;122;7;58
Cádiz;04JUL2021;53;356;69;773
Zaragoza;04JUL2021;67;289;35;517
Castellón/Castelló;04JUL2021;21;187;12;345
Asturias;04JUL2021;33;175;146;1610
Melilla;04JUL2021;0;57;0;40
Coruña, A;04JUL2021;11;471;56;1366
Lugo;04JUL2021;6;106;20;472
Segovia;04JUL2021;11;73;16;208
Huesca;04JUL2021;20;62;5;69
Bizkaia;04JUL2021;66;404;81;1113
Toledo;04JUL2021;10;105;2;162
Palencia;04JUL2021;11;60;42;222
Soria;04JUL2021;8;41;1;149
Murcia;04JUL2021;24;266;33;821
Cáceres;04JUL2021;8;235;86;677
Cuenca;04JUL2021;1;12;2;87
Barcelona;04JUL2021;1274;4387;741;5628
Huelva;04JUL2021;8;56;3;432
Cantabria;04JUL2021;6;107;186;1879
Lleida;04JUL2021;55;279;22;213
Santa Cruz de Tenerife;04JUL2021;130;1342;126;1138
Baleares;04JUL2021;96;1196;195;1886
Madrid;04JUL2021;202;2585;172;3264
Rioja, La;04JUL2021;50;416;30;419
Badajoz;04JUL2021;28;667;73;833
Málaga;04JUL2021;116;417;115;956
Alicante/Alacant;04JUL2021;60;1133;33;779
Almería;04JUL2021;15;61;45;596
Ciudad Real;04JUL2021;9;109;4;187
Gipuzkoa;04JUL2021;77;491;58;1038
Pontevedra;04JUL2021;25;437;92;1603
Palmas, Las;04JUL2021;39;534;38;1055
Salamanca;04JUL2021;33;104;2;6
Tarragona;04JUL2021;175;613;62;429
Girona;04JUL2021;141;493;81;633
Guadalajara;04JUL2021;6;51;0;39
Teruel;04JUL2021;6;51;5;82
León;04JUL2021;38;216;287;612
Navarra;04JUL2021;67;553;561;1570
Sevilla;04JUL2021;70;824;42;422
Albacete;04JUL2021;5;82;6;141
Burgos;04JUL2021;48;152;154;534
Zaragoza;03JUL2021;88;342;33;583
Cantabria;03JUL2021;13;113;207;1544
Barcelona;03JUL2021;1356;5515;1233;11680
Baleares;03JUL2021;121;1373;314;2640
Pontevedra;03JUL2021;16;431;87;1148
Castellón/Castelló;03JUL2021;54;332;68;694
Lugo;03JUL2021;10;119;22;445
Araba/Álava;03JUL2021;18;156;11;324
Alicante/Alacant;03JUL2021;72;1330;107;2071
Málaga;03JUL2021;145;541;213;1653
Soria;03JUL2021;6;51;9;180
Segovia;03JUL2021;19;70;1;58
Madrid;03JUL2021;180;3521;363;6912
Melilla;03JUL2021;0;47;0;40
Huelva;03JUL2021;7;77;18;309
Girona;03JUL2021;156;551;162;1663
Sevilla;03JUL2021;73;875;96;1022
Coruña, A;03JUL2021;21;476;63;2065
Burgos;03JUL2021;99;361;138;692
León;03JUL2021;367;3581;132;793
Lleida;03JUL2021;48;303;28;397
Ceuta;03JUL2021;0;30;1;18
Asturias;03JUL2021;35;183;245;1562
Zamora;03JUL2021;56;181;56;405
Tarragona;03JUL2021;212;785;125;1159
Toledo;03JUL2021;16;107;26;385
Almería;03JUL2021;17;84;61;779
Jaén;03JUL2021;33;168;52;686
Huesca;03JUL2021;17;84;21;175
Guadalajara;03JUL2021;4;41;5;109
Gipuzkoa;03JUL2021;72;447;71;929
Albacete;03JUL2021;3;62;14;200
Cuenca;03JUL2021;1;30;10;138
Ourense;03JUL2021;10;205;33;429
Valencia/València;03JUL2021;319;1879;671;4934
Granada;03JUL2021;45;220;67;583
Salamanca;03JUL2021;33;157;4;17
Ávila;03JUL2021;7;68;3;206
Santa Cruz de Tenerife;03JUL2021;122;1423;136;1608
Palencia;03JUL2021;13;75;67;290
Navarra;03JUL2021;63;506;436;1419
Teruel;03JUL2021;10;43;15;138
Ciudad Real;03JUL2021;9;114;8;410
Rioja, La;03JUL2021;13;140;7;202
Bizkaia;03JUL2021;67;444;67;1578
Badajoz;03JUL2021;31;605;36;180
Cáceres;03JUL2021;15;297;92;771
Murcia;03JUL2021;38;490;55;1442
Cádiz;03JUL2021;51;403;116;1148
Palmas, Las;03JUL2021;22;607;49;1456
Valladolid;03JUL2021;46;255;35;405
Córdoba;03JUL2021;91;471;101;843
Gipuzkoa;02JUL2021;111;860;126;1680
Salamanca;02JUL2021;64;328;13;58
Coruña, A;02JUL2021;12;657;83;1731
León;02JUL2021;113;530;116;842
Burgos;02JUL2021;167;649;49;593
Alicante/Alacant;02JUL2021;109;1502;155;2402
Ourense;02JUL2021;10;302;19;320
Granada;02JUL2021;69;355;236;1643
Madrid;02JUL2021;555;11327;521;10203
Huelva;02JUL2021;24;234;67;626
Girona;02JUL2021;229;996;131;1339
Jaén;02JUL2021;54;390;98;829
Ceuta;02JUL2021;1;77;2;61
Huesca;02JUL2021;20;98;24;274
Albacete;02JUL2021;5;101;19;333
Palmas, Las;02JUL2021;34;1148;70;1513
Málaga;02JUL2021;260;1206;243;1745
Araba/Álava;02JUL2021;38;261;20;358
Castellón/Castelló;02JUL2021;70;442;70;1035
Soria;02JUL2021;9;73;11;180
Lugo;02JUL2021;7;166;9;374
Palencia;02JUL2021;19;100;87;358
Barcelona;02JUL2021;2416;11277;2582;21029
Murcia;02JUL2021;53;956;101;1554
Melilla;02JUL2021;0;96;1;50
Guadalajara;02JUL2021;8;83;11;188
Badajoz;02JUL2021;23;945;95;1389
Santa Cruz de Tenerife;02JUL2021;86;1069;171;2020
Cádiz;02JUL2021;83;1006;237;1711
Segovia;02JUL2021;17;98;6;210
Pontevedra;02JUL2021;13;569;113;1578
Sevilla;02JUL2021;142;1647;167;1453
Navarra;02JUL2021;81;955;139;916
Lleida;02JUL2021;57;528;113;1129
Cáceres;02JUL2021;32;752;135;787
Bizkaia;02JUL2021;82;885;84;1600
Cantabria;02JUL2021;6;108;217;2144
Cuenca;02JUL2021;10;39;7;122
Teruel;02JUL2021;14;60;34;200
Ávila;02JUL2021;7;104;9;162
Ciudad Real;02JUL2021;11;145;14;537
Asturias;02JUL2021;58;270;296;1988
Valladolid;02JUL2021;109;645;99;925
Toledo;02JUL2021;40;218;63;547
Zamora;02JUL2021;57;191;32;352
Rioja, La;02JUL2021;37;374;32;308
Tarragona;02JUL2021;197;997;155;1770
Valencia/València;02JUL2021;437;2342;1084;7377
Baleares;02JUL2021;109;1481;192;2306
Córdoba;02JUL2021;132;1102;94;831
Almería;02JUL2021;24;212;55;907
Zaragoza;02JUL2021;98;534;105;1290
Ceuta;01JUL2021;5;76;4;47
Alicante/Alacant;01JUL2021;80;1404;143;1680
Navarra;01JUL2021;59;912;109;1052
Ciudad Real;01JUL2021;7;136;8;260
Guadalajara;01JUL2021;7;81;7;138
Coruña, A;01JUL2021;15;570;83;1670
Cádiz;01JUL2021;88;917;182;1291
Huesca;01JUL2021;19;114;14;206
Ávila;01JUL2021;8;90;5;153
Burgos;01JUL2021;110;479;17;272
Santa Cruz de Tenerife;01JUL2021;91;1005;153;2078
Teruel;01JUL2021;9;61;19;171
Bizkaia;01JUL2021;98;888;54;1540
Jaén;01JUL2021;53;426;89;970
Asturias;01JUL2021;26;264;212;1918
Rioja, La;01JUL2021;35;448;15;400
León;01JUL2021;109;467;55;565
Albacete;01JUL2021;9;88;24;291
Lleida;01JUL2021;59;496;78;699
Gipuzkoa;01JUL2021;79;692;83;929
Castellón/Castelló;01JUL2021;81;498;53;724
Ourense;01JUL2021;22;279;32;501
Córdoba;01JUL2021;130;825;105;804
Madrid;01JUL2021;535;12045;550;9284
Badajoz;01JUL2021;40;987;82;1182
Cuenca;01JUL2021;2;29;11;178
Sevilla;01JUL2021;157;1732;188;1566
Palencia;01JUL2021;16;111;47;279
Valladolid;01JUL2021;120;570;99;789
Segovia;01JUL2021;17;105;5;140
Zamora;01JUL2021;55;197;131;573
Valencia/València;01JUL2021;441;2516;708;5508
Pontevedra;01JUL2021;39;575;78;1001
Huelva;01JUL2021;14;181;42;463
Cáceres;01JUL2021;36;527;116;792
Girona;01JUL2021;242;1137;200;1618
Barcelona;01JUL2021;2580;11268;2369;17157
Cantabria;01JUL2021;20;116;232;2050
Almería;01JUL2021;21;188;91;1003
Baleares;01JUL2021;117;1350;314;2499
Zaragoza;01JUL2021;93;509;94;1111
Murcia;01JUL2021;65;868;83;1191
