PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Valencia/València;04JUL2021;92;325;162;1295
León;04JUL2021;37;215;287;612
Jaén;04JUL2021;22;137;64;487
Huesca;04JUL2021;0;0;5;69
Burgos;04JUL2021;44;142;150;522
Ceuta;04JUL2021;2;31;1;39
Tarragona;04JUL2021;168;595;25;170
Ourense;04JUL2021;18;206;12;327
Madrid;04JUL2021;147;1199;153;2702
Castellón/Castelló;04JUL2021;13;118;9;210
Almería;04JUL2021;11;56;45;596
Cádiz;04JUL2021;43;316;69;749
Lugo;04JUL2021;6;106;20;472
Soria;04JUL2021;8;41;1;149
Albacete;04JUL2021;5;82;4;130
Sevilla;04JUL2021;40;609;34;332
Cáceres;04JUL2021;8;235;86;677
Pontevedra;04JUL2021;25;437;92;1603
Guadalajara;04JUL2021;6;51;0;26
Girona;04JUL2021;135;465;10;163
Coruña, A;04JUL2021;11;471;56;1366
Alicante/Alacant;04JUL2021;27;219;27;389
Bizkaia;04JUL2021;66;404;81;1113
Toledo;04JUL2021;10;105;2;162
Cantabria;04JUL2021;6;107;186;1477
Cuenca;04JUL2021;0;11;2;86
Teruel;04JUL2021;0;1;2;38
Valladolid;04JUL2021;60;267;52;543
Palmas, Las;04JUL2021;15;285;18;742
Melilla;04JUL2021;0;57;0;30
Baleares;04JUL2021;91;1029;185;1590
Badajoz;04JUL2021;27;663;69;824
Segovia;04JUL2021;11;73;16;208
Zaragoza;04JUL2021;0;4;23;450
Zamora;04JUL2021;45;120;7;58
Murcia;04JUL2021;24;266;33;821
Santa Cruz de Tenerife;04JUL2021;62;689;82;827
Córdoba;04JUL2021;50;318;40;486
Palencia;04JUL2021;10;58;42;221
Málaga;04JUL2021;95;386;113;929
Rioja, La;04JUL2021;48;386;30;416
Navarra;04JUL2021;65;547;559;1561
Asturias;04JUL2021;32;166;146;1610
Ciudad Real;04JUL2021;9;109;4;184
Huelva;04JUL2021;8;52;3;429
Salamanca;04JUL2021;33;104;1;5
Lleida;04JUL2021;53;263;12;181
Barcelona;04JUL2021;1177;3866;356;2947
Araba/Álava;04JUL2021;22;145;9;159
Granada;04JUL2021;30;149;45;354
Ávila;04JUL2021;4;47;2;95
Gipuzkoa;04JUL2021;77;490;58;1038
Burgos;03JUL2021;98;359;138;692
Gipuzkoa;03JUL2021;72;447;71;928
Santa Cruz de Tenerife;03JUL2021;113;1404;132;1603
Castellón/Castelló;03JUL2021;52;223;57;507
Palencia;03JUL2021;13;64;67;275
Tarragona;03JUL2021;203;752;75;940
Girona;03JUL2021;150;536;138;1415
Bizkaia;03JUL2021;67;443;67;1578
Albacete;03JUL2021;3;61;13;199
León;03JUL2021;367;3581;131;792
Segovia;03JUL2021;19;70;1;58
Salamanca;03JUL2021;33;157;4;17
Valladolid;03JUL2021;45;252;35;405
Alicante/Alacant;03JUL2021;64;728;90;1610
Cádiz;03JUL2021;45;351;115;1043
Jaén;03JUL2021;29;161;51;679
Almería;03JUL2021;10;76;59;747
Coruña, A;03JUL2021;21;476;63;2065
Pontevedra;03JUL2021;16;431;87;1148
Cáceres;03JUL2021;15;297;92;771
Sevilla;03JUL2021;43;621;94;916
Palmas, Las;03JUL2021;20;592;48;1441
Guadalajara;03JUL2021;4;41;5;108
Málaga;03JUL2021;121;504;205;1544
Soria;03JUL2021;6;51;9;180
Cuenca;03JUL2021;1;30;10;138
Granada;03JUL2021;38;206;67;580
Huesca;03JUL2021;0;3;21;174
