PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Lugo;12SEP2021;7;94;12;300
Asturias;12SEP2021;1;99;31;1390
Pontevedra;12SEP2021;5;604;21;636
Madrid;12SEP2021;53;2128;74;2625
Valencia/València;12SEP2021;5;148;14;468
Coruña, A;12SEP2021;8;558;41;1001
Cantabria;12SEP2021;3;114;37;504
Cuenca;12SEP2021;2;18;1;163
Guadalajara;12SEP2021;1;34;1;51
Rioja, La;12SEP2021;1;130;4;275
Málaga;12SEP2021;12;239;26;618
Huesca;12SEP2021;2;58;1;43
Soria;12SEP2021;0;19;2;80
Barcelona;12SEP2021;51;1035;41;1270
Ciudad Real;12SEP2021;7;104;3;274
Gipuzkoa;12SEP2021;6;245;39;817
Jaén;12SEP2021;7;129;7;154
Zamora;12SEP2021;0;66;4;51
DESLOCALIZADOS;12SEP2021;28;1342;68;959
Sevilla;12SEP2021;26;490;11;219
Badajoz;12SEP2021;15;487;9;343
Girona;12SEP2021;17;195;17;331
Ourense;12SEP2021;6;283;8;393
Bizkaia;12SEP2021;13;197;41;1160
Lleida;12SEP2021;10;138;1;119
Santa Cruz de Tenerife;12SEP2021;3;166;14;456
León;12SEP2021;3;94;0;146
Zaragoza;12SEP2021;11;216;14;349
Salamanca;12SEP2021;2;40;1;145
Baleares;12SEP2021;19;636;69;1104
Granada;12SEP2021;11;126;16;348
Valladolid;12SEP2021;1;88;8;312
Almería;12SEP2021;10;70;26;563
Ávila;12SEP2021;0;25;0;76
Cádiz;12SEP2021;9;162;2;50
Burgos;12SEP2021;1;41;9;107
Huelva;12SEP2021;1;51;7;92
Cáceres;12SEP2021;2;151;7;257
Ceuta;12SEP2021;8;112;1;26
Melilla;12SEP2021;0;65;1;37
Palmas, Las;12SEP2021;5;228;25;501
Palencia;12SEP2021;0;28;4;150
Alicante/Alacant;12SEP2021;12;149;21;332
Murcia;12SEP2021;5;157;12;609
Navarra;12SEP2021;11;310;40;596
Albacete;12SEP2021;9;84;8;83
Castellón/Castelló;12SEP2021;4;77;6;115
Segovia;12SEP2021;0;45;3;121
Araba/Álava;12SEP2021;7;83;7;439
Tarragona;12SEP2021;8;218;3;111
Teruel;12SEP2021;1;37;1;37
Toledo;12SEP2021;6;68;10;190
Córdoba;12SEP2021;7;208;18;358
Teruel;11SEP2021;1;31;0;37
Albacete;11SEP2021;0;69;10;182
Soria;11SEP2021;4;25;8;116
Rioja, La;11SEP2021;3;173;13;420
Lleida;11SEP2021;7;143;13;228
Navarra;11SEP2021;5;246;65;719
Gipuzkoa;11SEP2021;16;235;42;1080
Salamanca;11SEP2021;5;62;16;230
Pontevedra;11SEP2021;3;464;42;866
Palmas, Las;11SEP2021;9;410;46;1065
Asturias;11SEP2021;4;100;23;1390
Barcelona;11SEP2021;71;1142;58;2971
Zamora;11SEP2021;2;51;0;38
Ciudad Real;11SEP2021;5;95;4;217
Valladolid;11SEP2021;3;81;6;302
Almería;11SEP2021;12;104;22;603
DESLOCALIZADOS;11SEP2021;24;1461;61;1597
Jaén;11SEP2021;10;128;5;292
Huesca;11SEP2021;6;55;2;90
Murcia;11SEP2021;6;592;37;856
Cuenca;11SEP2021;2;20;6;141
Castellón/Castelló;11SEP2021;17;144;5;277
Burgos;11SEP2021;0;48;38;398
Tarragona;11SEP2021;12;195;6;199
Guadalajara;11SEP2021;0;30;3;123
Málaga;11SEP2021;11;214;37;711
Lugo;11SEP2021;1;101;22;369
Ourense;11SEP2021;3;237;5;397
Valencia/València;11SEP2021;35;329;36;1450
Alicante/Alacant;11SEP2021;33;280;51;873
Araba/Álava;11SEP2021;6;64;17;350
Ávila;11SEP2021;0;21;11;237
Ceuta;11SEP2021;15;126;4;35
Madrid;11SEP2021;55;2502;263;5142
Santa Cruz de Tenerife;11SEP2021;4;394;18;696
Cádiz;11SEP2021;9;163;17;583
Bizkaia;11SEP2021;17;237;71;1403
Melilla;11SEP2021;3;86;5;64
Badajoz;11SEP2021;16;450;20;424
León;11SEP2021;2;97;7;266
Sevilla;11SEP2021;21;488;86;794
Baleares;11SEP2021;14;683;78;1728
Cantabria;11SEP2021;4;96;33;695
Huelva;11SEP2021;7;62;11;134
Cáceres;11SEP2021;1;180;10;264
Palencia;11SEP2021;1;38;20;131
Córdoba;11SEP2021;22;190;21;419
Coruña, A;11SEP2021;5;540;77;1451
Granada;11SEP2021;2;98;22;529
Toledo;11SEP2021;4;75;21;258
Girona;11SEP2021;15;239;14;629
Segovia;11SEP2021;0;31;2;110
Zaragoza;11SEP2021;19;275;22;406
Girona;10SEP2021;46;628;63;1254
Ávila;10SEP2021;3;77;34;170
Araba/Álava;10SEP2021;11;130;13;327
Coruña, A;10SEP2021;18;575;52;917
Huelva;10SEP2021;15;135;35;425
Guadalajara;10SEP2021;6;104;25;304
Badajoz;10SEP2021;15;768;30;703
Cádiz;10SEP2021;12;378;44;748
Zamora;10SEP2021;1;33;11;236
Madrid;10SEP2021;303;7628;406;6731
Palmas, Las;10SEP2021;13;777;52;1234
Córdoba;10SEP2021;13;468;22;452
Toledo;10SEP2021;25;159;72;656
Ciudad Real;10SEP2021;14;149;27;535
Palencia;10SEP2021;2;46;18;174
Gipuzkoa;10SEP2021;22;373;63;811
Navarra;10SEP2021;23;626;61;873
Rioja, La;10SEP2021;2;374;27;356
Zaragoza;10SEP2021;31;461;71;944
Pontevedra;10SEP2021;11;651;58;1107
Cáceres;10SEP2021;9;346;57;807
Málaga;10SEP2021;18;492;149;1691
León;10SEP2021;4;179;14;459
Granada;10SEP2021;2;206;36;889
Jaén;10SEP2021;6;237;26;524
Lugo;10SEP2021;4;155;26;423
Alicante/Alacant;10SEP2021;86;591;107;1374
Salamanca;10SEP2021;4;94;20;280
Segovia;10SEP2021;0;61;5;136
Santa Cruz de Tenerife;10SEP2021;16;611;31;1224
Burgos;10SEP2021;5;85;22;522
Soria;10SEP2021;2;30;1;86
Cuenca;10SEP2021;6;34;12;176
Teruel;10SEP2021;4;78;11;91
Ceuta;10SEP2021;17;122;9;68
Albacete;10SEP2021;10;106;34;419
Huesca;10SEP2021;9;91;20;275
Valencia/València;10SEP2021;42;575;125;2278
Melilla;10SEP2021;8;118;8;82
Barcelona;10SEP2021;123;3505;346;9192
Baleares;10SEP2021;23;782;113;1932
Valladolid;10SEP2021;6;218;34;590
