PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Ávila;07JUL2021;19;102;21;214
Burgos;07JUL2021;234;561;304;1352
Almería;07JUL2021;10;222;90;1024
Baleares;07JUL2021;204;1730;557;3740
Granada;07JUL2021;70;360;299;1650
Castellón/Castelló;07JUL2021;69;343;68;683
Ceuta;07JUL2021;4;37;1;41
Ourense;07JUL2021;57;444;56;486
Santa Cruz de Tenerife;07JUL2021;59;686;115;1606
Guadalajara;07JUL2021;13;75;6;210
Melilla;07JUL2021;2;79;3;47
Albacete;07JUL2021;17;152;40;477
Araba/Álava;07JUL2021;40;334;47;584
Rioja, La;07JUL2021;49;483;37;610
Cádiz;07JUL2021;136;1006;310;1912
Zamora;07JUL2021;49;184;136;751
Badajoz;07JUL2021;75;1206;109;1061
Teruel;07JUL2021;26;87;18;132
;07JUL2021;389;2383;312;2403
Soria;07JUL2021;27;107;31;291
Barcelona;07JUL2021;3586;11286;487;4969
Girona;07JUL2021;365;1259;101;1252
Bizkaia;07JUL2021;136;1017;107;2236
Lleida;07JUL2021;132;552;12;600
Huelva;07JUL2021;23;261;69;756
Jaén;07JUL2021;54;353;102;889
Gipuzkoa;07JUL2021;134;830;95;1720
Málaga;07JUL2021;276;1074;451;2422
Segovia;07JUL2021;44;174;40;324
Cuenca;07JUL2021;9;46;18;190
Sevilla;07JUL2021;154;1389;120;1145
Asturias;07JUL2021;52;291;434;3080
Madrid;07JUL2021;1045;9146;809;8541
Tarragona;07JUL2021;436;1330;86;767
Valladolid;07JUL2021;180;807;189;1209
Zaragoza;07JUL2021;228;716;38;951
Murcia;07JUL2021;116;1079;131;1961
Huesca;07JUL2021;59;166;58;451
Coruña, A;07JUL2021;36;714;114;1926
Toledo;07JUL2021;41;197;64;732
Pontevedra;07JUL2021;50;642;118;1919
Córdoba;07JUL2021;134;754;152;1007
Navarra;07JUL2021;128;742;284;1363
Cantabria;07JUL2021;32;153;238;2071
Palencia;07JUL2021;42;154;173;647
León;07JUL2021;150;1892;147;960
Valencia/València;07JUL2021;397;1137;855;5438
Palmas, Las;07JUL2021;42;678;79;1018
Alicante/Alacant;07JUL2021;99;582;160;1421
Salamanca;07JUL2021;99;284;93;732
Lugo;07JUL2021;9;188;47;581
Cáceres;07JUL2021;33;561;99;910
Ciudad Real;07JUL2021;20;205;15;355
Toledo;06JUL2021;36;258;96;897
Cáceres;06JUL2021;33;681;63;944
Ciudad Real;06JUL2021;6;137;17;493
Barcelona;06JUL2021;3545;12437;2578;18456
Valencia/València;06JUL2021;504;1640;1163;7720
Rioja, La;06JUL2021;12;159;49;606
Lleida;06JUL2021;133;652;97;847
Huesca;06JUL2021;54;161;65;400
Córdoba;06JUL2021;111;996;77;788
Gipuzkoa;06JUL2021;114;809;120;1951
;06JUL2021;386;2836;447;3950
Cantabria;06JUL2021;29;156;231;2145
Palencia;06JUL2021;33;126;64;319
Granada;06JUL2021;48;463;207;1806
Baleares;06JUL2021;180;1515;446;3235
Melilla;06JUL2021;2;99;1;63
Zamora;06JUL2021;47;135;102;658
Coruña, A;06JUL2021;38;710;98;2027
Segovia;06JUL2021;23;153;29;279
Badajoz;06JUL2021;51;1068;143;1497
Sevilla;06JUL2021;168;1697;177;1539
Salamanca;06JUL2021;65;214;218;2172
Girona;06JUL2021;358;1264;223;1947
Zaragoza;06JUL2021;248;701;313;2141
Almería;06JUL2021;17;193;54;809
Lugo;06JUL2021;14;184;40;742
Albacete;06JUL2021;14;126;19;520
Málaga;06JUL2021;314;1142;370;2335
Teruel;06JUL2021;26;88;47;277
Soria;06JUL2021;17;64;9;277
Cádiz;06JUL2021;133;854;183;1591
Asturias;06JUL2021;49;317;363;3164
Navarra;06JUL2021;91;890;334;1558
Ceuta;06JUL2021;2;52;4;54
Santa Cruz de Tenerife;06JUL2021;99;955;104;1589
Bizkaia;06JUL2021;115;973;98;2179
Pontevedra;06JUL2021;38;669;126;1835
Araba/Álava;06JUL2021;51;314;10;587
Ávila;06JUL2021;9;95;38;274
Castellón/Castelló;06JUL2021;91;421;110;1191
Guadalajara;06JUL2021;12;112;5;178
Valladolid;06JUL2021;135;622;158;1313
Madrid;06JUL2021;1077;11171;777;10962
León;06JUL2021;110;522;203;1188
Tarragona;06JUL2021;438;1474;166;1634
Cuenca;06JUL2021;12;57;14;204
Murcia;06JUL2021;99;981;138;1997
Palmas, Las;06JUL2021;46;1059;99;1876
Jaén;06JUL2021;55;343;100;983
Huelva;06JUL2021;27;273;74;963
Ourense;06JUL2021;48;348;38;669
Burgos;06JUL2021;190;529;232;971
Alicante/Alacant;06JUL2021;134;1348;233;2841
Rioja, La;05JUL2021;40;416;16;440
Soria;05JUL2021;13;140;11;213
Almería;05JUL2021;20;216;65;1097
Toledo;05JUL2021;37;213;55;597
;05JUL2021;394;3341;346;3561
Bizkaia;05JUL2021;97;933;66;2201
Cantabria;05JUL2021;22;155;216;2382
Barcelona;05JUL2021;3486;13007;2242;17828
Huelva;05JUL2021;18;310;85;1000
Málaga;05JUL2021;241;1052;240;1660
Lugo;05JUL2021;11;148;19;558
Coruña, A;05JUL2021;27;637;60;1693
Cáceres;05JUL2021;20;597;76;811
Granada;05JUL2021;46;353;215;1673
Valencia/València;05JUL2021;501;2089;496;5095
Cádiz;05JUL2021;120;1085;131;1166
Lleida;05JUL2021;102;605;78;796
Zaragoza;05JUL2021;186;617;164;1731
Córdoba;05JUL2021;121;921;105;633
Santa Cruz de Tenerife;05JUL2021;74;941;163;2247
León;05JUL2021;79;495;152;832
Guadalajara;05JUL2021;17;129;10;228
Sevilla;05JUL2021;190;1984;117;998
Madrid;05JUL2021;909;12417;300;8497
Alicante/Alacant;05JUL2021;162;1449;132;1873
Ourense;05JUL2021;25;332;16;469
Burgos;05JUL2021;143;406;224;864
Cuenca;05JUL2021;4;40;10;200
Palencia;05JUL2021;18;115;109;470
Ciudad Real;05JUL2021;12;199;16;468
Baleares;05JUL2021;146;1673;339;3051
Navarra;05JUL2021;87;1067;489;1770
Huesca;05JUL2021;44;161;42;427
Araba/Álava;05JUL2021;32;273;23;791
Ceuta;05JUL2021;2;72;2;65
Salamanca;05JUL2021;43;201;6;20
Zamora;05JUL2021;49;144;90;520
Palmas, Las;05JUL2021;50;1063;64;1318
Valladolid;05JUL2021;108;545;119;1037
Castellón/Castelló;05JUL2021;81;479;55;956
Teruel;05JUL2021;16;88;32;230
Jaén;05JUL2021;42;441;79;910
Murcia;05JUL2021;106;1102;62;1589
Albacete;05JUL2021;15;128;21;393
Melilla;05JUL2021;2;102;0;44
Badajoz;05JUL2021;57;933;131;1442
Pontevedra;05JUL2021;40;707;63;1667
Ávila;05JUL2021;11;126;4;204
Gipuzkoa;05JUL2021;90;734;107;1992
Segovia;05JUL2021;35;194;9;244
Girona;05JUL2021;264;1076;166;1651
Asturias;05JUL2021;52;294;256;2501
Tarragona;05JUL2021;356;1255;177;1500
Málaga;04JUL2021;118;419;115;956
Burgos;04JUL2021;48;152;154;534
Melilla;04JUL2021;0;57;0;40
Bizkaia;04JUL2021;66;404;81;1113
Castellón/Castelló;04JUL2021;21;187;12;345
Navarra;04JUL2021;67;553;561;1571
Cantabria;04JUL2021;6;107;186;1879
Jaén;04JUL2021;29;154;65;488
Ceuta;04JUL2021;2;31;1;39
Córdoba;04JUL2021;55;351;43;501
Ávila;04JUL2021;4;47;2;95
Asturias;04JUL2021;33;175;146;1610
Sevilla;04JUL2021;71;825;42;422
Barcelona;04JUL2021;1284;4401;776;5832
Cáceres;04JUL2021;8;235;86;677
Zamora;04JUL2021;48;123;7;58
Santa Cruz de Tenerife;04JUL2021;130;1342;126;1138
Segovia;04JUL2021;11;73;16;209
Palencia;04JUL2021;11;60;42;222
Teruel;04JUL2021;6;51;5;82
León;04JUL2021;38;216;287;612
;04JUL2021;179;1872;185;2065
Valencia/València;04JUL2021;199;1307;253;2286
Alicante/Alacant;04JUL2021;61;1143;33;779
Palmas, Las;04JUL2021;39;536;38;1055
Guadalajara;04JUL2021;6;51;0;39
Huesca;04JUL2021;20;62;5;69
Cuenca;04JUL2021;1;12;2;87
Rioja, La;04JUL2021;50;416;30;419
Girona;04JUL2021;142;495;81;636
Lleida;04JUL2021;55;279;22;214
Ciudad Real;04JUL2021;9;109;4;187
Granada;04JUL2021;35;159;45;356
Valladolid;04JUL2021;61;268;52;543
Baleares;04JUL2021;96;1198;195;1893
Tarragona;04JUL2021;176;614;70;442
Gipuzkoa;04JUL2021;77;492;58;1038
Badajoz;04JUL2021;28;667;73;833
Madrid;04JUL2021;225;2908;183;3654
Cádiz;04JUL2021;54;358;69;773
Huelva;04JUL2021;8;56;3;432
Araba/Álava;04JUL2021;22;145;9;159
Salamanca;04JUL2021;34;105;2;6
Albacete;04JUL2021;5;82;6;141
Toledo;04JUL2021;10;105;2;162
Ourense;04JUL2021;18;206;12;327
Almería;04JUL2021;15;61;45;596
Coruña, A;04JUL2021;11;471;56;1366
Pontevedra;04JUL2021;25;437;92;1603
Lugo;04JUL2021;6;106;20;472
