PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Ceuta;10AUG2021;35;185;16;109
Gipuzkoa;10AUG2021;68;445;148;1602
Barcelona;10AUG2021;794;6501;665;7598
Lleida;10AUG2021;64;497;26;793
Murcia;10AUG2021;140;953;425;3051
Santa Cruz de Tenerife;10AUG2021;31;530;119;1729
Alicante/Alacant;10AUG2021;199;722;401;2911
Coruña, A;10AUG2021;69;1222;410;2915
Málaga;10AUG2021;136;903;478;2350
Sevilla;10AUG2021;336;1831;416;2074
Cáceres;10AUG2021;38;822;141;1072
Ourense;10AUG2021;8;431;39;962
Lugo;10AUG2021;18;270;53;638
Cantabria;10AUG2021;12;133;220;1550
Córdoba;10AUG2021;102;593;170;1226
Cádiz;10AUG2021;94;615;429;2302
Albacete;10AUG2021;25;159;98;615
Salamanca;10AUG2021;20;160;49;581
Palmas, Las;10AUG2021;26;647;169;1879
Ciudad Real;10AUG2021;32;278;106;828
Castellón/Castelló;10AUG2021;60;269;63;714
Soria;10AUG2021;8;66;23;271
Zamora;10AUG2021;4;71;30;308
Huesca;10AUG2021;29;130;34;204
León;10AUG2021;24;237;95;662
Bizkaia;10AUG2021;142;748;339;2431
Navarra;10AUG2021;90;658;217;1551
Araba/Álava;10AUG2021;71;266;88;668
Teruel;10AUG2021;12;56;7;129
Valladolid;10AUG2021;58;418;159;1118
Toledo;10AUG2021;100;328;229;1324
Asturias;10AUG2021;20;248;218;2428
Segovia;10AUG2021;11;127;35;538
Girona;10AUG2021;140;977;43;813
Cuenca;10AUG2021;18;66;25;289
Rioja, La;10AUG2021;34;442;130;932
Baleares;10AUG2021;174;1754;532;3782
Tarragona;10AUG2021;123;817;45;742
Zaragoza;10AUG2021;116;487;77;989
Guadalajara;10AUG2021;20;129;25;239
Ávila;10AUG2021;19;84;29;208
Badajoz;10AUG2021;73;1497;130;1205
Valencia/València;10AUG2021;191;772;478;3554
Huelva;10AUG2021;56;297;202;1049
DESLOCALIZADOS;10AUG2021;295;2749;618;3687
Pontevedra;10AUG2021;42;1021;244;2057
Burgos;10AUG2021;43;203;128;776
Almería;10AUG2021;42;262;302;1725
Granada;10AUG2021;49;409;292;1564
Jaén;10AUG2021;69;637;282;1935
Melilla;10AUG2021;8;114;13;68
Palencia;10AUG2021;5;45;69;351
Madrid;10AUG2021;1547;10868;1634;9484
Zamora;09AUG2021;4;83;44;355
Ceuta;09AUG2021;25;319;10;121
Cantabria;09AUG2021;5;169;218;1450
Santa Cruz de Tenerife;09AUG2021;105;920;146;1974
Albacete;09AUG2021;35;149;68;648
Ciudad Real;09AUG2021;53;294;78;1063
Málaga;09AUG2021;182;950;410;2106
Girona;09AUG2021;195;1276;106;1323
Baleares;09AUG2021;181;1796;275;2720
Burgos;09AUG2021;32;228;23;301
Almería;09AUG2021;45;317;155;1361
Palmas, Las;09AUG2021;66;1344;129;1446
Rioja, La;09AUG2021;30;357;59;695
Castellón/Castelló;09AUG2021;137;462;89;1042
Ourense;09AUG2021;11;442;39;739
Melilla;09AUG2021;8;106;3;47
