PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Málaga;16FEB2022;381;1095;635;2265
Granada;16FEB2022;145;468;343;1379
Alicante/Alacant;16FEB2022;309;796;459;1650
DESLOCALIZADOS;16FEB2022;303;1509;202;1347
Rioja, La;16FEB2022;164;744;21;76
Huelva;16FEB2022;137;455;101;410
Palencia;16FEB2022;87;318;22;152
Bizkaia;16FEB2022;429;1117;167;1324
Cáceres;16FEB2022;169;724;120;600
Baleares;16FEB2022;479;1817;267;1989
Araba/Álava;16FEB2022;127;388;42;579
Toledo;16FEB2022;206;744;64;440
Barcelona;16FEB2022;1559;8389;568;6010
Zaragoza;16FEB2022;272;876;184;916
Badajoz;16FEB2022;426;1740;87;495
Córdoba;16FEB2022;279;828;84;429
Sevilla;16FEB2022;579;1958;165;801
Murcia;16FEB2022;709;3090;291;1915
Segovia;16FEB2022;52;203;14;174
Ourense;16FEB2022;83;782;162;1248
Madrid;16FEB2022;2256;9947;916;7096
Salamanca;16FEB2022;140;446;32;383
Burgos;16FEB2022;114;356;19;335
Almería;16FEB2022;174;525;235;1076
Teruel;16FEB2022;53;136;11;86
Lugo;16FEB2022;103;541;144;676
León;16FEB2022;155;628;76;589
Gipuzkoa;16FEB2022;235;695;101;1486
Navarra;16FEB2022;279;1121;117;714
Palmas, Las;16FEB2022;222;979;52;525
Guadalajara;16FEB2022;79;233;15;130
Tarragona;16FEB2022;371;1542;85;741
Ceuta;16FEB2022;48;153;0;0
Santa Cruz de Tenerife;16FEB2022;165;723;152;1391
Albacete;16FEB2022;196;649;30;328
Ávila;16FEB2022;73;296;15;130
Castellón/Castelló;16FEB2022;133;375;79;557
Valencia/València;16FEB2022;439;1027;563;2961
Cantabria;16FEB2022;212;844;203;1020
Cádiz;16FEB2022;265;993;333;1305
Girona;16FEB2022;233;1329;32;510
Pontevedra;16FEB2022;213;1276;366;1339
Cuenca;16FEB2022;91;263;37;194
Zamora;16FEB2022;66;211;48;228
Lleida;16FEB2022;170;845;53;594
Huesca;16FEB2022;64;174;52;212
Soria;16FEB2022;23;111;20;121
Ciudad Real;16FEB2022;163;643;51;408
Melilla;16FEB2022;8;95;15;58
Valladolid;16FEB2022;162;629;70;665
Asturias;16FEB2022;161;774;686;3168
Jaén;16FEB2022;152;525;97;449
Coruña, A;16FEB2022;246;1412;477;1955
Guadalajara;15FEB2022;77;240;24;186
Cuenca;15FEB2022;77;229;26;182
Melilla;15FEB2022;5;104;23;90
Huelva;15FEB2022;207;545;74;327
Soria;15FEB2022;32;134;28;174
Barcelona;15FEB2022;2301;11239;1034;10436
Teruel;15FEB2022;39;131;23;117
Pontevedra;15FEB2022;204;1609;312;1374
Málaga;15FEB2022;430;1163;649;2463
Cantabria;15FEB2022;192;792;319;1164
Baleares;15FEB2022;477;1779;264;2057
Madrid;15FEB2022;2637;11107;1261;8998
Asturias;15FEB2022;168;749;587;2866
Albacete;15FEB2022;202;601;47;356
