fecha,provincia,total_dosis_administradas,personas_con_2_dosis
16/03/2021,Almería,90779,29217
16/03/2021,Cádiz,155536,52997
16/03/2021,Córdoba,133627,45219
16/03/2021,Granada,136516,48060
16/03/2021,Huelva,72276,22476
16/03/2021,Jaén,99976,33903
16/03/2021,Málaga,198148,66066
16/03/2021,Sevilla,250933,85695
17/03/2021,Almería,93038,31021
17/03/2021,Cádiz,158430,55636
17/03/2021,Córdoba,137170,48317
17/03/2021,Granada,139937,51252
17/03/2021,Huelva,73699,23699
17/03/2021,Jaén,103268,35910
17/03/2021,Málaga,204485,71662
17/03/2021,Sevilla,255962,89709
18/03/2021,Almería,95299,32630
18/03/2021,Cádiz,160938,57247
18/03/2021,Córdoba,141419,51778
18/03/2021,Granada,142733,53133
18/03/2021,Huelva,76196,25367
18/03/2021,Jaén,105249,37802
18/03/2021,Málaga,209827,75377
18/03/2021,Sevilla,262093,93531
19/03/2021,Almería,98693,33805
19/03/2021,Cádiz,163625,58675
19/03/2021,Córdoba,144794,53042
19/03/2021,Granada,144584,54335
19/03/2021,Huelva,77169,26048
19/03/2021,Jaén,106725,38529
19/03/2021,Málaga,214175,77723
19/03/2021,Sevilla,269106,98802
20/03/2021,Almería,99188,34267
20/03/2021,Cádiz,164048,59067
20/03/2021,Córdoba,145497,53734
20/03/2021,Granada,144705,54336
20/03/2021,Huelva,77200,26057
20/03/2021,Jaén,106813,38613
20/03/2021,Málaga,214283,77724
20/03/2021,Sevilla,269132,98805
21/03/2021,Almería,99188,34267
21/03/2021,Cádiz,164048,59067
21/03/2021,Córdoba,145497,53735
21/03/2021,Granada,144705,54336
21/03/2021,Huelva,77200,26057
21/03/2021,Jaén,106840,38613
21/03/2021,Málaga,214284,77724
21/03/2021,Sevilla,269360,98862
22/03/2021,Almería,100083,34283
22/03/2021,Cádiz,166708,60099
22/03/2021,Córdoba,147127,53763
22/03/2021,Granada,147382,54761
22/03/2021,Huelva,77359,26060
22/03/2021,Jaén,108600,38924
22/03/2021,Málaga,217337,78118
22/03/2021,Sevilla,275213,99357
23/03/2021,Almería,101777,34997
23/03/2021,Cádiz,170406,62684
23/03/2021,Córdoba,148335,54596
23/03/2021,Granada,150641,55491
23/03/2021,Huelva,78358,26740
23/03/2021,Jaén,109059,39211
23/03/2021,Málaga,221090,79489
23/03/2021,Sevilla,282256,102683
24/03/2021,Almería,104399,36221
24/03/2021,Cádiz,174941,64611
24/03/2021,Córdoba,151338,55896
24/03/2021,Granada,154579,57538
24/03/2021,Huelva,80927,27868
24/03/2021,Jaén,112719,40766
24/03/2021,Málaga,227963,82795
24/03/2021,Sevilla,291312,107194
25/03/2021,Almería,107219,37312
25/03/2021,Cádiz,178871,65940
25/03/2021,Córdoba,155659,59037
25/03/2021,Granada,159747,60181
25/03/2021,Huelva,84597,28775
