,Comunidad,Fecha,Fallecidos
793,Melilla,2020-05-27,2
794,Murcia,2020-05-27,148
795,Navarra,2020-05-27,490
796,Pais Vasco,2020-05-27,1424
797,La Rioja,2020-05-27,360
798,Andalucia,2020-05-28,1404
799,Aragon,2020-05-28,826
800,Asturias,2020-05-28,310
801,Baleares,2020-05-28,209
802,Canarias,2020-05-28,151
803,Cantabria,2020-05-28,202
804,Castilla La Mancha,2020-05-28,2945
805,Castilla y Leon,2020-05-28,1922
806,Cataluña,2020-05-28,5584
807,Ceuta,2020-05-28,4
808,C.Valenciana,2020-05-28,1332
809,Extremadura,2020-05-28,507
810,Galicia,2020-05-28,608
811,Madrid,2020-05-28,8691
812,Melilla,2020-05-28,2
813,Murcia,2020-05-28,148
814,Navarra,2020-05-28,490
815,Pais Vasco,2020-05-28,1424
816,La Rioja,2020-05-28,360
817,Andalucia,2020-05-29,1404
818,Aragon,2020-05-29,826
819,Asturias,2020-05-29,310
820,Baleares,2020-05-29,209
821,Canarias,2020-05-29,151
822,Cantabria,2020-05-29,202
823,Castilla La Mancha,2020-05-29,2945
824,Castilla y Leon,2020-05-29,1922
825,Cataluña,2020-05-29,5584
826,Ceuta,2020-05-29,4
827,C.Valenciana,2020-05-29,1334
828,Extremadura,2020-05-29,507
829,Galicia,2020-05-29,608
830,Madrid,2020-05-29,8691
831,Melilla,2020-05-29,2
832,Murcia,2020-05-29,148
833,Navarra,2020-05-29,490
834,Pais Vasco,2020-05-29,1424
835,La Rioja,2020-05-29,360
836,Andalucia,2020-05-30,1404
837,Aragon,2020-05-30,826
838,Asturias,2020-05-30,310
839,Baleares,2020-05-30,209
840,Canarias,2020-05-30,151
841,Cantabria,2020-05-30,202
842,Castilla La Mancha,2020-05-30,2945
843,Castilla y Leon,2020-05-30,1923
844,Cataluña,2020-05-30,5587
845,Ceuta,2020-05-30,4
846,C.Valenciana,2020-05-30,1332
847,Extremadura,2020-05-30,508
848,Galicia,2020-05-30,609
849,Madrid,2020-05-30,8691
850,Melilla,2020-05-30,2
851,Murcia,2020-05-30,148
852,Navarra,2020-05-30,490
853,Pais Vasco,2020-05-30,1424
854,La Rioja,2020-05-30,360
855,Andalucia,2020-05-31,1404
856,Aragon,2020-05-31,826
857,Asturias,2020-05-31,310
858,Baleares,2020-05-31,209
859,Canarias,2020-05-31,151
860,Cantabria,2020-05-31,202
861,Castilla La Mancha,2020-05-31,2945
862,Castilla y Leon,2020-05-31,1924
863,Cataluña,2020-05-31,5587
864,Ceuta,2020-05-31,4
865,C.Valenciana,2020-05-31,1332
866,Extremadura,2020-05-31,508
867,Galicia,2020-05-31,609
868,Madrid,2020-05-31,8691
869,Melilla,2020-05-31,2
870,Murcia,2020-05-31,148
871,Navarra,2020-05-31,490
872,Pais Vasco,2020-05-31,1424
873,La Rioja,2020-05-31,361
874,Andalucia,2020-06-01,1404
875,Aragon,2020-06-01,826
876,Asturias,2020-06-01,310
877,Baleares,2020-06-01,209
878,Canarias,2020-06-01,151
879,Cantabria,2020-06-01,202
880,Castilla La Mancha,2020-06-01,2945
881,Castilla y Leon,2020-06-01,1924
882,Cataluña,2020-06-01,5587
883,Ceuta,2020-06-01,4
884,C.Valenciana,2020-06-01,1332
885,Extremadura,2020-06-01,508
886,Galicia,2020-06-01,609
887,Madrid,2020-06-01,8691
888,Melilla,2020-06-01,2
889,Murcia,2020-06-01,148
890,Navarra,2020-06-01,490
891,Pais Vasco,2020-06-01,1424
892,La Rioja,2020-06-01,361
893,Andalucia,2020-06-02,1404
894,Aragon,2020-06-02,826
895,Asturias,2020-06-02,310
896,Baleares,2020-06-02,209
897,Canarias,2020-06-02,151
898,Cantabria,2020-06-02,202
899,Castilla La Mancha,2020-06-02,2945
900,Castilla y Leon,2020-06-02,1924
901,Cataluña,2020-06-02,5587
902,Ceuta,2020-06-02,4
903,C.Valenciana,2020-06-02,1332
904,Extremadura,2020-06-02,508
905,Galicia,2020-06-02,609
906,Madrid,2020-06-02,8691
907,Melilla,2020-06-02,2
908,Murcia,2020-06-02,148
909,Navarra,2020-06-02,490
910,Pais Vasco,2020-06-02,1424
911,La Rioja,2020-06-02,361
912,Andalucia,2020-06-03,1404
913,Aragon,2020-06-03,826
914,Asturias,2020-06-03,310
915,Baleares,2020-06-03,209
916,Canarias,2020-06-03,151
917,Cantabria,2020-06-03,202
918,Castilla La Mancha,2020-06-03,2945
919,Castilla y Leon,2020-06-03,1925
920,Cataluña,2020-06-03,5587
921,Ceuta,2020-06-03,4
922,C.Valenciana,2020-06-03,1332
923,Extremadura,2020-06-03,508
924,Galicia,2020-06-03,609
925,Madrid,2020-06-03,8691
926,Melilla,2020-06-03,2
927,Murcia,2020-06-03,148
928,Navarra,2020-06-03,490
929,Pais Vasco,2020-06-03,1424
930,La Rioja,2020-06-03,361
931,Andalucia,2020-06-04,1404
932,Aragon,2020-06-04,826
933,Asturias,2020-06-04,311
934,Baleares,2020-06-04,209
935,Canarias,2020-06-04,151
936,Cantabria,2020-06-04,202
937,Castilla La Mancha,2020-06-04,2945
938,Castilla y Leon,2020-06-04,1928
939,Cataluña,2020-06-04,5587
940,Ceuta,2020-06-04,4
941,C.Valenciana,2020-06-04,1332
942,Extremadura,2020-06-04,508
943,Galicia,2020-06-04,609
944,Madrid,2020-06-04,8691
945,Melilla,2020-06-04,2
946,Murcia,2020-06-04,148
947,Navarra,2020-06-04,490
948,Pais Vasco,2020-06-04,1424
949,La Rioja,2020-06-04,362
950,Andalucia,2020-06-05,1404
951,Aragon,2020-06-05,826
952,Asturias,2020-06-05,312
953,Baleares,2020-06-05,209
954,Canarias,2020-06-05,151
955,Cantabria,2020-06-05,202
956,Castilla La Mancha,2020-06-05,2945
957,Castilla y Leon,2020-06-05,1928
958,Cataluña,2020-06-05,5587
959,Ceuta,2020-06-05,4
960,C.Valenciana,2020-06-05,1332
961,Extremadura,2020-06-05,508
962,Galicia,2020-06-05,609
963,Madrid,2020-06-05,8691
964,Melilla,2020-06-05,2
965,Murcia,2020-06-05,148
966,Navarra,2020-06-05,490
967,Pais Vasco,2020-06-05,1424
968,La Rioja,2020-06-05,362
969,Andalucia,2020-06-06,1404
970,Aragon,2020-06-06,826
971,Asturias,2020-06-06,313
972,Baleares,2020-06-06,209
973,Canarias,2020-06-06,151
974,Cantabria,2020-06-06,202
975,Castilla La Mancha,2020-06-06,2945
976,Castilla y Leon,2020-06-06,1928
977,Cataluña,2020-06-06,5587
978,Ceuta,2020-06-06,4
979,C.Valenciana,2020-06-06,1332
980,Extremadura,2020-06-06,508
981,Galicia,2020-06-06,609
982,Madrid,2020-06-06,8691
983,Melilla,2020-06-06,2
984,Murcia,2020-06-06,148
985,Navarra,2020-06-06,490
986,Pais Vasco,2020-06-06,1424
987,La Rioja,2020-06-06,362
988,Andalucia,2020-06-07,1404
989,Aragon,2020-06-07,826
990,Asturias,2020-06-07,314
991,Baleares,2020-06-07,209
992,Canarias,2020-06-07,151
993,Cantabria,2020-06-07,202
994,Castilla La Mancha,2020-06-07,2945
995,Castilla y Leon,2020-06-07,1928
996,Cataluña,2020-06-07,5587
997,Ceuta,2020-06-07,4
998,C.Valenciana,2020-06-07,1332
999,Extremadura,2020-06-07,508
1000,Galicia,2020-06-07,609
1001,Madrid,2020-06-07,8691
1002,Melilla,2020-06-07,2
1003,Murcia,2020-06-07,148
1004,Navarra,2020-06-07,490
1005,Pais Vasco,2020-06-07,1424
1006,La Rioja,2020-06-07,362
1007,Andalucia,2020-06-08,1404
1008,Aragon,2020-06-08,826
1009,Asturias,2020-06-08,314
1010,Baleares,2020-06-08,209
1011,Canarias,2020-06-08,151
1012,Cantabria,2020-06-08,202
1013,Castilla La Mancha,2020-06-08,2945
1014,Castilla y Leon,2020-06-08,1928
1015,Cataluña,2020-06-08,5587
1016,Ceuta,2020-06-08,4
1017,C.Valenciana,2020-06-08,1332
1018,Extremadura,2020-06-08,508
1019,Galicia,2020-06-08,609
1020,Madrid,2020-06-08,8691
1021,Melilla,2020-06-08,2
1022,Murcia,2020-06-08,148
1023,Navarra,2020-06-08,490
1024,Pais Vasco,2020-06-08,1424
1025,La Rioja,2020-06-08,362
1026,Andalucia,2020-06-09,1404
1027,Aragon,2020-06-09,826
1028,Asturias,2020-06-09,314
1029,Baleares,2020-06-09,209
1030,Canarias,2020-06-09,151
1031,Cantabria,2020-06-09,202
1032,Castilla La Mancha,2020-06-09,2945
1033,Castilla y Leon,2020-06-09,1928
1034,Cataluña,2020-06-09,5587
1035,Ceuta,2020-06-09,4
1036,C.Valenciana,2020-06-09,1332
1037,Extremadura,2020-06-09,508
1038,Galicia,2020-06-09,609
1039,Madrid,2020-06-09,8691
1040,Melilla,2020-06-09,2
1041,Murcia,2020-06-09,148
1042,Navarra,2020-06-09,490
1043,Pais Vasco,2020-06-09,1424
1044,La Rioja,2020-06-09,362
1045,Andalucia,2020-06-10,1404
1046,Aragon,2020-06-10,826
1047,Asturias,2020-06-10,314
1048,Baleares,2020-06-10,209
1049,Canarias,2020-06-10,151
1050,Cantabria,2020-06-10,202
1051,Castilla La Mancha,2020-06-10,2945
1052,Castilla y Leon,2020-06-10,1928
1053,Cataluña,2020-06-10,5587
1054,Ceuta,2020-06-10,4
1055,C.Valenciana,2020-06-10,1332
1056,Extremadura,2020-06-10,508
1057,Galicia,2020-06-10,609
1058,Madrid,2020-06-10,8691
1059,Melilla,2020-06-10,2
1060,Murcia,2020-06-10,148
1061,Navarra,2020-06-10,490
1062,Pais Vasco,2020-06-10,1424
1063,La Rioja,2020-06-10,362
1064,Andalucia,2020-06-11,1404
1065,Aragon,2020-06-11,826
1066,Asturias,2020-06-11,314
1067,Baleares,2020-06-11,209
1068,Canarias,2020-06-11,151
1069,Cantabria,2020-06-11,202
1070,Castilla La Mancha,2020-06-11,2945
1071,Castilla y Leon,2020-06-11,1928
1072,Cataluña,2020-06-11,5587
1073,Ceuta,2020-06-11,4
1074,C.Valenciana,2020-06-11,1332
1075,Extremadura,2020-06-11,508
1076,Galicia,2020-06-11,609
1077,Madrid,2020-06-11,8691
1078,Melilla,2020-06-11,2
1079,Murcia,2020-06-11,148
1080,Navarra,2020-06-11,490
1081,Pais Vasco,2020-06-11,1424
1082,La Rioja,2020-06-11,362
1083,Andalucia,2020-06-12,1404
1084,Aragon,2020-06-12,826
1085,Asturias,2020-06-12,314
1086,Baleares,2020-06-12,209
1087,Canarias,2020-06-12,151
1088,Cantabria,2020-06-12,202
1089,Castilla La Mancha,2020-06-12,2945
1090,Castilla y Leon,2020-06-12,1928
1091,Cataluña,2020-06-12,5587
1092,Ceuta,2020-06-12,4
1093,C.Valenciana,2020-06-12,1332
1094,Extremadura,2020-06-12,508
1095,Galicia,2020-06-12,609
1096,Madrid,2020-06-12,8691
1097,Melilla,2020-06-12,2
1098,Murcia,2020-06-12,148
1099,Navarra,2020-06-12,490
1100,Pais Vasco,2020-06-12,1424
1101,La Rioja,2020-06-12,362
1102,Andalucia,2020-06-13,1404
1103,Aragon,2020-06-13,826
1104,Asturias,2020-06-13,314
1105,Baleares,2020-06-13,209
1106,Canarias,2020-06-13,151
1107,Cantabria,2020-06-13,202
1108,Castilla La Mancha,2020-06-13,2945
1109,Castilla y Leon,2020-06-13,1928
1110,Cataluña,2020-06-13,5587
1111,Ceuta,2020-06-13,4
1112,C.Valenciana,2020-06-13,1332
1113,Extremadura,2020-06-13,508
1114,Galicia,2020-06-13,609
1115,Madrid,2020-06-13,8691
1116,Melilla,2020-06-13,2
1117,Murcia,2020-06-13,148
1118,Navarra,2020-06-13,490
1119,Pais Vasco,2020-06-13,1424
1120,La Rioja,2020-06-13,362
1121,Andalucia,2020-06-14,1404
1122,Aragon,2020-06-14,826
1123,Asturias,2020-06-14,314
1124,Baleares,2020-06-14,209
1125,Canarias,2020-06-14,151
1126,Cantabria,2020-06-14,202
1127,Castilla La Mancha,2020-06-14,2945
1128,Castilla y Leon,2020-06-14,1928
1129,Cataluña,2020-06-14,5587
1130,Ceuta,2020-06-14,4
1131,C.Valenciana,2020-06-14,1332
1132,Extremadura,2020-06-14,508
1133,Galicia,2020-06-14,609
1134,Madrid,2020-06-14,8691
1135,Melilla,2020-06-14,2
1136,Murcia,2020-06-14,148
1137,Navarra,2020-06-14,490
1138,Pais Vasco,2020-06-14,1424
1139,La Rioja,2020-06-14,362
1140,Andalucia,2020-06-15,1404
1141,Aragon,2020-06-15,826
1142,Asturias,2020-06-15,314
1143,Baleares,2020-06-15,209
1144,Canarias,2020-06-15,151
1145,Cantabria,2020-06-15,202
1146,Castilla La Mancha,2020-06-15,2945
1147,Castilla y Leon,2020-06-15,1928
1148,Cataluña,2020-06-15,5587
1149,Ceuta,2020-06-15,4
1150,C.Valenciana,2020-06-15,1332
1151,Extremadura,2020-06-15,508
1152,Galicia,2020-06-15,609
1153,Madrid,2020-06-15,8691
1154,Melilla,2020-06-15,2
1155,Murcia,2020-06-15,148
1156,Navarra,2020-06-15,490
1157,Pais Vasco,2020-06-15,1424
1158,La Rioja,2020-06-15,362
1159,Andalucia,2020-06-16,1404
1160,Aragon,2020-06-16,826
1161,Asturias,2020-06-16,314
1162,Baleares,2020-06-16,209
1163,Canarias,2020-06-16,151
1164,Cantabria,2020-06-16,202
1165,Castilla La Mancha,2020-06-16,2945
1166,Castilla y Leon,2020-06-16,1928
1167,Cataluña,2020-06-16,5587
1168,Ceuta,2020-06-16,4
1169,C.Valenciana,2020-06-16,1332
1170,Extremadura,2020-06-16,508
1171,Galicia,2020-06-16,609
1172,Madrid,2020-06-16,8691
1173,Melilla,2020-06-16,2
1174,Murcia,2020-06-16,148
1175,Navarra,2020-06-16,490
1176,Pais Vasco,2020-06-16,1424
1177,La Rioja,2020-06-16,362
1178,Andalucia,2020-06-17,1404
1179,Aragon,2020-06-17,826
1180,Asturias,2020-06-17,314
1181,Baleares,2020-06-17,209
1182,Canarias,2020-06-17,151
1183,Cantabria,2020-06-17,202
1184,Castilla La Mancha,2020-06-17,2945
1185,Castilla y Leon,2020-06-17,1928
1186,Cataluña,2020-06-17,5587
1187,Ceuta,2020-06-17,4
1188,C.Valenciana,2020-06-17,1332
1189,Extremadura,2020-06-17,508
1190,Galicia,2020-06-17,609
1191,Madrid,2020-06-17,8691
1192,Melilla,2020-06-17,2
1193,Murcia,2020-06-17,148
1194,Navarra,2020-06-17,490
1195,Pais Vasco,2020-06-17,1424
1196,La Rioja,2020-06-17,362
1197,Andalucia,2020-06-18,1404
1198,Aragon,2020-06-18,826
1199,Asturias,2020-06-18,314
1200,Baleares,2020-06-18,209
1201,Canarias,2020-06-18,151
1202,Cantabria,2020-06-18,202
1203,Castilla La Mancha,2020-06-18,2945
1204,Castilla y Leon,2020-06-18,1928
1205,Cataluña,2020-06-18,5587
1206,Ceuta,2020-06-18,4
1207,C.Valenciana,2020-06-18,1332
1208,Extremadura,2020-06-18,508
1209,Galicia,2020-06-18,609
1210,Madrid,2020-06-18,8691
1211,Melilla,2020-06-18,2
1212,Murcia,2020-06-18,148
1213,Navarra,2020-06-18,490
1214,Pais Vasco,2020-06-18,1424
1215,La Rioja,2020-06-18,362
1216,Andalucia,2020-06-19,1426
1217,Aragon,2020-06-19,911
1218,Asturias,2020-06-19,333
1219,Baleares,2020-06-19,224
1220,Canarias,2020-06-19,162
1221,Cantabria,2020-06-19,216
1222,Castilla La Mancha,2020-06-19,3022
1223,Castilla y Leon,2020-06-19,2775
1224,Cataluña,2020-06-19,5662
1225,Ceuta,2020-06-19,4
1226,C.Valenciana,2020-06-19,1430
1227,Extremadura,2020-06-19,519
1228,Galicia,2020-06-19,619
1229,Madrid,2020-06-19,8416
1230,Melilla,2020-06-19,2
1231,Murcia,2020-06-19,147
1232,Navarra,2020-06-19,528
1233,Pais Vasco,2020-06-19,1554
1234,La Rioja,2020-06-19,365
1235,Andalucia,2020-06-20,1426
1236,Aragon,2020-06-20,911
1237,Asturias,2020-06-20,333
1238,Baleares,2020-06-20,224
1239,Canarias,2020-06-20,162
1240,Cantabria,2020-06-20,216
1241,Castilla La Mancha,2020-06-20,3022
1242,Castilla y Leon,2020-06-20,2776
1243,Cataluña,2020-06-20,5666
1244,Ceuta,2020-06-20,4
1245,C.Valenciana,2020-06-20,1431
1246,Extremadura,2020-06-20,519
1247,Galicia,2020-06-20,619
1248,Madrid,2020-06-20,8416
1249,Melilla,2020-06-20,2
1250,Murcia,2020-06-20,147
1251,Navarra,2020-06-20,528
1252,Pais Vasco,2020-06-20,1555
1253,La Rioja,2020-06-20,365
1254,Andalucia,2020-06-21,1426
1255,Aragon,2020-06-21,911
1256,Asturias,2020-06-21,333
1257,Baleares,2020-06-21,224
1258,Canarias,2020-06-21,162
1259,Cantabria,2020-06-21,216
1260,Castilla La Mancha,2020-06-21,3022
1261,Castilla y Leon,2020-06-21,2777
1262,Cataluña,2020-06-21,5666
1263,Ceuta,2020-06-21,4
1264,C.Valenciana,2020-06-21,1431
1265,Extremadura,2020-06-21,519
1266,Galicia,2020-06-21,619
1267,Madrid,2020-06-21,8416
1268,Melilla,2020-06-21,2
1269,Murcia,2020-06-21,147
1270,Navarra,2020-06-21,528
1271,Pais Vasco,2020-06-21,1555
1272,La Rioja,2020-06-21,365
1273,Andalucia,2020-06-22,1426
1274,Aragon,2020-06-22,911
1275,Asturias,2020-06-22,333
1276,Baleares,2020-06-22,224
1277,Canarias,2020-06-22,162
1278,Cantabria,2020-06-22,216
1279,Castilla La Mancha,2020-06-22,3022
1280,Castilla y Leon,2020-06-22,2778
1281,Cataluña,2020-06-22,5666
1282,Ceuta,2020-06-22,4
1283,C.Valenciana,2020-06-22,1431
1284,Extremadura,2020-06-22,519
1285,Galicia,2020-06-22,619
1286,Madrid,2020-06-22,8416
1287,Melilla,2020-06-22,2
1288,Murcia,2020-06-22,147
1289,Navarra,2020-06-22,528
1290,Pais Vasco,2020-06-22,1555
1291,La Rioja,2020-06-22,365
1292,Andalucia,2020-06-23,1426
1293,Aragon,2020-06-23,911
1294,Asturias,2020-06-23,333
1295,Baleares,2020-06-23,224
1296,Canarias,2020-06-23,162
1297,Cantabria,2020-06-23,216
1298,Castilla La Mancha,2020-06-23,3022
1299,Castilla y Leon,2020-06-23,2779
1300,Cataluña,2020-06-23,5666
1301,Ceuta,2020-06-23,4
1302,C.Valenciana,2020-06-23,1431
1303,Extremadura,2020-06-23,519
1304,Galicia,2020-06-23,619
1305,Madrid,2020-06-23,8416
1306,Melilla,2020-06-23,2
1307,Murcia,2020-06-23,147
1308,Navarra,2020-06-23,528
1309,Pais Vasco,2020-06-23,1555
1310,La Rioja,2020-06-23,365
1311,Andalucia,2020-06-24,1426
1312,Aragon,2020-06-24,911
1313,Asturias,2020-06-24,333
1314,Baleares,2020-06-24,224
1315,Canarias,2020-06-24,162
1316,Cantabria,2020-06-24,216
1317,Castilla La Mancha,2020-06-24,3022
1318,Castilla y Leon,2020-06-24,2780
1319,Cataluña,2020-06-24,5666
1320,Ceuta,2020-06-24,4
1321,C.Valenciana,2020-06-24,1432
1322,Extremadura,2020-06-24,519
1323,Galicia,2020-06-24,619
1324,Madrid,2020-06-24,8416
1325,Melilla,2020-06-24,2
1326,Murcia,2020-06-24,147
1327,Navarra,2020-06-24,528
1328,Pais Vasco,2020-06-24,1555
1329,La Rioja,2020-06-24,365
1330,Andalucia,2020-06-25,1426
1331,Aragon,2020-06-25,911
1332,Asturias,2020-06-25,334
1333,Baleares,2020-06-25,224
1334,Canarias,2020-06-25,162
1335,Cantabria,2020-06-25,216
1336,Castilla La Mancha,2020-06-25,3020
1337,Castilla y Leon,2020-06-25,2783
1338,Cataluña,2020-06-25,5666
1339,Ceuta,2020-06-25,4
1340,C.Valenciana,2020-06-25,1432
1341,Extremadura,2020-06-25,519
1342,Galicia,2020-06-25,619
1343,Madrid,2020-06-25,8417
1344,Melilla,2020-06-25,2
1345,Murcia,2020-06-25,147
1346,Navarra,2020-06-25,528
1347,Pais Vasco,2020-06-25,1555
1348,La Rioja,2020-06-25,365
1349,Andalucia,2020-06-26,1426
1350,Aragon,2020-06-26,912
1351,Asturias,2020-06-26,334
1352,Baleares,2020-06-26,224
1353,Canarias,2020-06-26,162
1354,Cantabria,2020-06-26,216
1355,Castilla La Mancha,2020-06-26,3024
1356,Castilla y Leon,2020-06-26,2783
1357,Cataluña,2020-06-26,5668
1358,Ceuta,2020-06-26,4
1359,C.Valenciana,2020-06-26,1432
1360,Extremadura,2020-06-26,519
1361,Galicia,2020-06-26,619
1362,Madrid,2020-06-26,8418
1363,Melilla,2020-06-26,2
1364,Murcia,2020-06-26,147
1365,Navarra,2020-06-26,528
1366,Pais Vasco,2020-06-26,1555
1367,La Rioja,2020-06-26,365
1368,Andalucia,2020-06-27,1426
1369,Aragon,2020-06-27,912
1370,Asturias,2020-06-27,334
1371,Baleares,2020-06-27,224
1372,Canarias,2020-06-27,162
1373,Cantabria,2020-06-27,216
1374,Castilla La Mancha,2020-06-27,3024
1375,Castilla y Leon,2020-06-27,2783
1376,Cataluña,2020-06-27,5668
1377,Ceuta,2020-06-27,4
1378,C.Valenciana,2020-06-27,1432
1379,Extremadura,2020-06-27,519
1380,Galicia,2020-06-27,619
1381,Madrid,2020-06-27,8420
1382,Melilla,2020-06-27,2
1383,Murcia,2020-06-27,147
1384,Navarra,2020-06-27,528
1385,Pais Vasco,2020-06-27,1555
1386,La Rioja,2020-06-27,366
1387,Andalucia,2020-06-28,1426
1388,Aragon,2020-06-28,912
1389,Asturias,2020-06-28,334
1390,Baleares,2020-06-28,224
1391,Canarias,2020-06-28,162
1392,Cantabria,2020-06-28,216
1393,Castilla La Mancha,2020-06-28,3024
1394,Castilla y Leon,2020-06-28,2783
1395,Cataluña,2020-06-28,5669
1396,Ceuta,2020-06-28,4
1397,C.Valenciana,2020-06-28,1432
1398,Extremadura,2020-06-28,519
1399,Galicia,2020-06-28,619
1400,Madrid,2020-06-28,8421
1401,Melilla,2020-06-28,2
1402,Murcia,2020-06-28,147
1403,Navarra,2020-06-28,528
1404,Pais Vasco,2020-06-28,1555
1405,La Rioja,2020-06-28,366
1406,Andalucia,2020-06-29,1426
1407,Aragon,2020-06-29,912
1408,Asturias,2020-06-29,334
1409,Baleares,2020-06-29,224
1410,Canarias,2020-06-29,162
1411,Cantabria,2020-06-29,216
1412,Castilla La Mancha,2020-06-29,3025
1413,Castilla y Leon,2020-06-29,2784
1414,Cataluña,2020-06-29,5669
1415,Ceuta,2020-06-29,4
1416,C.Valenciana,2020-06-29,1432
1417,Extremadura,2020-06-29,519
1418,Galicia,2020-06-29,619
1419,Madrid,2020-06-29,8421
1420,Melilla,2020-06-29,2
1421,Murcia,2020-06-29,147
1422,Navarra,2020-06-29,528
1423,Pais Vasco,2020-06-29,1556
1424,La Rioja,2020-06-29,366
1425,Andalucia,2020-06-30,1427
1426,Aragon,2020-06-30,912
1427,Asturias,2020-06-30,334
1428,Baleares,2020-06-30,224
1429,Canarias,2020-06-30,162
1430,Cantabria,2020-06-30,216
1431,Castilla La Mancha,2020-06-30,3026
1432,Castilla y Leon,2020-06-30,2784
1433,Cataluña,2020-06-30,5670
1434,Ceuta,2020-06-30,4
1435,C.Valenciana,2020-06-30,1432
1436,Extremadura,2020-06-30,519
1437,Galicia,2020-06-30,619
1438,Madrid,2020-06-30,8425
1439,Melilla,2020-06-30,2
1440,Murcia,2020-06-30,147
1441,Navarra,2020-06-30,528
1442,Pais Vasco,2020-06-30,1558
1443,La Rioja,2020-06-30,366
1444,Andalucia,2020-07-01,1428
1445,Aragon,2020-07-01,912
1446,Asturias,2020-07-01,334
1447,Baleares,2020-07-01,224
1448,Canarias,2020-07-01,162
1449,Cantabria,2020-07-01,216
1450,Castilla La Mancha,2020-07-01,3026
1451,Castilla y Leon,2020-07-01,2787
1452,Cataluña,2020-07-01,5671
1453,Ceuta,2020-07-01,4
1454,C.Valenciana,2020-07-01,1432
1455,Extremadura,2020-07-01,519
1456,Galicia,2020-07-01,619
1457,Madrid,2020-07-01,8426
1458,Melilla,2020-07-01,2
1459,Murcia,2020-07-01,147
1460,Navarra,2020-07-01,528
1461,Pais Vasco,2020-07-01,1560
1462,La Rioja,2020-07-01,366
1463,Andalucia,2020-07-02,1428
1464,Aragon,2020-07-02,912
1465,Asturias,2020-07-02,334
1466,Baleares,2020-07-02,224
1467,Canarias,2020-07-02,162
1468,Cantabria,2020-07-02,216
1469,Castilla La Mancha,2020-07-02,3026
1470,Castilla y Leon,2020-07-02,2787
1471,Cataluña,2020-07-02,5673
1472,Ceuta,2020-07-02,4
1473,C.Valenciana,2020-07-02,1432
1474,Extremadura,2020-07-02,519
1475,Galicia,2020-07-02,619
1476,Madrid,2020-07-02,8428
1477,Melilla,2020-07-02,2
1478,Murcia,2020-07-02,148
1479,Navarra,2020-07-02,528
1480,Pais Vasco,2020-07-02,1560
1481,La Rioja,2020-07-02,366
1482,Andalucia,2020-07-03,1433
1483,Aragon,2020-07-03,912
1484,Asturias,2020-07-03,334
1485,Baleares,2020-07-03,224
1486,Canarias,2020-07-03,162
1487,Cantabria,2020-07-03,216
1488,Castilla La Mancha,2020-07-03,3026
1489,Castilla y Leon,2020-07-03,2787
1490,Cataluña,2020-07-03,5673
1491,Ceuta,2020-07-03,4
1492,C.Valenciana,2020-07-03,1432
1493,Extremadura,2020-07-03,519
1494,Galicia,2020-07-03,619
1495,Madrid,2020-07-03,8439
1496,Melilla,2020-07-03,2
1497,Murcia,2020-07-03,148
1498,Navarra,2020-07-03,528
1499,Pais Vasco,2020-07-03,1561
1500,La Rioja,2020-07-03,366
1501,Andalucia,2020-07-06,1433
1502,Aragon,2020-07-06,913
1503,Asturias,2020-07-06,334
1504,Baleares,2020-07-06,224
1505,Canarias,2020-07-06,162
1506,Cantabria,2020-07-06,216
1507,Castilla La Mancha,2020-07-06,3027
1508,Castilla y Leon,2020-07-06,2787
1509,Cataluña,2020-07-06,5674
1510,Ceuta,2020-07-06,4
1511,C.Valenciana,2020-07-06,1432
1512,Extremadura,2020-07-06,519
1513,Galicia,2020-07-06,619
1514,Madrid,2020-07-06,8439
1515,Melilla,2020-07-06,2
1516,Murcia,2020-07-06,148
1517,Navarra,2020-07-06,528
1518,Pais Vasco,2020-07-06,1561
1519,La Rioja,2020-07-06,366
1520,Andalucia,2020-07-07,1433
1521,Aragon,2020-07-07,913
1522,Asturias,2020-07-07,334
1523,Baleares,2020-07-07,224
1524,Canarias,2020-07-07,162
1525,Cantabria,2020-07-07,216
1526,Castilla La Mancha,2020-07-07,3028
1527,Castilla y Leon,2020-07-07,2788
1528,Cataluña,2020-07-07,5675
1529,Ceuta,2020-07-07,4
1530,C.Valenciana,2020-07-07,1432
1531,Extremadura,2020-07-07,519
1532,Galicia,2020-07-07,619
1533,Madrid,2020-07-07,8440
1534,Melilla,2020-07-07,2
1535,Murcia,2020-07-07,148
1536,Navarra,2020-07-07,528
1537,Pais Vasco,2020-07-07,1561
1538,La Rioja,2020-07-07,366
1539,Andalucia,2020-07-08,1434
1540,Aragon,2020-07-08,913
1541,Asturias,2020-07-08,334
1542,Baleares,2020-07-08,224
1543,Canarias,2020-07-08,162
1544,Cantabria,2020-07-08,216
1545,Castilla La Mancha,2020-07-08,3029
1546,Castilla y Leon,2020-07-08,2788
1547,Cataluña,2020-07-08,5675
1548,Ceuta,2020-07-08,4
1549,C.Valenciana,2020-07-08,1432
1550,Extremadura,2020-07-08,519
1551,Galicia,2020-07-08,619
1552,Madrid,2020-07-08,8441
1553,Melilla,2020-07-08,2
1554,Murcia,2020-07-08,148
1555,Navarra,2020-07-08,528
1556,Pais Vasco,2020-07-08,1562
1557,La Rioja,2020-07-08,366
1558,Andalucia,2020-07-09,1435
1559,Aragon,2020-07-09,913
1560,Asturias,2020-07-09,334
