Fecha report,provincia,Hospitalizados,UCI
15/05/2020,Huelva,4,4
15/05/2020,Jaén,39,8
15/05/2020,Málaga,56,7
15/05/2020,Sevilla,52,15
16/05/2020,Almería,18,2
16/05/2020,Cádiz,29,9
16/05/2020,Córdoba,25,12
16/05/2020,Granada,56,10
16/05/2020,Huelva,5,4
16/05/2020,Jaén,35,8
16/05/2020,Málaga,59,7
16/05/2020,Sevilla,42,13
17/05/2020,Almería,17,2
17/05/2020,Cádiz,27,9
17/05/2020,Córdoba,25,11
17/05/2020,Granada,52,10
17/05/2020,Huelva,4,3
17/05/2020,Jaén,38,8
17/05/2020,Málaga,57,8
17/05/2020,Sevilla,41,13
18/05/2020,Almería,18,3
18/05/2020,Cádiz,24,9
18/05/2020,Córdoba,28,10
18/05/2020,Granada,51,10
18/05/2020,Huelva,5,3
18/05/2020,Jaén,42,9
18/05/2020,Málaga,58,8
18/05/2020,Sevilla,39,13
19/05/2020,Almería,14,1
19/05/2020,Cádiz,20,8
19/05/2020,Córdoba,26,10
19/05/2020,Granada,42,8
19/05/2020,Huelva,5,3
19/05/2020,Jaén,36,9
19/05/2020,Málaga,69,5
19/05/2020,Sevilla,34,9
20/05/2020,Almería,13,1
20/05/2020,Cádiz,23,8
20/05/2020,Córdoba,24,10
20/05/2020,Granada,42,7
20/05/2020,Huelva,4,3
20/05/2020,Jaén,33,9
20/05/2020,Málaga,56,6
20/05/2020,Sevilla,31,8
21/05/2020,Almería,13,2
21/05/2020,Cádiz,24,7
21/05/2020,Córdoba,25,10
21/05/2020,Granada,37,6
21/05/2020,Huelva,4,3
21/05/2020,Jaén,33,10
21/05/2020,Málaga,45,6
21/05/2020,Sevilla,31,8
22/05/2020,Almería,12,2
22/05/2020,Cádiz,25,7
22/05/2020,Córdoba,26,10
22/05/2020,Granada,35,7
22/05/2020,Huelva,3,3
22/05/2020,Jaén,28,9
22/05/2020,Málaga,39,6
22/05/2020,Sevilla,29,8
23/05/2020,Almería,15,2
23/05/2020,Cádiz,27,7
23/05/2020,Córdoba,22,10
23/05/2020,Granada,33,7
23/05/2020,Huelva,4,3
23/05/2020,Jaén,26,9
23/05/2020,Málaga,30,4
23/05/2020,Sevilla,22,7
24/05/2020,Almería,15,3
24/05/2020,Cádiz,22,7
24/05/2020,Córdoba,21,10
24/05/2020,Granada,37,7
24/05/2020,Huelva,4,3
24/05/2020,Jaén,25,8
24/05/2020,Málaga,33,4
24/05/2020,Sevilla,21,7
25/05/2020,Almería,15,2
25/05/2020,Cádiz,19,7
25/05/2020,Córdoba,20,9
25/05/2020,Granada,37,7
25/05/2020,Huelva,4,3
25/05/2020,Jaén,27,9
25/05/2020,Málaga,29,4
25/05/2020,Sevilla,20,7
26/05/2020,Almería,13,2
26/05/2020,Cádiz,22,6
26/05/2020,Córdoba,24,9
26/05/2020,Granada,37,7
26/05/2020,Huelva,4,2
26/05/2020,Jaén,27,8
26/05/2020,Málaga,26,3
26/05/2020,Sevilla,21,7
27/05/2020,Almería,11,1
27/05/2020,Cádiz,23,6
27/05/2020,Córdoba,19,9
27/05/2020,Granada,30,7
27/05/2020,Huelva,4,2
27/05/2020,Jaén,17,7
27/05/2020,Málaga,23,3
27/05/2020,Sevilla,18,6
28/05/2020,Almería,11,0
28/05/2020,Cádiz,21,6
28/05/2020,Córdoba,17,9
28/05/2020,Granada,27,7
28/05/2020,Huelva,4,2
28/05/2020,Jaén,11,4
28/05/2020,Málaga,22,3
28/05/2020,Sevilla,18,6
29/05/2020,Almería,11,0
29/05/2020,Cádiz,23,6
29/05/2020,Córdoba,17,8
29/05/2020,Granada,27,7
29/05/2020,Huelva,4,1
29/05/2020,Jaén,7,2
29/05/2020,Málaga,22,3
29/05/2020,Sevilla,18,6
30/05/2020,Almería,10,0
30/05/2020,Cádiz,10,6
30/05/2020,Córdoba,15,8
30/05/2020,Granada,22,7
30/05/2020,Huelva,4,1
30/05/2020,Jaén,7,3
30/05/2020,Málaga,17,3
30/05/2020,Sevilla,14,6
31/05/2020,Almería,11,0
31/05/2020,Cádiz,9,6
31/05/2020,Córdoba,13,8
31/05/2020,Granada,21,7
31/05/2020,Huelva,4,1
31/05/2020,Jaén,6,2
31/05/2020,Málaga,17,3
31/05/2020,Sevilla,14,7
01/06/2020,Almería,11,0
01/06/2020,Cádiz,9,6
01/06/2020,Córdoba,13,8
01/06/2020,Granada,22,7
01/06/2020,Huelva,4,1
01/06/2020,Jaén,5,2
01/06/2020,Málaga,17,3
01/06/2020,Sevilla,13,6
02/06/2020,Almería,10,0
02/06/2020,Cádiz,8,5
02/06/2020,Córdoba,15,8
02/06/2020,Granada,23,7
02/06/2020,Huelva,5,1
02/06/2020,Jaén,2,1
02/06/2020,Málaga,20,4
02/06/2020,Sevilla,13,6
03/06/2020,Almería,12,0
03/06/2020,Cádiz,7,5
03/06/2020,Córdoba,15,7
03/06/2020,Granada,20,7
03/06/2020,Huelva,5,1
03/06/2020,Jaén,3,1
03/06/2020,Málaga,17,4
03/06/2020,Sevilla,15,5
04/06/2020,Almería,12,0
04/06/2020,Cádiz,8,5
04/06/2020,Córdoba,15,6
04/06/2020,Granada,17,6
04/06/2020,Huelva,3,1
04/06/2020,Jaén,2,1
04/06/2020,Málaga,17,4
04/06/2020,Sevilla,13,5
05/06/2020,Almería,9,0
05/06/2020,Cádiz,8,5
05/06/2020,Córdoba,16,6
05/06/2020,Granada,17,6
05/06/2020,Huelva,3,1
05/06/2020,Jaén,2,1
05/06/2020,Málaga,18,4
05/06/2020,Sevilla,12,5
06/06/2020,Almería,8,0
06/06/2020,Cádiz,8,5
06/06/2020,Córdoba,13,5
06/06/2020,Granada,16,6
06/06/2020,Huelva,3,1
06/06/2020,Jaén,2,1
06/06/2020,Málaga,19,3
06/06/2020,Sevilla,10,4
07/06/2020,Almería,8,0
07/06/2020,Cádiz,7,5
07/06/2020,Córdoba,13,5
07/06/2020,Granada,15,6
07/06/2020,Huelva,1,1
07/06/2020,Jaén,2,1
07/06/2020,Málaga,19,3
07/06/2020,Sevilla,9,3
08/06/2020,Almería,8,0
08/06/2020,Cádiz,7,5
08/06/2020,Córdoba,9,5
08/06/2020,Granada,16,6
08/06/2020,Huelva,1,1
08/06/2020,Jaén,1,1
08/06/2020,Málaga,18,3
08/06/2020,Sevilla,9,3
10/06/2020,Almería,7,0
10/06/2020,Cádiz,7,4
10/06/2020,Córdoba,5,2
10/06/2020,Granada,14,6
10/06/2020,Huelva,1,1
10/06/2020,Jaén,1,1
10/06/2020,Málaga,16,3
10/06/2020,Sevilla,9,3
11/06/2020,Almería,8,0
11/06/2020,Cádiz,8,5
11/06/2020,Córdoba,5,2
11/06/2020,Granada,10,4
11/06/2020,Huelva,1,1
