Fecha report,provincia,Hospitalizados,UCI
10/08/2020,Huelva,3,1
10/08/2020,Jaén,4,0
10/08/2020,Málaga,22,3
10/08/2020,Sevilla,9,1
11/08/2020,Almería,45,12
11/08/2020,Cádiz,10,2
11/08/2020,Córdoba,14,2
11/08/2020,Granada,9,1
11/08/2020,Huelva,3,1
11/08/2020,Jaén,5,0
11/08/2020,Málaga,22,2
11/08/2020,Sevilla,7,1
12/08/2020,Almería,49,14
12/08/2020,Cádiz,13,4
12/08/2020,Córdoba,13,2
12/08/2020,Granada,11,1
12/08/2020,Huelva,3,1
12/08/2020,Jaén,8,0
12/08/2020,Málaga,27,3
12/08/2020,Sevilla,9,1
13/08/2020,Almería,55,14
13/08/2020,Cádiz,13,5
13/08/2020,Córdoba,11,2
13/08/2020,Granada,12,2
13/08/2020,Huelva,4,1
13/08/2020,Jaén,9,0
13/08/2020,Málaga,27,3
13/08/2020,Sevilla,11,2
14/08/2020,Almería,54,14
14/08/2020,Cádiz,18,5
14/08/2020,Córdoba,12,2
14/08/2020,Granada,14,2
14/08/2020,Huelva,5,1
14/08/2020,Jaén,10,0
14/08/2020,Málaga,32,3
14/08/2020,Sevilla,13,2
15/08/2020,Almería,57,15
15/08/2020,Cádiz,19,6
15/08/2020,Córdoba,12,2
15/08/2020,Granada,17,2
15/08/2020,Huelva,4,1
15/08/2020,Jaén,10,0
15/08/2020,Málaga,38,5
15/08/2020,Sevilla,14,3
16/08/2020,Almería,56,17
16/08/2020,Cádiz,19,4
16/08/2020,Córdoba,13,2
16/08/2020,Granada,22,3
16/08/2020,Huelva,4,1
16/08/2020,Jaén,9,1
16/08/2020,Málaga,42,3
16/08/2020,Sevilla,17,4
17/08/2020,Almería,62,17
17/08/2020,Cádiz,22,4
17/08/2020,Córdoba,13,2
17/08/2020,Granada,22,4
17/08/2020,Huelva,5,1
17/08/2020,Jaén,9,1
17/08/2020,Málaga,44,3
17/08/2020,Sevilla,19,5
18/08/2020,Almería,69,14
18/08/2020,Cádiz,22,5
18/08/2020,Córdoba,17,2
18/08/2020,Granada,21,2
18/08/2020,Huelva,7,1
18/08/2020,Jaén,9,1
18/08/2020,Málaga,55,4
18/08/2020,Sevilla,21,5
19/08/2020,Almería,73,15
19/08/2020,Cádiz,29,4
19/08/2020,Córdoba,14,2
19/08/2020,Granada,25,2
19/08/2020,Huelva,8,1
19/08/2020,Jaén,6,0
19/08/2020,Málaga,59,7
19/08/2020,Sevilla,20,4
20/08/2020,Almería,79,15
20/08/2020,Cádiz,27,4
20/08/2020,Córdoba,20,2
20/08/2020,Granada,29,3
20/08/2020,Huelva,7,0
20/08/2020,Jaén,9,0
20/08/2020,Málaga,63,6
20/08/2020,Sevilla,22,5
21/08/2020,Almería,72,15
21/08/2020,Cádiz,23,6
21/08/2020,Córdoba,19,0
21/08/2020,Granada,30,3
21/08/2020,Huelva,7,0
21/08/2020,Jaén,9,1
21/08/2020,Málaga,67,7
21/08/2020,Sevilla,21,5
22/08/2020,Almería,68,15
22/08/2020,Cádiz,34,7
22/08/2020,Córdoba,22,0
22/08/2020,Granada,34,3
22/08/2020,Huelva,3,0
22/08/2020,Jaén,11,1
22/08/2020,Málaga,71,6
22/08/2020,Sevilla,24,4
23/08/2020,Almería,72,12
23/08/2020,Cádiz,36,8
23/08/2020,Córdoba,24,0
23/08/2020,Granada,33,3
23/08/2020,Huelva,4,0
23/08/2020,Jaén,13,2
23/08/2020,Málaga,79,6
23/08/2020,Sevilla,29,6
24/08/2020,Almería,80,14
24/08/2020,Cádiz,40,9
24/08/2020,Córdoba,27,0
24/08/2020,Granada,33,1
24/08/2020,Huelva,4,0
24/08/2020,Jaén,12,1
24/08/2020,Málaga,82,6
24/08/2020,Sevilla,30,5
25/08/2020,Almería,85,13
25/08/2020,Cádiz,38,8
25/08/2020,Córdoba,32,1
25/08/2020,Granada,32,1
25/08/2020,Huelva,4,1
25/08/2020,Jaén,12,2
25/08/2020,Málaga,103,8
25/08/2020,Sevilla,35,5
26/08/2020,Almería,89,14
26/08/2020,Cádiz,47,9
26/08/2020,Córdoba,33,1
26/08/2020,Granada,36,1
26/08/2020,Huelva,6,1
26/08/2020,Jaén,10,2
26/08/2020,Málaga,110,8
26/08/2020,Sevilla,40,8
27/08/2020,Almería,92,16
27/08/2020,Cádiz,45,12
27/08/2020,Córdoba,39,2
27/08/2020,Granada,34,3
27/08/2020,Huelva,5,1
27/08/2020,Jaén,10,2
27/08/2020,Málaga,131,9
27/08/2020,Sevilla,36,9
28/08/2020,Almería,97,18
28/08/2020,Cádiz,50,11
28/08/2020,Córdoba,44,2
28/08/2020,Granada,35,2
28/08/2020,Huelva,5,1
28/08/2020,Jaén,15,3
28/08/2020,Málaga,130,11
28/08/2020,Sevilla,40,9
29/08/2020,Almería,93,19
29/08/2020,Cádiz,46,12
29/08/2020,Córdoba,44,2
29/08/2020,Granada,40,2
29/08/2020,Huelva,4,1
29/08/2020,Jaén,20,4
29/08/2020,Málaga,131,14
29/08/2020,Sevilla,35,7
30/08/2020,Almería,100,20
30/08/2020,Cádiz,55,13
30/08/2020,Córdoba,51,3
30/08/2020,Granada,42,3
30/08/2020,Huelva,4,1
30/08/2020,Jaén,18,4
30/08/2020,Málaga,139,17
30/08/2020,Sevilla,39,8
31/08/2020,Almería,110,21
31/08/2020,Cádiz,64,12
31/08/2020,Córdoba,49,3
31/08/2020,Granada,48,4
31/08/2020,Huelva,4,0
31/08/2020,Jaén,22,4
31/08/2020,Málaga,151,19
31/08/2020,Sevilla,45,9
01/09/2020,Almería,114,21
01/09/2020,Cádiz,72,13
01/09/2020,Córdoba,56,3
01/09/2020,Granada,55,2
01/09/2020,Huelva,4,0
01/09/2020,Jaén,21,4
01/09/2020,Málaga,147,19
01/09/2020,Sevilla,53,8
02/09/2020,Almería,107,19
02/09/2020,Cádiz,78,13
02/09/2020,Córdoba,65,4
02/09/2020,Granada,61,5
02/09/2020,Huelva,4,0
02/09/2020,Jaén,23,5
02/09/2020,Málaga,159,22
02/09/2020,Sevilla,70,10
03/09/2020,Almería,102,18
03/09/2020,Cádiz,86,15
03/09/2020,Córdoba,73,8
03/09/2020,Granada,63,9
03/09/2020,Huelva,3,0
03/09/2020,Jaén,24,5
03/09/2020,Málaga,168,23
03/09/2020,Sevilla,85,9
04/09/2020,Almería,98,18
04/09/2020,Cádiz,88,17
04/09/2020,Córdoba,81,10
04/09/2020,Granada,64,11
04/09/2020,Huelva,3,0
04/09/2020,Jaén,27,5
04/09/2020,Málaga,171,25
04/09/2020,Sevilla,100,11
05/09/2020,Almería,84,17
05/09/2020,Cádiz,88,19
05/09/2020,Córdoba,75,8
05/09/2020,Granada,66,12
05/09/2020,Huelva,2,0
05/09/2020,Jaén,25,6
05/09/2020,Málaga,173,28
05/09/2020,Sevilla,111,12
06/09/2020,Almería,84,18
06/09/2020,Cádiz,94,17
06/09/2020,Córdoba,85,11
06/09/2020,Granada,77,14
06/09/2020,Huelva,3,1
06/09/2020,Jaén,27,6
06/09/2020,Málaga,212,30
06/09/2020,Sevilla,116,13
07/09/2020,Almería,92,16
07/09/2020,Cádiz,104,17
07/09/2020,Córdoba,89,13
07/09/2020,Granada,78,15
07/09/2020,Huelva,3,1
07/09/2020,Jaén,31,9
07/09/2020,Málaga,222,30
07/09/2020,Sevilla,131,16
08/09/2020,Almería,88,16
08/09/2020,Cádiz,110,19
08/09/2020,Córdoba,87,13
08/09/2020,Granada,80,12
08/09/2020,Huelva,5,1
08/09/2020,Jaén,29,9
08/09/2020,Málaga,228,32
08/09/2020,Sevilla,138,16
09/09/2020,Almería,79,17
09/09/2020,Cádiz,107,16
09/09/2020,Córdoba,87,13
09/09/2020,Granada,83,11
09/09/2020,Huelva,5,1
09/09/2020,Jaén,32,7
09/09/2020,Málaga,228,31
09/09/2020,Sevilla,169,17
10/09/2020,Almería,69,13
10/09/2020,Cádiz,109,17
10/09/2020,Córdoba,85,13
10/09/2020,Granada,87,11
10/09/2020,Huelva,5,1
10/09/2020,Jaén,36,7
10/09/2020,Málaga,235,31
10/09/2020,Sevilla,182,19
11/09/2020,Almería,66,12
11/09/2020,Cádiz,110,16
11/09/2020,Córdoba,89,13
11/09/2020,Granada,94,11
11/09/2020,Huelva,5,1
11/09/2020,Jaén,37,9
11/09/2020,Málaga,237,38
11/09/2020,Sevilla,181,18
12/09/2020,Almería,66,13
12/09/2020,Cádiz,114,16
12/09/2020,Córdoba,89,15
12/09/2020,Granada,97,11
12/09/2020,Huelva,4,0
12/09/2020,Jaén,39,7
12/09/2020,Málaga,221,32
12/09/2020,Sevilla,188,18
13/09/2020,Almería,73,14
13/09/2020,Cádiz,115,17
13/09/2020,Córdoba,88,13
13/09/2020,Granada,100,11
13/09/2020,Huelva,4,1
13/09/2020,Jaén,42,8
13/09/2020,Málaga,227,33
13/09/2020,Sevilla,219,18
16/09/2020,Almería,66,16
16/09/2020,Cádiz,120,19
16/09/2020,Córdoba,97,13
16/09/2020,Granada,110,12
16/09/2020,Huelva,7,1
16/09/2020,Jaén,50,8
16/09/2020,Málaga,225,33
16/09/2020,Sevilla,265,18
17/09/2020,Almería,57,13
17/09/2020,Cádiz,124,20
17/09/2020,Córdoba,103,16
17/09/2020,Granada,97,13
17/09/2020,Huelva,8,2
17/09/2020,Jaén,49,7
17/09/2020,Málaga,241,36
17/09/2020,Sevilla,266,19
18/09/2020,Almería,50,15
18/09/2020,Cádiz,131,20
18/09/2020,Córdoba,104,15
18/09/2020,Granada,115,12
18/09/2020,Huelva,6,2
18/09/2020,Jaén,47,8
18/09/2020,Málaga,239,33
18/09/2020,Sevilla,259,23
19/09/2020,Almería,46,14
19/09/2020,Cádiz,136,25
19/09/2020,Córdoba,109,15
19/09/2020,Granada,121,12
19/09/2020,Huelva,6,2
19/09/2020,Jaén,52,8
19/09/2020,Málaga,217,32
19/09/2020,Sevilla,253,26
20/09/2020,Almería,45,13
20/09/2020,Cádiz,142,24
20/09/2020,Córdoba,121,17
20/09/2020,Granada,126,12
20/09/2020,Huelva,8,2
20/09/2020,Jaén,55,7
20/09/2020,Málaga,229,32
20/09/2020,Sevilla,262,29
22/09/2020,Almería,43,14
22/09/2020,Cádiz,138,26
22/09/2020,Córdoba,128,13
22/09/2020,Granada,129,10
22/09/2020,Huelva,13,2
22/09/2020,Jaén,68,7
22/09/2020,Málaga,213,31
22/09/2020,Sevilla,287,33
23/09/2020,Almería,45,13
23/09/2020,Cádiz,131,27
23/09/2020,Córdoba,126,12
23/09/2020,Granada,128,9
23/09/2020,Huelva,13,2
23/09/2020,Jaén,75,5
23/09/2020,Málaga,206,31
23/09/2020,Sevilla,293,36
24/09/2020,Almería,46,11
24/09/2020,Cádiz,133,28
24/09/2020,Córdoba,125,13
24/09/2020,Granada,114,8
24/09/2020,Huelva,11,1
24/09/2020,Jaén,75,5
24/09/2020,Málaga,203,31
24/09/2020,Sevilla,310,37
25/09/2020,Almería,47,11
25/09/2020,Cádiz,138,26
25/09/2020,Córdoba,132,15
25/09/2020,Granada,123,8
25/09/2020,Huelva,13,1
25/09/2020,Jaén,74,9
25/09/2020,Málaga,197,29
25/09/2020,Sevilla,329,41
26/09/2020,Almería,40,11
26/09/2020,Cádiz,133,27
26/09/2020,Córdoba,134,15
26/09/2020,Granada,106,8
26/09/2020,Huelva,13,0
26/09/2020,Jaén,76,10
26/09/2020,Málaga,193,29
26/09/2020,Sevilla,328,42
27/09/2020,Almería,44,12
27/09/2020,Cádiz,134,29
27/09/2020,Córdoba,144,17
27/09/2020,Granada,111,9
27/09/2020,Huelva,15,0
27/09/2020,Jaén,75,11
27/09/2020,Málaga,201,30
27/09/2020,Sevilla,341,45
28/09/2020,Almería,47,12
28/09/2020,Cádiz,138,32
28/09/2020,Córdoba,146,17
28/09/2020,Granada,111,9
28/09/2020,Huelva,16,0
28/09/2020,Jaén,86,10
28/09/2020,Málaga,205,29
28/09/2020,Sevilla,354,45
29/09/2020,Almería,42,11
29/09/2020,Cádiz,127,27
29/09/2020,Córdoba,146,17
29/09/2020,Granada,105,10
29/09/2020,Huelva,18,0
29/09/2020,Jaén,86,11
29/09/2020,Málaga,204,29
29/09/2020,Sevilla,356,46
